frame,number of people
1,"[[0.0, 421.0, 101.0, 630.0, 0.8929151892662048, 0.0], [1099.0, 417.0, 1247.0, 572.0, 0.875270426273346, 0.0], [1026.0, 419.0, 1126.0, 516.0, 0.8637743592262268, 0.0], [638.0, 451.0, 786.0, 642.0, 0.8625385165214539, 0.0], [164.0, 401.0, 319.0, 554.0, 0.8427488803863525, 0.0], [762.0, 323.0, 1100.0, 720.0, 0.8047005534172058, 0.0], [1119.0, 377.0, 1176.0, 477.0, 0.7953372597694397, 0.0], [986.0, 382.0, 1042.0, 471.0, 0.6320569515228271, 0.0], [272.0, 393.0, 379.0, 524.0, 0.6148994565010071, 0.0], [564.0, 429.0, 691.0, 707.0, 0.549123227596283, 0.0], [127.0, 334.0, 210.0, 416.0, 0.5446987748146057, 0.0], [1239.0, 457.0, 1280.0, 560.0, 0.48681384325027466, 0.0], [0.0, 272.0, 48.0, 363.0, 0.43593648076057434, 0.0], [327.0, 316.0, 390.0, 362.0, 0.3958365321159363, 0.0], [136.0, 405.0, 208.0, 485.0, 0.34058427810668945, 0.0], [324.0, 314.0, 391.0, 415.0, 0.3198164403438568, 0.0], [721.0, 393.0, 797.0, 481.0, 0.30931800603866577, 0.0], [1249.0, 559.0, 1280.0, 625.0, 0.3018592298030853, 0.0], [62.0, 363.0, 140.0, 475.0, 0.252780944108963, 0.0]]"
2,"[[0.0, 421.0, 101.0, 630.0, 0.8907665014266968, 0.0], [1099.0, 417.0, 1247.0, 571.0, 0.8853000998497009, 0.0], [639.0, 451.0, 784.0, 640.0, 0.8647651672363281, 0.0], [1028.0, 419.0, 1125.0, 518.0, 0.8581752777099609, 0.0], [758.0, 333.0, 1081.0, 720.0, 0.8414676189422607, 0.0], [165.0, 399.0, 318.0, 553.0, 0.8312347531318665, 0.0], [1118.0, 377.0, 1177.0, 476.0, 0.7971795797348022, 0.0], [976.0, 383.0, 1042.0, 476.0, 0.7520083785057068, 0.0], [270.0, 392.0, 379.0, 524.0, 0.6272927522659302, 0.0], [1239.0, 456.0, 1280.0, 560.0, 0.5728647708892822, 0.0], [564.0, 428.0, 691.0, 709.0, 0.5619410872459412, 0.0], [127.0, 335.0, 210.0, 415.0, 0.5401067137718201, 0.0], [0.0, 272.0, 48.0, 364.0, 0.454712837934494, 0.0], [326.0, 313.0, 391.0, 362.0, 0.3834306597709656, 0.0], [324.0, 309.0, 391.0, 417.0, 0.3448376953601837, 0.0], [1249.0, 558.0, 1280.0, 625.0, 0.326494038105011, 0.0], [135.0, 405.0, 207.0, 476.0, 0.25410276651382446, 0.0]]"
3,"[[0.0, 421.0, 101.0, 630.0, 0.8892419934272766, 0.0], [1099.0, 417.0, 1247.0, 571.0, 0.8875024318695068, 0.0], [1028.0, 419.0, 1125.0, 518.0, 0.8646270036697388, 0.0], [638.0, 451.0, 784.0, 642.0, 0.8506402969360352, 0.0], [743.0, 327.0, 1061.0, 720.0, 0.8392642736434937, 0.0], [165.0, 399.0, 318.0, 553.0, 0.8226709961891174, 0.0], [960.0, 383.0, 1042.0, 477.0, 0.8082101345062256, 0.0], [1118.0, 377.0, 1177.0, 476.0, 0.8065271377563477, 0.0], [270.0, 392.0, 380.0, 527.0, 0.6145991683006287, 0.0], [564.0, 429.0, 690.0, 710.0, 0.5928996205329895, 0.0], [127.0, 334.0, 210.0, 416.0, 0.5396537184715271, 0.0], [1239.0, 456.0, 1280.0, 561.0, 0.5308125019073486, 0.0], [0.0, 272.0, 48.0, 366.0, 0.38622018694877625, 0.0], [323.0, 309.0, 391.0, 418.0, 0.35614514350891113, 0.0], [326.0, 311.0, 390.0, 362.0, 0.3440515100955963, 0.0], [1249.0, 558.0, 1280.0, 625.0, 0.30172762274742126, 0.0], [61.0, 364.0, 139.0, 485.0, 0.2901671528816223, 0.0]]"
4,"[[1099.0, 417.0, 1247.0, 571.0, 0.8911921977996826, 0.0], [0.0, 420.0, 101.0, 630.0, 0.8888620138168335, 0.0], [1028.0, 419.0, 1126.0, 517.0, 0.8728058934211731, 0.0], [638.0, 449.0, 785.0, 642.0, 0.8567976951599121, 0.0], [740.0, 326.0, 1051.0, 720.0, 0.8430221676826477, 0.0], [953.0, 384.0, 1042.0, 475.0, 0.8382833003997803, 0.0], [164.0, 399.0, 319.0, 553.0, 0.8196941614151001, 0.0], [1119.0, 378.0, 1177.0, 476.0, 0.7933671474456787, 0.0], [269.0, 393.0, 380.0, 527.0, 0.6170670390129089, 0.0], [564.0, 429.0, 691.0, 709.0, 0.5750539302825928, 0.0], [127.0, 334.0, 210.0, 416.0, 0.5423603057861328, 0.0], [1239.0, 456.0, 1280.0, 561.0, 0.5367768406867981, 0.0], [0.0, 272.0, 48.0, 364.0, 0.4004398584365845, 0.0], [322.0, 311.0, 393.0, 412.0, 0.3935508131980896, 0.0], [60.0, 364.0, 139.0, 481.0, 0.31695061922073364, 0.0], [1249.0, 558.0, 1280.0, 625.0, 0.2943628132343292, 0.0]]"
5,"[[1099.0, 417.0, 1247.0, 571.0, 0.891081690788269, 0.0], [0.0, 420.0, 101.0, 630.0, 0.8892467021942139, 0.0], [1028.0, 419.0, 1125.0, 517.0, 0.8770673871040344, 0.0], [638.0, 449.0, 787.0, 642.0, 0.8555733561515808, 0.0], [165.0, 400.0, 319.0, 553.0, 0.8303801417350769, 0.0], [944.0, 383.0, 1042.0, 476.0, 0.8187236189842224, 0.0], [735.0, 330.0, 1042.0, 719.0, 0.8092314600944519, 0.0], [1119.0, 378.0, 1177.0, 476.0, 0.7926117777824402, 0.0], [268.0, 393.0, 380.0, 527.0, 0.6453570127487183, 0.0], [127.0, 336.0, 210.0, 416.0, 0.5653343796730042, 0.0], [564.0, 429.0, 691.0, 709.0, 0.5565769672393799, 0.0], [1239.0, 456.0, 1280.0, 561.0, 0.5414214730262756, 0.0], [0.0, 272.0, 48.0, 363.0, 0.3987756073474884, 0.0], [322.0, 311.0, 391.0, 410.0, 0.38889604806900024, 0.0], [1249.0, 558.0, 1280.0, 625.0, 0.294226735830307, 0.0]]"
6,"[[1099.0, 418.0, 1247.0, 571.0, 0.8976574540138245, 0.0], [0.0, 420.0, 101.0, 630.0, 0.8862661123275757, 0.0], [1028.0, 419.0, 1126.0, 516.0, 0.8818005919456482, 0.0], [638.0, 452.0, 777.0, 642.0, 0.8593819737434387, 0.0], [728.0, 329.0, 1017.0, 720.0, 0.842439591884613, 0.0], [167.0, 400.0, 320.0, 553.0, 0.8346610069274902, 0.0], [936.0, 383.0, 1042.0, 478.0, 0.8162705898284912, 0.0], [1119.0, 377.0, 1177.0, 477.0, 0.7938302159309387, 0.0], [268.0, 392.0, 380.0, 527.0, 0.6521617770195007, 0.0], [564.0, 429.0, 691.0, 708.0, 0.5690572261810303, 0.0], [1239.0, 457.0, 1280.0, 561.0, 0.5613040328025818, 0.0], [127.0, 334.0, 210.0, 417.0, 0.5525199770927429, 0.0], [0.0, 272.0, 48.0, 363.0, 0.39262983202934265, 0.0], [322.0, 311.0, 391.0, 410.0, 0.365734726190567, 0.0], [1249.0, 558.0, 1280.0, 625.0, 0.3262421190738678, 0.0], [206.0, 290.0, 284.0, 399.0, 0.2603016793727875, 0.0]]"
7,"[[1099.0, 418.0, 1247.0, 571.0, 0.896857738494873, 0.0], [0.0, 420.0, 101.0, 630.0, 0.8852056860923767, 0.0], [1028.0, 418.0, 1126.0, 516.0, 0.8804169297218323, 0.0], [636.0, 452.0, 771.0, 642.0, 0.8648447394371033, 0.0], [167.0, 401.0, 320.0, 553.0, 0.8402993083000183, 0.0], [725.0, 329.0, 1005.0, 720.0, 0.8228768706321716, 0.0], [932.0, 383.0, 1042.0, 480.0, 0.7986910939216614, 0.0], [1119.0, 377.0, 1177.0, 477.0, 0.7934419512748718, 0.0], [268.0, 392.0, 380.0, 528.0, 0.6573818325996399, 0.0], [564.0, 430.0, 691.0, 709.0, 0.587233304977417, 0.0], [127.0, 333.0, 210.0, 418.0, 0.556649923324585, 0.0], [1238.0, 457.0, 1280.0, 561.0, 0.5557237863540649, 0.0], [0.0, 272.0, 48.0, 364.0, 0.388674795627594, 0.0], [322.0, 311.0, 391.0, 410.0, 0.3581888973712921, 0.0], [1249.0, 558.0, 1280.0, 625.0, 0.32369551062583923, 0.0], [204.0, 290.0, 284.0, 402.0, 0.2893511950969696, 0.0]]"
8,"[[1099.0, 417.0, 1247.0, 571.0, 0.8951224684715271, 0.0], [0.0, 420.0, 101.0, 630.0, 0.8863141536712646, 0.0], [1029.0, 418.0, 1125.0, 516.0, 0.8792272806167603, 0.0], [167.0, 403.0, 320.0, 553.0, 0.8413953185081482, 0.0], [1119.0, 377.0, 1178.0, 476.0, 0.7897863984107971, 0.0], [935.0, 383.0, 1042.0, 480.0, 0.7788694500923157, 0.0], [636.0, 454.0, 758.0, 642.0, 0.7750090956687927, 0.0], [705.0, 324.0, 985.0, 720.0, 0.7381846904754639, 0.0], [269.0, 392.0, 380.0, 527.0, 0.6545741558074951, 0.0], [564.0, 430.0, 691.0, 706.0, 0.5760661363601685, 0.0], [1238.0, 457.0, 1280.0, 560.0, 0.5615729689598083, 0.0], [127.0, 334.0, 210.0, 417.0, 0.5117798447608948, 0.0], [884.0, 466.0, 999.0, 643.0, 0.4911532700061798, 0.0], [0.0, 272.0, 48.0, 364.0, 0.38637763261795044, 0.0], [325.0, 310.0, 389.0, 363.0, 0.3707083761692047, 0.0], [1249.0, 558.0, 1280.0, 625.0, 0.32423457503318787, 0.0], [205.0, 290.0, 283.0, 401.0, 0.2642226219177246, 0.0]]"
9,"[[1099.0, 417.0, 1247.0, 571.0, 0.8957881927490234, 0.0], [0.0, 420.0, 100.0, 630.0, 0.8845336437225342, 0.0], [1029.0, 418.0, 1125.0, 516.0, 0.8764420747756958, 0.0], [166.0, 403.0, 320.0, 553.0, 0.8397095203399658, 0.0], [937.0, 383.0, 1042.0, 477.0, 0.8055931925773621, 0.0], [1119.0, 378.0, 1178.0, 476.0, 0.7912760972976685, 0.0], [870.0, 461.0, 997.0, 645.0, 0.7724130749702454, 0.0], [684.0, 328.0, 965.0, 719.0, 0.6843003630638123, 0.0], [269.0, 391.0, 380.0, 528.0, 0.6749969124794006, 0.0], [1239.0, 457.0, 1280.0, 560.0, 0.564908504486084, 0.0], [564.0, 431.0, 696.0, 699.0, 0.5574772953987122, 0.0], [127.0, 335.0, 210.0, 417.0, 0.5247750282287598, 0.0], [636.0, 474.0, 737.0, 640.0, 0.4255102574825287, 0.0], [326.0, 311.0, 389.0, 362.0, 0.3969831168651581, 0.0], [0.0, 272.0, 48.0, 364.0, 0.37393108010292053, 0.0], [1249.0, 558.0, 1280.0, 625.0, 0.3364962935447693, 0.0], [203.0, 290.0, 283.0, 401.0, 0.2857791781425476, 0.0], [571.0, 402.0, 644.0, 525.0, 0.28316530585289, 0.0]]"
10,"[[1099.0, 417.0, 1247.0, 570.0, 0.8950617909431458, 0.0], [0.0, 420.0, 101.0, 630.0, 0.8860987424850464, 0.0], [1029.0, 418.0, 1125.0, 516.0, 0.8748003840446472, 0.0], [165.0, 403.0, 321.0, 554.0, 0.8416406512260437, 0.0], [937.0, 383.0, 1042.0, 476.0, 0.8030239343643188, 0.0], [1119.0, 378.0, 1178.0, 476.0, 0.7878674268722534, 0.0], [867.0, 460.0, 998.0, 649.0, 0.7498394250869751, 0.0], [270.0, 392.0, 380.0, 526.0, 0.6638984680175781, 0.0], [655.0, 332.0, 958.0, 719.0, 0.6065982580184937, 0.0], [1239.0, 456.0, 1280.0, 560.0, 0.5635553598403931, 0.0], [127.0, 334.0, 210.0, 418.0, 0.5283271074295044, 0.0], [565.0, 429.0, 691.0, 700.0, 0.5133482813835144, 0.0], [0.0, 272.0, 48.0, 364.0, 0.3742883801460266, 0.0], [326.0, 311.0, 388.0, 362.0, 0.36939379572868347, 0.0], [1249.0, 558.0, 1280.0, 625.0, 0.32771947979927063, 0.0], [202.0, 289.0, 284.0, 403.0, 0.300809770822525, 0.0], [571.0, 401.0, 643.0, 525.0, 0.2867625057697296, 0.0], [127.0, 404.0, 206.0, 487.0, 0.2505313456058502, 0.0]]"
