frame,number of people
1,"[[799.0, 562.0, 983.0, 798.0, 0.8570824265480042, 0.0], [1371.0, 522.0, 1561.0, 715.0, 0.8506389856338501, 0.0], [1286.0, 522.0, 1412.0, 645.0, 0.8461604714393616, 0.0], [204.0, 500.0, 401.0, 690.0, 0.8453603386878967, 0.0], [0.0, 524.0, 130.0, 786.0, 0.836540699005127, 0.0], [1395.0, 471.0, 1473.0, 595.0, 0.8062413930892944, 0.0], [159.0, 415.0, 265.0, 519.0, 0.6750251650810242, 0.0], [337.0, 493.0, 475.0, 652.0, 0.6622024774551392, 0.0], [705.0, 529.0, 871.0, 885.0, 0.6376987099647522, 0.0], [1233.0, 479.0, 1304.0, 585.0, 0.5585522651672363, 0.0], [1552.0, 575.0, 1600.0, 786.0, 0.5514610409736633, 0.0], [964.0, 404.0, 1360.0, 899.0, 0.4984813928604126, 0.0], [0.0, 340.0, 59.0, 437.0, 0.4781622886657715, 0.0], [73.0, 453.0, 178.0, 582.0, 0.3956340551376343, 0.0], [405.0, 395.0, 487.0, 509.0, 0.3523024320602417, 0.0], [170.0, 506.0, 251.0, 582.0, 0.33185678720474243, 0.0], [263.0, 359.0, 352.0, 478.0, 0.2710420787334442, 0.0]]"
2,"[[798.0, 563.0, 982.0, 796.0, 0.8751187324523926, 0.0], [1371.0, 523.0, 1561.0, 715.0, 0.8539032340049744, 0.0], [1286.0, 522.0, 1413.0, 645.0, 0.8512088656425476, 0.0], [205.0, 498.0, 403.0, 691.0, 0.8418027758598328, 0.0], [0.0, 524.0, 130.0, 787.0, 0.8175321817398071, 0.0], [1394.0, 471.0, 1473.0, 595.0, 0.8137328624725342, 0.0], [160.0, 413.0, 265.0, 519.0, 0.7241548895835876, 0.0], [1552.0, 572.0, 1600.0, 787.0, 0.6594802141189575, 0.0], [1212.0, 479.0, 1305.0, 618.0, 0.6524437665939331, 0.0], [337.0, 492.0, 476.0, 656.0, 0.5966177582740784, 0.0], [704.0, 533.0, 869.0, 882.0, 0.5928676724433899, 0.0], [945.0, 401.0, 1348.0, 900.0, 0.4938492774963379, 0.0], [0.0, 340.0, 59.0, 450.0, 0.4769013524055481, 0.0], [72.0, 455.0, 177.0, 584.0, 0.4450255334377289, 0.0], [170.0, 506.0, 239.0, 583.0, 0.4364273250102997, 0.0], [404.0, 391.0, 487.0, 502.0, 0.3316625654697418, 0.0], [259.0, 360.0, 349.0, 474.0, 0.2622780501842499, 0.0]]"
3,"[[799.0, 562.0, 983.0, 797.0, 0.876286506652832, 0.0], [1286.0, 522.0, 1411.0, 644.0, 0.8485867977142334, 0.0], [1371.0, 523.0, 1561.0, 715.0, 0.8449962139129639, 0.0], [1395.0, 471.0, 1473.0, 595.0, 0.8207650780677795, 0.0], [205.0, 498.0, 404.0, 692.0, 0.8143600225448608, 0.0], [1.0, 524.0, 130.0, 787.0, 0.7959928512573242, 0.0], [1199.0, 478.0, 1305.0, 596.0, 0.7823105454444885, 0.0], [1549.0, 574.0, 1600.0, 780.0, 0.722472071647644, 0.0], [160.0, 412.0, 264.0, 519.0, 0.7017819881439209, 0.0], [943.0, 431.0, 1330.0, 900.0, 0.6159964799880981, 0.0], [335.0, 493.0, 475.0, 658.0, 0.6125550866127014, 0.0], [705.0, 534.0, 867.0, 885.0, 0.6078557968139648, 0.0], [0.0, 340.0, 60.0, 447.0, 0.4348277747631073, 0.0], [72.0, 455.0, 176.0, 601.0, 0.4255251884460449, 0.0], [405.0, 393.0, 487.0, 501.0, 0.3281477391719818, 0.0], [168.0, 506.0, 245.0, 589.0, 0.27638331055641174, 0.0]]"
4,"[[799.0, 560.0, 983.0, 797.0, 0.8822041749954224, 0.0], [1286.0, 522.0, 1412.0, 644.0, 0.8497790098190308, 0.0], [1371.0, 523.0, 1562.0, 716.0, 0.842025637626648, 0.0], [204.0, 498.0, 404.0, 690.0, 0.8222821950912476, 0.0], [1191.0, 479.0, 1305.0, 597.0, 0.819591224193573, 0.0], [1394.0, 471.0, 1473.0, 595.0, 0.8174044489860535, 0.0], [1.0, 524.0, 130.0, 788.0, 0.798987627029419, 0.0], [160.0, 411.0, 264.0, 520.0, 0.7423379421234131, 0.0], [1551.0, 573.0, 1600.0, 788.0, 0.7287884950637817, 0.0], [334.0, 494.0, 475.0, 658.0, 0.6671866178512573, 0.0], [932.0, 433.0, 1326.0, 898.0, 0.6202254295349121, 0.0], [704.0, 536.0, 867.0, 882.0, 0.5820863842964172, 0.0], [0.0, 340.0, 60.0, 445.0, 0.4464813768863678, 0.0], [73.0, 455.0, 175.0, 592.0, 0.4411832392215729, 0.0], [167.0, 505.0, 245.0, 589.0, 0.3492603003978729, 0.0], [405.0, 393.0, 487.0, 504.0, 0.3411809504032135, 0.0], [118.0, 334.0, 193.0, 445.0, 0.2640836238861084, 0.0]]"
5,"[[798.0, 560.0, 983.0, 797.0, 0.8813052773475647, 0.0], [1286.0, 522.0, 1412.0, 644.0, 0.8526204824447632, 0.0], [1371.0, 523.0, 1562.0, 716.0, 0.8415439128875732, 0.0], [1179.0, 479.0, 1305.0, 600.0, 0.8322914242744446, 0.0], [1394.0, 471.0, 1473.0, 595.0, 0.8214931488037109, 0.0], [205.0, 499.0, 405.0, 691.0, 0.8200757503509521, 0.0], [1.0, 523.0, 130.0, 788.0, 0.8037981390953064, 0.0], [1551.0, 573.0, 1600.0, 788.0, 0.7279092073440552, 0.0], [160.0, 412.0, 264.0, 520.0, 0.7263084650039673, 0.0], [333.0, 494.0, 475.0, 658.0, 0.660156786441803, 0.0], [704.0, 536.0, 867.0, 883.0, 0.6184924840927124, 0.0], [0.0, 340.0, 60.0, 446.0, 0.43171679973602295, 0.0], [900.0, 405.0, 1313.0, 900.0, 0.4237494468688965, 0.0], [71.0, 455.0, 172.0, 593.0, 0.35481980443000793, 0.0], [404.0, 393.0, 487.0, 501.0, 0.3352462351322174, 0.0], [118.0, 334.0, 193.0, 445.0, 0.26823902130126953, 0.0], [165.0, 506.0, 248.0, 583.0, 0.25812679529190063, 0.0], [402.0, 452.0, 474.0, 563.0, 0.2569116950035095, 0.0], [848.0, 430.0, 940.0, 529.0, 0.2533993721008301, 0.0]]"
6,"[[798.0, 562.0, 975.0, 797.0, 0.8683142066001892, 0.0], [1285.0, 522.0, 1413.0, 644.0, 0.8497691750526428, 0.0], [1371.0, 523.0, 1562.0, 716.0, 0.8457562923431396, 0.0], [205.0, 499.0, 405.0, 691.0, 0.8340820670127869, 0.0], [1394.0, 471.0, 1472.0, 595.0, 0.8221119046211243, 0.0], [1.0, 524.0, 130.0, 788.0, 0.8056449294090271, 0.0], [1168.0, 478.0, 1304.0, 607.0, 0.7761937975883484, 0.0], [1551.0, 572.0, 1600.0, 788.0, 0.7341011762619019, 0.0], [160.0, 412.0, 264.0, 520.0, 0.7225074172019958, 0.0], [333.0, 493.0, 474.0, 657.0, 0.6838487982749939, 0.0], [704.0, 538.0, 867.0, 882.0, 0.60500168800354, 0.0], [907.0, 398.0, 1290.0, 900.0, 0.4905482530593872, 0.0], [0.0, 340.0, 60.0, 446.0, 0.4275723397731781, 0.0], [71.0, 456.0, 171.0, 593.0, 0.36698615550994873, 0.0], [407.0, 394.0, 485.0, 452.0, 0.35314056277275085, 0.0], [162.0, 506.0, 249.0, 595.0, 0.2854498028755188, 0.0], [118.0, 334.0, 193.0, 443.0, 0.27363452315330505, 0.0], [402.0, 451.0, 474.0, 565.0, 0.26359811425209045, 0.0], [258.0, 359.0, 350.0, 474.0, 0.26161065697669983, 0.0], [967.0, 363.0, 1024.0, 427.0, 0.2596072256565094, 0.0]]"
7,"[[796.0, 562.0, 966.0, 797.0, 0.8618467450141907, 0.0], [1286.0, 522.0, 1412.0, 644.0, 0.8521856069564819, 0.0], [1371.0, 523.0, 1562.0, 716.0, 0.8436505198478699, 0.0], [204.0, 500.0, 405.0, 690.0, 0.8364656567573547, 0.0], [1395.0, 471.0, 1473.0, 595.0, 0.8242557644844055, 0.0], [1.0, 524.0, 130.0, 788.0, 0.787577211856842, 0.0], [1167.0, 478.0, 1304.0, 604.0, 0.7788580656051636, 0.0], [1551.0, 572.0, 1600.0, 788.0, 0.7324384450912476, 0.0], [160.0, 413.0, 264.0, 521.0, 0.7083280682563782, 0.0], [334.0, 493.0, 474.0, 657.0, 0.689007043838501, 0.0], [704.0, 537.0, 867.0, 881.0, 0.6010217070579529, 0.0], [895.0, 402.0, 1258.0, 900.0, 0.532745361328125, 0.0], [0.0, 340.0, 60.0, 445.0, 0.43303415179252625, 0.0], [407.0, 392.0, 485.0, 452.0, 0.3854258954524994, 0.0], [71.0, 456.0, 170.0, 595.0, 0.3589591681957245, 0.0], [161.0, 506.0, 243.0, 590.0, 0.30683305859565735, 0.0], [968.0, 363.0, 1024.0, 426.0, 0.2917076647281647, 0.0], [118.0, 334.0, 193.0, 444.0, 0.27046045660972595, 0.0], [402.0, 451.0, 474.0, 565.0, 0.2687872350215912, 0.0], [256.0, 359.0, 350.0, 474.0, 0.2596548795700073, 0.0]]"
8,"[[1286.0, 522.0, 1412.0, 644.0, 0.8484295606613159, 0.0], [1371.0, 523.0, 1562.0, 716.0, 0.8388724327087402, 0.0], [204.0, 502.0, 406.0, 692.0, 0.8320676684379578, 0.0], [1394.0, 471.0, 1472.0, 595.0, 0.8223703503608704, 0.0], [797.0, 595.0, 945.0, 798.0, 0.7984361052513123, 0.0], [0.0, 524.0, 130.0, 788.0, 0.7792531251907349, 0.0], [1169.0, 479.0, 1304.0, 611.0, 0.7329148650169373, 0.0], [1551.0, 572.0, 1600.0, 788.0, 0.7219463586807251, 0.0], [160.0, 415.0, 264.0, 521.0, 0.7041659355163574, 0.0], [335.0, 493.0, 474.0, 657.0, 0.6808186173439026, 0.0], [704.0, 536.0, 873.0, 879.0, 0.5615808963775635, 0.0], [0.0, 340.0, 60.0, 444.0, 0.4220583438873291, 0.0], [874.0, 400.0, 1262.0, 894.0, 0.4122427999973297, 0.0], [407.0, 393.0, 485.0, 451.0, 0.362205445766449, 0.0], [966.0, 362.0, 1025.0, 426.0, 0.35773590207099915, 0.0], [72.0, 456.0, 170.0, 593.0, 0.3302896320819855, 0.0], [160.0, 507.0, 244.0, 589.0, 0.32272133231163025, 0.0], [1102.0, 595.0, 1251.0, 807.0, 0.27695053815841675, 0.0], [793.0, 420.0, 883.0, 524.0, 0.2682704031467438, 0.0], [118.0, 335.0, 193.0, 445.0, 0.26710593700408936, 0.0], [849.0, 432.0, 924.0, 531.0, 0.252971351146698, 0.0]]"
9,"[[1286.0, 522.0, 1412.0, 644.0, 0.8521841764450073, 0.0], [1371.0, 523.0, 1562.0, 716.0, 0.8421427011489868, 0.0], [205.0, 503.0, 404.0, 693.0, 0.8390706777572632, 0.0], [1394.0, 471.0, 1472.0, 595.0, 0.8227484226226807, 0.0], [1170.0, 478.0, 1304.0, 603.0, 0.7846425175666809, 0.0], [1.0, 524.0, 130.0, 788.0, 0.7667692303657532, 0.0], [1551.0, 572.0, 1600.0, 788.0, 0.7293443083763123, 0.0], [160.0, 416.0, 264.0, 520.0, 0.7030908465385437, 0.0], [336.0, 493.0, 475.0, 658.0, 0.6787133812904358, 0.0], [1083.0, 578.0, 1252.0, 815.0, 0.6196736693382263, 0.0], [797.0, 615.0, 922.0, 798.0, 0.5754020810127258, 0.0], [703.0, 536.0, 876.0, 881.0, 0.5696737766265869, 0.0], [851.0, 401.0, 1235.0, 890.0, 0.49306565523147583, 0.0], [0.0, 340.0, 60.0, 442.0, 0.4556189477443695, 0.0], [967.0, 363.0, 1025.0, 417.0, 0.3921792507171631, 0.0], [407.0, 393.0, 484.0, 451.0, 0.3619019687175751, 0.0], [67.0, 456.0, 170.0, 597.0, 0.342536062002182, 0.0], [160.0, 506.0, 247.0, 597.0, 0.32491645216941833, 0.0], [118.0, 335.0, 193.0, 446.0, 0.2925453782081604, 0.0], [792.0, 420.0, 884.0, 524.0, 0.2587304711341858, 0.0], [258.0, 360.0, 350.0, 472.0, 0.2542743980884552, 0.0]]"
10,"[[1286.0, 522.0, 1412.0, 644.0, 0.8564686179161072, 0.0], [1371.0, 523.0, 1562.0, 716.0, 0.8422209024429321, 0.0], [205.0, 503.0, 405.0, 693.0, 0.8319776058197021, 0.0], [1394.0, 471.0, 1472.0, 595.0, 0.8226019740104675, 0.0], [1170.0, 478.0, 1304.0, 605.0, 0.7791520357131958, 0.0], [1078.0, 578.0, 1253.0, 811.0, 0.7644138932228088, 0.0], [0.0, 528.0, 127.0, 785.0, 0.7440401911735535, 0.0], [1551.0, 572.0, 1600.0, 788.0, 0.7194970846176147, 0.0], [160.0, 413.0, 264.0, 521.0, 0.7123211026191711, 0.0], [336.0, 493.0, 475.0, 658.0, 0.6865794062614441, 0.0], [704.0, 536.0, 868.0, 882.0, 0.596729576587677, 0.0], [814.0, 393.0, 1206.0, 893.0, 0.46640825271606445, 0.0], [0.0, 340.0, 60.0, 443.0, 0.4490560293197632, 0.0], [69.0, 455.0, 170.0, 604.0, 0.3655177056789398, 0.0], [407.0, 393.0, 484.0, 451.0, 0.3293251395225525, 0.0], [160.0, 506.0, 255.0, 601.0, 0.3039724826812744, 0.0], [967.0, 363.0, 1024.0, 415.0, 0.2934195101261139, 0.0], [118.0, 335.0, 193.0, 447.0, 0.28930309414863586, 0.0], [255.0, 360.0, 350.0, 473.0, 0.2651868462562561, 0.0], [402.0, 451.0, 474.0, 566.0, 0.2524770498275757, 0.0], [792.0, 419.0, 878.0, 528.0, 0.25082963705062866, 0.0]]"
