frame,number of people
1,"[[575.0, 247.0, 821.0, 537.0, 0.9017497897148132, 0.0], [121.0, 301.0, 241.0, 417.0, 0.8587116599082947, 0.0], [823.0, 311.0, 937.0, 427.0, 0.8531404137611389, 0.0], [0.0, 316.0, 75.0, 474.0, 0.8407645225524902, 0.0], [777.0, 314.0, 845.0, 386.0, 0.7937172055244446, 0.0], [478.0, 337.0, 590.0, 481.0, 0.7891440391540527, 0.0], [838.0, 283.0, 881.0, 356.0, 0.7520599961280823, 0.0], [739.0, 288.0, 780.0, 355.0, 0.5225734114646912, 0.0], [206.0, 296.0, 285.0, 395.0, 0.513143002986908, 0.0], [549.0, 294.0, 598.0, 355.0, 0.48797813057899475, 0.0], [422.0, 325.0, 524.0, 492.0, 0.4052252471446991, 0.0], [93.0, 250.0, 158.0, 314.0, 0.38215312361717224, 0.0], [427.0, 300.0, 484.0, 397.0, 0.37928837537765503, 0.0], [937.0, 419.0, 960.0, 470.0, 0.3734953701496124, 0.0], [927.0, 340.0, 960.0, 419.0, 0.363546222448349, 0.0], [239.0, 234.0, 296.0, 311.0, 0.2932075262069702, 0.0]]"
2,"[[564.0, 249.0, 808.0, 536.0, 0.8776572942733765, 0.0], [122.0, 299.0, 241.0, 417.0, 0.8694809079170227, 0.0], [823.0, 312.0, 937.0, 427.0, 0.8499180674552917, 0.0], [0.0, 316.0, 75.0, 474.0, 0.8422318696975708, 0.0], [776.0, 315.0, 844.0, 386.0, 0.8002744317054749, 0.0], [478.0, 337.0, 590.0, 481.0, 0.7997367978096008, 0.0], [838.0, 283.0, 882.0, 356.0, 0.735440194606781, 0.0], [731.0, 288.0, 780.0, 356.0, 0.6957502961158752, 0.0], [205.0, 296.0, 285.0, 395.0, 0.5297226309776306, 0.0], [936.0, 419.0, 960.0, 470.0, 0.46588194370269775, 0.0], [423.0, 325.0, 524.0, 472.0, 0.45202577114105225, 0.0], [927.0, 340.0, 960.0, 420.0, 0.41642236709594727, 0.0], [427.0, 300.0, 484.0, 398.0, 0.40529942512512207, 0.0], [94.0, 251.0, 158.0, 314.0, 0.3818119168281555, 0.0], [239.0, 234.0, 296.0, 311.0, 0.3193911015987396, 0.0], [734.0, 307.0, 805.0, 379.0, 0.2752654254436493, 0.0], [156.0, 219.0, 209.0, 298.0, 0.2570923864841461, 0.0]]"
3,"[[122.0, 299.0, 241.0, 418.0, 0.8700898289680481, 0.0], [551.0, 248.0, 796.0, 536.0, 0.8657854199409485, 0.0], [823.0, 312.0, 937.0, 427.0, 0.8475193977355957, 0.0], [0.0, 315.0, 76.0, 476.0, 0.836703896522522, 0.0], [776.0, 315.0, 845.0, 386.0, 0.7949162125587463, 0.0], [720.0, 287.0, 779.0, 357.0, 0.7870665192604065, 0.0], [478.0, 336.0, 591.0, 481.0, 0.7758311629295349, 0.0], [838.0, 283.0, 881.0, 356.0, 0.7307568192481995, 0.0], [205.0, 296.0, 286.0, 399.0, 0.5283855199813843, 0.0], [423.0, 325.0, 524.0, 458.0, 0.4799809753894806, 0.0], [928.0, 340.0, 960.0, 421.0, 0.40415412187576294, 0.0], [936.0, 419.0, 960.0, 470.0, 0.4040292203426361, 0.0], [428.0, 302.0, 483.0, 391.0, 0.40041571855545044, 0.0], [95.0, 249.0, 158.0, 316.0, 0.3941616415977478, 0.0], [240.0, 235.0, 295.0, 308.0, 0.32915785908699036, 0.0], [155.0, 219.0, 209.0, 296.0, 0.2722211182117462, 0.0]]"
4,"[[551.0, 250.0, 787.0, 536.0, 0.9030570983886719, 0.0], [122.0, 299.0, 242.0, 418.0, 0.8703567981719971, 0.0], [0.0, 314.0, 76.0, 476.0, 0.8434647917747498, 0.0], [823.0, 312.0, 937.0, 427.0, 0.8434199690818787, 0.0], [715.0, 288.0, 780.0, 357.0, 0.8025011420249939, 0.0], [776.0, 315.0, 845.0, 386.0, 0.7924911379814148, 0.0], [477.0, 332.0, 590.0, 481.0, 0.7619438171386719, 0.0], [838.0, 283.0, 881.0, 356.0, 0.7311722636222839, 0.0], [205.0, 296.0, 286.0, 402.0, 0.5219563841819763, 0.0], [423.0, 325.0, 524.0, 464.0, 0.4769543707370758, 0.0], [427.0, 300.0, 484.0, 397.0, 0.4077990651130676, 0.0], [93.0, 251.0, 155.0, 316.0, 0.4005658030509949, 0.0], [927.0, 340.0, 960.0, 420.0, 0.398386150598526, 0.0], [936.0, 419.0, 960.0, 470.0, 0.38638535141944885, 0.0], [240.0, 235.0, 295.0, 306.0, 0.294595867395401, 0.0], [156.0, 219.0, 209.0, 297.0, 0.2740582227706909, 0.0], [100.0, 301.0, 157.0, 369.0, 0.2511477768421173, 0.0]]"
5,"[[549.0, 248.0, 780.0, 536.0, 0.9033724665641785, 0.0], [123.0, 299.0, 242.0, 418.0, 0.8802552223205566, 0.0], [0.0, 314.0, 76.0, 476.0, 0.8423522710800171, 0.0], [823.0, 312.0, 937.0, 427.0, 0.8420149087905884, 0.0], [776.0, 315.0, 845.0, 386.0, 0.7922027111053467, 0.0], [707.0, 288.0, 781.0, 358.0, 0.7760412096977234, 0.0], [477.0, 333.0, 591.0, 480.0, 0.7640520930290222, 0.0], [838.0, 283.0, 881.0, 356.0, 0.7313492894172668, 0.0], [204.0, 296.0, 286.0, 403.0, 0.5155513286590576, 0.0], [423.0, 325.0, 524.0, 464.0, 0.47512224316596985, 0.0], [427.0, 300.0, 484.0, 398.0, 0.4214960038661957, 0.0], [93.0, 251.0, 155.0, 316.0, 0.41524699330329895, 0.0], [927.0, 340.0, 960.0, 420.0, 0.41096386313438416, 0.0], [936.0, 419.0, 960.0, 471.0, 0.39772775769233704, 0.0], [240.0, 235.0, 295.0, 307.0, 0.30388104915618896, 0.0], [155.0, 219.0, 210.0, 300.0, 0.2756517231464386, 0.0]]"
6,"[[540.0, 250.0, 762.0, 534.0, 0.889191746711731, 0.0], [123.0, 299.0, 242.0, 418.0, 0.8775826096534729, 0.0], [0.0, 314.0, 76.0, 476.0, 0.841153085231781, 0.0], [822.0, 311.0, 938.0, 428.0, 0.8390834927558899, 0.0], [776.0, 315.0, 845.0, 385.0, 0.7911427021026611, 0.0], [477.0, 334.0, 584.0, 480.0, 0.7660679817199707, 0.0], [702.0, 288.0, 780.0, 361.0, 0.7416806817054749, 0.0], [838.0, 283.0, 881.0, 356.0, 0.7370007634162903, 0.0], [205.0, 296.0, 286.0, 405.0, 0.5255511999130249, 0.0], [422.0, 325.0, 523.0, 470.0, 0.48920226097106934, 0.0], [427.0, 300.0, 484.0, 398.0, 0.4429367184638977, 0.0], [927.0, 340.0, 960.0, 422.0, 0.4108865261077881, 0.0], [93.0, 250.0, 155.0, 317.0, 0.4042036831378937, 0.0], [936.0, 419.0, 960.0, 470.0, 0.4001648426055908, 0.0], [240.0, 235.0, 295.0, 307.0, 0.2967119514942169, 0.0], [154.0, 219.0, 209.0, 299.0, 0.2850680947303772, 0.0]]"
7,"[[122.0, 299.0, 242.0, 418.0, 0.8808799982070923, 0.0], [535.0, 249.0, 751.0, 536.0, 0.8771088123321533, 0.0], [822.0, 311.0, 938.0, 427.0, 0.843045175075531, 0.0], [0.0, 314.0, 76.0, 476.0, 0.8399286270141602, 0.0], [776.0, 314.0, 845.0, 385.0, 0.7934948205947876, 0.0], [477.0, 336.0, 579.0, 480.0, 0.759933352470398, 0.0], [699.0, 288.0, 780.0, 362.0, 0.7507839798927307, 0.0], [838.0, 283.0, 881.0, 356.0, 0.7443373799324036, 0.0], [205.0, 296.0, 286.0, 406.0, 0.5396085381507874, 0.0], [422.0, 324.0, 523.0, 479.0, 0.49336305260658264, 0.0], [427.0, 300.0, 484.0, 397.0, 0.4409697651863098, 0.0], [93.0, 251.0, 155.0, 317.0, 0.4201320707798004, 0.0], [927.0, 340.0, 960.0, 421.0, 0.41085588932037354, 0.0], [936.0, 419.0, 960.0, 470.0, 0.39944636821746826, 0.0], [240.0, 235.0, 295.0, 307.0, 0.29962241649627686, 0.0], [154.0, 219.0, 209.0, 299.0, 0.2918441593647003, 0.0]]"
8,"[[122.0, 301.0, 242.0, 418.0, 0.8771103024482727, 0.0], [0.0, 314.0, 76.0, 476.0, 0.8373457193374634, 0.0], [822.0, 311.0, 938.0, 427.0, 0.83687424659729, 0.0], [528.0, 251.0, 737.0, 535.0, 0.8265397548675537, 0.0], [776.0, 314.0, 845.0, 385.0, 0.7896947860717773, 0.0], [838.0, 283.0, 881.0, 355.0, 0.7339695692062378, 0.0], [700.0, 288.0, 780.0, 361.0, 0.7261525392532349, 0.0], [476.0, 336.0, 569.0, 483.0, 0.6245689392089844, 0.0], [205.0, 296.0, 286.0, 403.0, 0.5485892295837402, 0.0], [421.0, 324.0, 523.0, 487.0, 0.4859582483768463, 0.0], [93.0, 250.0, 155.0, 318.0, 0.4332370162010193, 0.0], [427.0, 300.0, 483.0, 397.0, 0.432477742433548, 0.0], [927.0, 340.0, 960.0, 421.0, 0.4016444981098175, 0.0], [662.0, 349.0, 747.0, 483.0, 0.39059367775917053, 0.0], [936.0, 419.0, 960.0, 470.0, 0.3858093321323395, 0.0], [154.0, 219.0, 209.0, 301.0, 0.29786980152130127, 0.0], [241.0, 235.0, 294.0, 303.0, 0.26264649629592896, 0.0]]"
9,"[[122.0, 301.0, 242.0, 418.0, 0.872087836265564, 0.0], [0.0, 314.0, 76.0, 476.0, 0.8377149701118469, 0.0], [822.0, 311.0, 938.0, 428.0, 0.8314300775527954, 0.0], [510.0, 249.0, 729.0, 536.0, 0.7997277975082397, 0.0], [776.0, 314.0, 845.0, 385.0, 0.792041540145874, 0.0], [702.0, 288.0, 779.0, 357.0, 0.781457245349884, 0.0], [838.0, 283.0, 881.0, 355.0, 0.7251065969467163, 0.0], [650.0, 347.0, 749.0, 482.0, 0.6285706162452698, 0.0], [206.0, 296.0, 286.0, 404.0, 0.5424383878707886, 0.0], [420.0, 324.0, 523.0, 505.0, 0.4689476191997528, 0.0], [93.0, 251.0, 155.0, 317.0, 0.4470413625240326, 0.0], [427.0, 300.0, 483.0, 397.0, 0.42414969205856323, 0.0], [927.0, 340.0, 960.0, 422.0, 0.4080387353897095, 0.0], [936.0, 419.0, 960.0, 470.0, 0.36471155285835266, 0.0], [154.0, 220.0, 209.0, 305.0, 0.3229098618030548, 0.0], [96.0, 301.0, 158.0, 370.0, 0.2714484930038452, 0.0], [241.0, 235.0, 294.0, 302.0, 0.2518136203289032, 0.0]]"
10,"[[122.0, 301.0, 242.0, 418.0, 0.8697966933250427, 0.0], [481.0, 245.0, 724.0, 535.0, 0.8604777455329895, 0.0], [0.0, 314.0, 76.0, 476.0, 0.8372041583061218, 0.0], [822.0, 311.0, 938.0, 428.0, 0.8360223174095154, 0.0], [776.0, 314.0, 845.0, 385.0, 0.7885817289352417, 0.0], [701.0, 288.0, 780.0, 356.0, 0.7651953101158142, 0.0], [838.0, 283.0, 881.0, 355.0, 0.717232882976532, 0.0], [649.0, 346.0, 748.0, 482.0, 0.642638087272644, 0.0], [206.0, 296.0, 286.0, 402.0, 0.5559216141700745, 0.0], [422.0, 324.0, 517.0, 528.0, 0.4639298617839813, 0.0], [93.0, 250.0, 155.0, 317.0, 0.4336298704147339, 0.0], [427.0, 300.0, 484.0, 397.0, 0.419299840927124, 0.0], [927.0, 340.0, 960.0, 422.0, 0.4154737889766693, 0.0], [936.0, 419.0, 960.0, 470.0, 0.3674837052822113, 0.0], [154.0, 220.0, 209.0, 305.0, 0.312356561422348, 0.0], [475.0, 250.0, 527.0, 313.0, 0.2804299294948578, 0.0], [96.0, 301.0, 158.0, 370.0, 0.2697680592536926, 0.0]]"
