frame,number of people
1,"[[191.0, 83.0, 272.0, 179.0, 0.8442812561988831, 0.0], [0.0, 105.0, 26.0, 158.0, 0.5260230898857117, 0.0], [157.0, 115.0, 200.0, 159.0, 0.5038077235221863, 0.0], [278.0, 106.0, 312.0, 141.0, 0.4608440399169922, 0.0], [40.0, 100.0, 81.0, 138.0, 0.3254910409450531, 0.0]]"
2,"[[189.0, 84.0, 269.0, 178.0, 0.8289942741394043, 0.0], [0.0, 105.0, 26.0, 158.0, 0.540325939655304, 0.0], [158.0, 115.0, 198.0, 154.0, 0.4878002107143402, 0.0], [41.0, 100.0, 79.0, 143.0, 0.4599932134151459, 0.0], [278.0, 106.0, 313.0, 141.0, 0.45479920506477356, 0.0], [243.0, 95.0, 267.0, 125.0, 0.2842628061771393, 0.0]]"
3,"[[186.0, 84.0, 267.0, 178.0, 0.8100740909576416, 0.0], [0.0, 105.0, 26.0, 158.0, 0.567419707775116, 0.0], [42.0, 100.0, 79.0, 143.0, 0.44433119893074036, 0.0], [278.0, 106.0, 313.0, 141.0, 0.437741219997406, 0.0], [158.0, 115.0, 197.0, 154.0, 0.43291741609573364, 0.0], [240.0, 95.0, 267.0, 124.0, 0.37592118978500366, 0.0]]"
4,"[[185.0, 83.0, 266.0, 177.0, 0.8181288838386536, 0.0], [0.0, 105.0, 26.0, 158.0, 0.574878454208374, 0.0], [42.0, 100.0, 79.0, 143.0, 0.45606729388237, 0.0], [278.0, 106.0, 313.0, 140.0, 0.43921369314193726, 0.0], [157.0, 115.0, 194.0, 157.0, 0.4049990773200989, 0.0], [238.0, 95.0, 267.0, 123.0, 0.37124693393707275, 0.0]]"
5,"[[182.0, 82.0, 263.0, 178.0, 0.7982864379882812, 0.0], [0.0, 105.0, 26.0, 158.0, 0.5628329515457153, 0.0], [42.0, 100.0, 79.0, 143.0, 0.4628053903579712, 0.0], [277.0, 106.0, 313.0, 140.0, 0.4359786808490753, 0.0], [157.0, 115.0, 192.0, 157.0, 0.37139469385147095, 0.0], [238.0, 95.0, 267.0, 123.0, 0.3528900742530823, 0.0]]"
6,"[[179.0, 82.0, 253.0, 179.0, 0.8312219381332397, 0.0], [0.0, 105.0, 26.0, 158.0, 0.5681948065757751, 0.0], [42.0, 100.0, 79.0, 143.0, 0.46834564208984375, 0.0], [277.0, 106.0, 313.0, 140.0, 0.4517441391944885, 0.0], [236.0, 95.0, 267.0, 124.0, 0.42112937569618225, 0.0], [157.0, 114.0, 191.0, 157.0, 0.37837982177734375, 0.0]]"
7,"[[176.0, 82.0, 251.0, 179.0, 0.8433471918106079, 0.0], [0.0, 105.0, 26.0, 158.0, 0.5566632747650146, 0.0], [277.0, 106.0, 312.0, 140.0, 0.4556523859500885, 0.0], [235.0, 95.0, 267.0, 124.0, 0.43982309103012085, 0.0], [42.0, 100.0, 79.0, 143.0, 0.43809786438941956, 0.0], [156.0, 113.0, 190.0, 158.0, 0.35628801584243774, 0.0], [261.0, 105.0, 290.0, 134.0, 0.2567528784275055, 0.0]]"
8,"[[173.0, 82.0, 246.0, 179.0, 0.8230205774307251, 0.0], [0.0, 105.0, 26.0, 158.0, 0.56535804271698, 0.0], [277.0, 106.0, 313.0, 141.0, 0.4602067470550537, 0.0], [236.0, 95.0, 267.0, 124.0, 0.44151243567466736, 0.0], [42.0, 100.0, 79.0, 143.0, 0.42396923899650574, 0.0], [155.0, 109.0, 183.0, 162.0, 0.26008477807044983, 0.0], [261.0, 105.0, 290.0, 135.0, 0.250687837600708, 0.0]]"
9,"[[167.0, 83.0, 239.0, 180.0, 0.8387922048568726, 0.0], [0.0, 105.0, 26.0, 158.0, 0.5685439705848694, 0.0], [42.0, 101.0, 79.0, 143.0, 0.46442070603370667, 0.0], [277.0, 106.0, 313.0, 141.0, 0.4586986303329468, 0.0], [236.0, 95.0, 266.0, 122.0, 0.33614447712898254, 0.0], [216.0, 115.0, 248.0, 162.0, 0.3318285644054413, 0.0], [156.0, 108.0, 181.0, 166.0, 0.25907787680625916, 0.0]]"
10,"[[163.0, 82.0, 237.0, 179.0, 0.8263238072395325, 0.0], [0.0, 105.0, 26.0, 158.0, 0.564511775970459, 0.0], [42.0, 101.0, 79.0, 143.0, 0.46722498536109924, 0.0], [277.0, 106.0, 313.0, 140.0, 0.44684937596321106, 0.0], [215.0, 115.0, 248.0, 163.0, 0.3560292720794678, 0.0], [237.0, 95.0, 267.0, 122.0, 0.31348612904548645, 0.0]]"
11,"[[158.0, 81.0, 231.0, 179.0, 0.839272677898407, 0.0], [0.0, 105.0, 26.0, 158.0, 0.5240945816040039, 0.0], [215.0, 116.0, 249.0, 163.0, 0.5117940306663513, 0.0], [277.0, 106.0, 313.0, 141.0, 0.4491135776042938, 0.0], [42.0, 101.0, 79.0, 142.0, 0.4389594793319702, 0.0], [237.0, 95.0, 267.0, 121.0, 0.3226264417171478, 0.0]]"
12,"[[156.0, 81.0, 227.0, 179.0, 0.8557676076889038, 0.0], [213.0, 115.0, 249.0, 162.0, 0.5434738993644714, 0.0], [0.0, 105.0, 26.0, 158.0, 0.5381589531898499, 0.0], [41.0, 101.0, 81.0, 143.0, 0.4159714877605438, 0.0], [277.0, 106.0, 313.0, 140.0, 0.40148040652275085, 0.0]]"
13,"[[153.0, 82.0, 224.0, 179.0, 0.8485537171363831, 0.0], [212.0, 115.0, 248.0, 161.0, 0.5565130114555359, 0.0], [0.0, 106.0, 26.0, 158.0, 0.5499111413955688, 0.0], [42.0, 101.0, 81.0, 143.0, 0.42452287673950195, 0.0], [276.0, 106.0, 313.0, 140.0, 0.40475594997406006, 0.0], [237.0, 95.0, 267.0, 122.0, 0.2685166597366333, 0.0]]"
14,"[[147.0, 80.0, 219.0, 179.0, 0.8517161011695862, 0.0], [208.0, 115.0, 249.0, 162.0, 0.6000986695289612, 0.0], [0.0, 105.0, 26.0, 158.0, 0.5407310724258423, 0.0], [42.0, 101.0, 81.0, 143.0, 0.4313085973262787, 0.0], [276.0, 106.0, 313.0, 141.0, 0.42340612411499023, 0.0], [237.0, 95.0, 267.0, 121.0, 0.2812446057796478, 0.0]]"
15,"[[143.0, 80.0, 213.0, 180.0, 0.8602652549743652, 0.0], [205.0, 115.0, 249.0, 164.0, 0.6321879029273987, 0.0], [0.0, 106.0, 26.0, 158.0, 0.528572142124176, 0.0], [42.0, 100.0, 81.0, 143.0, 0.4546284079551697, 0.0], [276.0, 106.0, 313.0, 141.0, 0.4103181064128876, 0.0], [237.0, 95.0, 268.0, 121.0, 0.2766607701778412, 0.0]]"
16,"[[142.0, 81.0, 213.0, 180.0, 0.8683199286460876, 0.0], [205.0, 115.0, 249.0, 165.0, 0.6412479877471924, 0.0], [0.0, 106.0, 26.0, 158.0, 0.5046093463897705, 0.0], [42.0, 100.0, 81.0, 143.0, 0.44625142216682434, 0.0], [276.0, 106.0, 313.0, 141.0, 0.41078993678092957, 0.0], [237.0, 95.0, 268.0, 121.0, 0.27580660581588745, 0.0]]"
17,"[[141.0, 81.0, 211.0, 179.0, 0.8732801675796509, 0.0], [203.0, 116.0, 251.0, 166.0, 0.6442484855651855, 0.0], [0.0, 105.0, 26.0, 158.0, 0.5359362959861755, 0.0], [42.0, 100.0, 81.0, 143.0, 0.4739672541618347, 0.0], [276.0, 106.0, 313.0, 141.0, 0.42361143231391907, 0.0], [179.0, 102.0, 243.0, 167.0, 0.3072805404663086, 0.0], [237.0, 95.0, 267.0, 121.0, 0.2550773322582245, 0.0]]"
18,"[[140.0, 81.0, 209.0, 180.0, 0.8659390211105347, 0.0], [203.0, 116.0, 251.0, 165.0, 0.6370944976806641, 0.0], [0.0, 107.0, 26.0, 157.0, 0.496256947517395, 0.0], [42.0, 100.0, 81.0, 143.0, 0.4643336236476898, 0.0], [276.0, 106.0, 313.0, 141.0, 0.4045529365539551, 0.0], [237.0, 95.0, 267.0, 121.0, 0.2583736479282379, 0.0]]"
19,"[[137.0, 81.0, 206.0, 180.0, 0.8743175864219666, 0.0], [204.0, 117.0, 251.0, 165.0, 0.6445850133895874, 0.0], [0.0, 107.0, 26.0, 157.0, 0.49048298597335815, 0.0], [42.0, 99.0, 81.0, 143.0, 0.4740309715270996, 0.0], [276.0, 106.0, 313.0, 141.0, 0.378923624753952, 0.0]]"
20,"[[136.0, 81.0, 203.0, 179.0, 0.878033459186554, 0.0], [204.0, 117.0, 251.0, 165.0, 0.6692546606063843, 0.0], [0.0, 108.0, 26.0, 157.0, 0.49506044387817383, 0.0], [43.0, 99.0, 80.0, 143.0, 0.4309406876564026, 0.0], [276.0, 106.0, 313.0, 140.0, 0.37431254982948303, 0.0], [237.0, 94.0, 267.0, 121.0, 0.2798594832420349, 0.0]]"
21,"[[133.0, 79.0, 200.0, 180.0, 0.8629898428916931, 0.0], [203.0, 116.0, 251.0, 165.0, 0.6841182708740234, 0.0], [0.0, 107.0, 26.0, 157.0, 0.4982015788555145, 0.0], [43.0, 99.0, 80.0, 143.0, 0.4580003023147583, 0.0], [276.0, 106.0, 313.0, 140.0, 0.38623058795928955, 0.0], [237.0, 94.0, 267.0, 122.0, 0.32552361488342285, 0.0]]"
22,"[[132.0, 79.0, 198.0, 180.0, 0.8785803914070129, 0.0], [203.0, 116.0, 251.0, 165.0, 0.6874438524246216, 0.0], [0.0, 107.0, 26.0, 157.0, 0.5231049656867981, 0.0], [43.0, 99.0, 80.0, 143.0, 0.4842066168785095, 0.0], [276.0, 106.0, 313.0, 140.0, 0.38239264488220215, 0.0], [237.0, 94.0, 268.0, 122.0, 0.3342820703983307, 0.0]]"
23,"[[127.0, 80.0, 194.0, 179.0, 0.8718234896659851, 0.0], [202.0, 116.0, 251.0, 165.0, 0.6896888613700867, 0.0], [0.0, 107.0, 26.0, 157.0, 0.5123471617698669, 0.0], [43.0, 99.0, 80.0, 143.0, 0.4568297564983368, 0.0], [277.0, 106.0, 313.0, 140.0, 0.37343984842300415, 0.0], [170.0, 113.0, 198.0, 147.0, 0.26730939745903015, 0.0]]"
24,"[[120.0, 81.0, 191.0, 180.0, 0.8729879260063171, 0.0], [202.0, 116.0, 251.0, 164.0, 0.6730948090553284, 0.0], [0.0, 106.0, 25.0, 158.0, 0.5180937647819519, 0.0], [43.0, 99.0, 80.0, 143.0, 0.4840894639492035, 0.0], [168.0, 115.0, 199.0, 148.0, 0.4120446443557739, 0.0], [277.0, 106.0, 313.0, 140.0, 0.34169459342956543, 0.0], [197.0, 112.0, 225.0, 150.0, 0.2717651426792145, 0.0]]"
25,"[[118.0, 80.0, 188.0, 180.0, 0.87039715051651, 0.0], [202.0, 116.0, 251.0, 165.0, 0.6746663451194763, 0.0], [0.0, 106.0, 25.0, 158.0, 0.5210616588592529, 0.0], [43.0, 99.0, 80.0, 143.0, 0.5080805420875549, 0.0], [167.0, 116.0, 196.0, 148.0, 0.4667484164237976, 0.0], [276.0, 106.0, 313.0, 140.0, 0.3507407605648041, 0.0], [197.0, 112.0, 224.0, 149.0, 0.2703903913497925, 0.0]]"
26,"[[113.0, 80.0, 182.0, 180.0, 0.8788761496543884, 0.0], [203.0, 115.0, 249.0, 165.0, 0.6559162735939026, 0.0], [167.0, 117.0, 197.0, 148.0, 0.5491215586662292, 0.0], [0.0, 107.0, 26.0, 157.0, 0.5242015719413757, 0.0], [43.0, 99.0, 80.0, 143.0, 0.5028565526008606, 0.0], [276.0, 106.0, 313.0, 140.0, 0.31224003434181213, 0.0], [197.0, 112.0, 224.0, 150.0, 0.2663711905479431, 0.0]]"
27,"[[102.0, 81.0, 179.0, 180.0, 0.8599852919578552, 0.0], [203.0, 115.0, 248.0, 164.0, 0.6495595574378967, 0.0], [163.0, 117.0, 197.0, 148.0, 0.6454335451126099, 0.0], [0.0, 106.0, 25.0, 158.0, 0.5334324836730957, 0.0], [43.0, 99.0, 79.0, 143.0, 0.5122584700584412, 0.0], [277.0, 106.0, 313.0, 140.0, 0.31665173172950745, 0.0]]"
