frame,number of objects
100,"[[1444.0, 305.0, 1556.0, 404.0, 0.8499312996864319, 2.0], [1492.0, 310.0, 1757.0, 484.0, 0.8346852660179138, 2.0], [1688.0, 283.0, 1760.0, 398.0, 0.6564868688583374, 2.0], [1480.0, 282.0, 1569.0, 314.0, 0.609494149684906, 2.0], [1439.0, 289.0, 1479.0, 333.0, 0.41550910472869873, 2.0], [1112.0, 363.0, 1238.0, 478.0, 0.36008360981941223, 2.0]]"
200,"[[1604.0, 388.0, 1759.0, 592.0, 0.9195089936256409, 2.0], [1481.0, 312.0, 1739.0, 486.0, 0.8938044905662537, 2.0], [1431.0, 306.0, 1537.0, 395.0, 0.8235783576965332, 2.0], [1676.0, 286.0, 1760.0, 390.0, 0.8136703372001648, 2.0], [1587.0, 265.0, 1752.0, 317.0, 0.39145201444625854, 2.0], [1434.0, 282.0, 1518.0, 318.0, 0.3161824941635132, 2.0]]"
300,"[[1415.0, 357.0, 1760.0, 542.0, 0.9179401397705078, 2.0], [1421.0, 297.0, 1527.0, 393.0, 0.8663878440856934, 2.0], [1666.0, 277.0, 1760.0, 382.0, 0.7923304438591003, 2.0], [1530.0, 255.0, 1716.0, 310.0, 0.541418731212616, 2.0], [1453.0, 297.0, 1727.0, 398.0, 0.44570139050483704, 2.0], [1091.0, 347.0, 1255.0, 460.0, 0.3077300488948822, 2.0], [1411.0, 235.0, 1507.0, 290.0, 0.26380497217178345, 2.0]]"
400,"[[947.0, 309.0, 1266.0, 458.0, 0.8040551543235779, 2.0], [852.0, 301.0, 1057.0, 395.0, 0.7662209272384644, 2.0], [1097.0, 264.0, 1318.0, 346.0, 0.7242830395698547, 2.0], [760.0, 272.0, 984.0, 353.0, 0.7043486833572388, 2.0], [1549.0, 282.0, 1760.0, 528.0, 0.6478334069252014, 2.0], [566.0, 246.0, 645.0, 288.0, 0.6401853561401367, 2.0], [0.0, 328.0, 438.0, 555.0, 0.6347679495811462, 2.0], [1571.0, 255.0, 1656.0, 297.0, 0.6321175694465637, 2.0], [1132.0, 329.0, 1411.0, 482.0, 0.6069080233573914, 2.0], [1110.0, 246.0, 1234.0, 279.0, 0.5726144909858704, 2.0], [1065.0, 273.0, 1135.0, 308.0, 0.5521665811538696, 2.0], [1658.0, 262.0, 1760.0, 287.0, 0.5317662954330444, 2.0], [1347.0, 289.0, 1546.0, 352.0, 0.5175809860229492, 2.0], [330.0, 355.0, 977.0, 822.0, 0.5071290731430054, 2.0], [264.0, 270.0, 600.0, 376.0, 0.4758104979991913, 2.0], [394.0, 248.0, 481.0, 283.0, 0.3923366367816925, 2.0], [1357.0, 300.0, 1611.0, 388.0, 0.37936726212501526, 2.0], [544.0, 283.0, 772.0, 381.0, 0.3744093179702759, 2.0], [532.0, 336.0, 893.0, 448.0, 0.34349551796913147, 2.0], [1317.0, 245.0, 1409.0, 292.0, 0.3177120089530945, 2.0], [1321.0, 270.0, 1483.0, 327.0, 0.3070988357067108, 2.0], [1114.0, 331.0, 1737.0, 856.0, 0.29524239897727966, 2.0], [518.0, 242.0, 580.0, 275.0, 0.26656433939933777, 2.0]]"
500,"[[1475.0, 291.0, 1760.0, 552.0, 0.8882750272750854, 2.0], [878.0, 323.0, 1088.0, 432.0, 0.8573777675628662, 2.0], [562.0, 266.0, 637.0, 323.0, 0.8455429673194885, 2.0], [1341.0, 320.0, 1567.0, 485.0, 0.8035547733306885, 2.0], [1331.0, 296.0, 1535.0, 369.0, 0.8009517788887024, 2.0], [944.0, 356.0, 1403.0, 585.0, 0.781198263168335, 2.0], [554.0, 344.0, 1008.0, 504.0, 0.7713728547096252, 2.0], [1061.0, 278.0, 1303.0, 390.0, 0.7467155456542969, 2.0], [0.0, 276.0, 246.0, 413.0, 0.6842092275619507, 2.0], [472.0, 273.0, 590.0, 328.0, 0.6679214239120483, 2.0], [385.0, 270.0, 452.0, 315.0, 0.6611323952674866, 2.0], [1502.0, 269.0, 1615.0, 325.0, 0.6201583743095398, 2.0], [664.0, 293.0, 883.0, 360.0, 0.6018854379653931, 2.0], [1097.0, 260.0, 1227.0, 302.0, 0.5570406913757324, 2.0], [1299.0, 284.0, 1429.0, 353.0, 0.5416008234024048, 2.0], [321.0, 271.0, 398.0, 315.0, 0.5038708448410034, 2.0], [859.0, 293.0, 934.0, 334.0, 0.47736263275146484, 2.0], [1649.0, 270.0, 1759.0, 296.0, 0.4653224050998688, 2.0], [1306.0, 279.0, 1425.0, 315.0, 0.4103238582611084, 2.0], [519.0, 262.0, 570.0, 295.0, 0.36804860830307007, 2.0], [337.0, 417.0, 992.0, 965.0, 0.3274048864841461, 2.0], [1017.0, 286.0, 1129.0, 347.0, 0.2863142788410187, 2.0]]"
600,"[[1707.0, 343.0, 1760.0, 507.0, 0.8287382125854492, 2.0], [550.0, 337.0, 875.0, 465.0, 0.7693139910697937, 2.0], [505.0, 274.0, 655.0, 376.0, 0.7661960124969482, 2.0], [958.0, 292.0, 1222.0, 439.0, 0.755887508392334, 2.0], [1031.0, 364.0, 1319.0, 546.0, 0.7527121305465698, 2.0], [399.0, 277.0, 473.0, 327.0, 0.7211207747459412, 2.0], [1590.0, 287.0, 1757.0, 357.0, 0.7119385600090027, 2.0], [308.0, 278.0, 407.0, 342.0, 0.6457191705703735, 2.0], [952.0, 303.0, 1028.0, 366.0, 0.6321043968200684, 2.0], [1176.0, 309.0, 1739.0, 712.0, 0.5606881976127625, 2.0], [1110.0, 272.0, 1245.0, 341.0, 0.5510286688804626, 2.0], [688.0, 316.0, 791.0, 346.0, 0.47515562176704407, 2.0], [1276.0, 299.0, 1431.0, 352.0, 0.380262166261673, 2.0], [451.0, 281.0, 525.0, 331.0, 0.37102726101875305, 2.0], [1323.0, 271.0, 1403.0, 296.0, 0.3560487627983093, 2.0], [1303.0, 275.0, 1424.0, 339.0, 0.3224341869354248, 2.0], [1236.0, 272.0, 1327.0, 341.0, 0.2769336998462677, 2.0], [325.0, 276.0, 405.0, 303.0, 0.2708160877227783, 2.0], [77.0, 372.0, 745.0, 802.0, 0.2576092779636383, 2.0]]"
700,"[[1064.0, 367.0, 1414.0, 553.0, 0.8412734270095825, 2.0], [1284.0, 383.0, 1730.0, 657.0, 0.8271911144256592, 2.0], [450.0, 294.0, 568.0, 350.0, 0.8111770153045654, 2.0], [1637.0, 356.0, 1759.0, 486.0, 0.7859966158866882, 2.0], [721.0, 312.0, 1005.0, 470.0, 0.743122935295105, 2.0], [1628.0, 314.0, 1759.0, 397.0, 0.7372927665710449, 2.0], [1062.0, 335.0, 1200.0, 427.0, 0.7223682403564453, 2.0], [1313.0, 313.0, 1398.0, 364.0, 0.6447734832763672, 2.0], [1370.0, 305.0, 1584.0, 409.0, 0.614810585975647, 2.0], [1087.0, 289.0, 1199.0, 354.0, 0.5718098282814026, 2.0], [1660.0, 293.0, 1759.0, 323.0, 0.5685257315635681, 2.0], [1099.0, 331.0, 1356.0, 425.0, 0.5648943185806274, 2.0], [1712.0, 430.0, 1760.0, 491.0, 0.5363603830337524, 2.0], [548.0, 286.0, 618.0, 346.0, 0.5047656297683716, 2.0], [513.0, 285.0, 554.0, 315.0, 0.4267750382423401, 2.0], [1286.0, 288.0, 1377.0, 326.0, 0.4020853042602539, 2.0], [1647.0, 294.0, 1760.0, 367.0, 0.2899816036224365, 2.0]]"
800,"[[1334.0, 348.0, 1683.0, 562.0, 0.9394622445106506, 2.0], [1520.0, 286.0, 1695.0, 399.0, 0.8429325222969055, 2.0], [1062.0, 266.0, 1189.0, 353.0, 0.7201852798461914, 2.0], [1694.0, 312.0, 1760.0, 467.0, 0.6227568984031677, 2.0], [843.0, 323.0, 1072.0, 414.0, 0.5410351753234863, 2.0], [1350.0, 320.0, 1443.0, 373.0, 0.48782017827033997, 2.0], [423.0, 354.0, 1064.0, 591.0, 0.47841018438339233, 2.0], [1456.0, 290.0, 1572.0, 335.0, 0.4573957324028015, 2.0], [1648.0, 269.0, 1744.0, 322.0, 0.43111923336982727, 2.0], [1275.0, 267.0, 1377.0, 320.0, 0.3604046702384949, 2.0], [131.0, 284.0, 765.0, 528.0, 0.35052400827407837, 2.0], [1056.0, 282.0, 1389.0, 494.0, 0.3317725360393524, 2.0], [1495.0, 278.0, 1598.0, 331.0, 0.31785622239112854, 2.0], [1530.0, 277.0, 1597.0, 300.0, 0.3083873391151428, 2.0], [319.0, 267.0, 416.0, 304.0, 0.2727067768573761, 2.0]]"
900,"[[1695.0, 328.0, 1760.0, 420.0, 0.9043360948562622, 2.0], [410.0, 288.0, 535.0, 343.0, 0.7953634858131409, 2.0], [259.0, 284.0, 342.0, 352.0, 0.7751293778419495, 2.0], [1484.0, 330.0, 1704.0, 561.0, 0.7709536552429199, 2.0], [1360.0, 296.0, 1550.0, 438.0, 0.7539198398590088, 2.0], [1046.0, 277.0, 1177.0, 341.0, 0.7133412957191467, 2.0], [0.0, 320.0, 140.0, 595.0, 0.6723161339759827, 2.0], [346.0, 421.0, 492.0, 559.0, 0.667625904083252, 2.0], [1364.0, 283.0, 1431.0, 343.0, 0.6671348214149475, 2.0], [1623.0, 274.0, 1714.0, 320.0, 0.6421488523483276, 2.0], [1246.0, 273.0, 1359.0, 335.0, 0.6111887097358704, 2.0], [1047.0, 341.0, 1287.0, 408.0, 0.606565535068512, 2.0], [1713.0, 294.0, 1759.0, 335.0, 0.5538628697395325, 2.0], [508.0, 281.0, 582.0, 318.0, 0.5467790365219116, 2.0], [757.0, 342.0, 1404.0, 788.0, 0.4370952844619751, 2.0], [345.0, 285.0, 391.0, 341.0, 0.39364364743232727, 2.0], [1529.0, 291.0, 1596.0, 343.0, 0.3637755215167999, 2.0], [1424.0, 282.0, 1473.0, 308.0, 0.2578892111778259, 2.0]]"
1000,"[[0.0, 408.0, 294.0, 671.0, 0.868364155292511, 2.0], [1450.0, 354.0, 1567.0, 420.0, 0.8245570659637451, 2.0], [496.0, 305.0, 573.0, 363.0, 0.8210651874542236, 2.0], [1511.0, 374.0, 1744.0, 527.0, 0.819898784160614, 2.0], [403.0, 309.0, 528.0, 368.0, 0.7659891247749329, 2.0], [1669.0, 336.0, 1759.0, 387.0, 0.7565082311630249, 2.0], [1718.0, 372.0, 1760.0, 451.0, 0.75016188621521, 2.0], [253.0, 307.0, 333.0, 374.0, 0.6851405501365662, 2.0], [1632.0, 308.0, 1712.0, 362.0, 0.6350443959236145, 2.0], [1115.0, 307.0, 1169.0, 371.0, 0.6145762205123901, 2.0], [199.0, 377.0, 563.0, 556.0, 0.6063269376754761, 2.0], [1217.0, 324.0, 1454.0, 496.0, 0.5865070223808289, 2.0], [339.0, 310.0, 385.0, 357.0, 0.5701534152030945, 2.0], [360.0, 419.0, 961.0, 687.0, 0.559743344783783, 2.0], [1247.0, 301.0, 1323.0, 335.0, 0.48576992750167847, 2.0], [466.0, 301.0, 505.0, 331.0, 0.4350771903991699, 2.0], [1610.0, 302.0, 1672.0, 351.0, 0.42081543803215027, 2.0], [1494.0, 312.0, 1545.0, 349.0, 0.28081974387168884, 2.0]]"
