frame,number of objects
100,"[[678.0, 143.0, 800.0, 218.0, 0.8599395751953125, 2.0], [657.0, 139.0, 710.0, 179.0, 0.7560427188873291, 2.0], [774.0, 130.0, 800.0, 179.0, 0.444715678691864, 2.0], [714.0, 120.0, 799.0, 152.0, 0.41254496574401855, 2.0], [507.0, 165.0, 563.0, 215.0, 0.33603087067604065, 2.0], [652.0, 129.0, 671.0, 150.0, 0.28739747405052185, 2.0], [675.0, 128.0, 716.0, 143.0, 0.28453242778778076, 2.0]]"
200,"[[730.0, 177.0, 800.0, 267.0, 0.9169192314147949, 2.0], [672.0, 143.0, 788.0, 220.0, 0.8902859091758728, 2.0], [649.0, 138.0, 701.0, 175.0, 0.7557342052459717, 2.0], [764.0, 132.0, 800.0, 178.0, 0.5391644239425659, 2.0], [499.0, 163.0, 568.0, 213.0, 0.5129645466804504, 2.0], [743.0, 125.0, 800.0, 162.0, 0.3294162154197693, 2.0], [706.0, 122.0, 795.0, 149.0, 0.3258884847164154, 2.0], [646.0, 126.0, 690.0, 143.0, 0.3237215578556061, 2.0], [645.0, 112.0, 689.0, 137.0, 0.2763565480709076, 2.0]]"
300,"[[641.0, 160.0, 800.0, 247.0, 0.9092711806297302, 2.0], [760.0, 126.0, 799.0, 176.0, 0.7320621609687805, 2.0], [645.0, 133.0, 695.0, 174.0, 0.6682327389717102, 2.0], [669.0, 138.0, 786.0, 176.0, 0.6038161516189575, 2.0], [495.0, 158.0, 562.0, 210.0, 0.47626739740371704, 2.0], [640.0, 108.0, 688.0, 142.0, 0.45775699615478516, 2.0], [686.0, 119.0, 781.0, 141.0, 0.33915674686431885, 2.0]]"
400,"[[2.0, 149.0, 200.0, 254.0, 0.902292788028717, 2.0], [430.0, 140.0, 575.0, 206.0, 0.879432201385498, 2.0], [513.0, 145.0, 676.0, 215.0, 0.8192168474197388, 2.0], [124.0, 169.0, 504.0, 366.0, 0.793358325958252, 2.0], [387.0, 138.0, 483.0, 176.0, 0.7473156452178955, 2.0], [501.0, 120.0, 601.0, 157.0, 0.7167137861251831, 2.0], [673.0, 124.0, 799.0, 240.0, 0.7038131356239319, 2.0], [116.0, 124.0, 264.0, 171.0, 0.6972468495368958, 2.0], [536.0, 169.0, 788.0, 379.0, 0.69475257396698, 2.0], [144.0, 149.0, 406.0, 258.0, 0.6917552947998047, 2.0], [615.0, 126.0, 701.0, 153.0, 0.5795780420303345, 2.0], [342.0, 125.0, 445.0, 158.0, 0.47511810064315796, 2.0], [239.0, 111.0, 294.0, 132.0, 0.4324575364589691, 2.0], [656.0, 137.0, 735.0, 172.0, 0.39267948269844055, 2.0], [484.0, 128.0, 511.0, 140.0, 0.31708112359046936, 2.0], [393.0, 124.0, 450.0, 152.0, 0.2644599378108978, 2.0]]"
500,"[[430.0, 161.0, 640.0, 265.0, 0.9101648926734924, 2.0], [671.0, 129.0, 800.0, 254.0, 0.9091683030128479, 2.0], [237.0, 154.0, 457.0, 232.0, 0.8950322866439819, 2.0], [484.0, 126.0, 592.0, 173.0, 0.8328817486763, 2.0], [601.0, 141.0, 716.0, 216.0, 0.8186690211296082, 2.0], [407.0, 145.0, 498.0, 194.0, 0.8139809370040894, 2.0], [253.0, 121.0, 289.0, 148.0, 0.7346707582473755, 2.0], [209.0, 123.0, 267.0, 150.0, 0.6162452697753906, 2.0], [0.0, 125.0, 108.0, 190.0, 0.5901815295219421, 2.0], [0.0, 223.0, 633.0, 448.0, 0.5280947089195251, 2.0], [71.0, 142.0, 229.0, 241.0, 0.472964346408844, 2.0], [589.0, 131.0, 656.0, 165.0, 0.4587516784667969, 2.0], [333.0, 135.0, 397.0, 157.0, 0.4391273260116577, 2.0], [749.0, 120.0, 800.0, 138.0, 0.34403371810913086, 2.0], [469.0, 131.0, 506.0, 156.0, 0.32279279828071594, 2.0], [145.0, 124.0, 181.0, 143.0, 0.29347139596939087, 2.0], [683.0, 122.0, 733.0, 146.0, 0.26142454147338867, 2.0]]"
600,"[[538.0, 143.0, 790.0, 327.0, 0.9256826043128967, 2.0], [466.0, 160.0, 611.0, 250.0, 0.869122326374054, 2.0], [1.0, 174.0, 430.0, 368.0, 0.829966127872467, 2.0], [433.0, 133.0, 561.0, 200.0, 0.778289794921875, 2.0], [776.0, 156.0, 800.0, 227.0, 0.6972524523735046, 2.0], [723.0, 129.0, 797.0, 159.0, 0.6627334952354431, 2.0], [258.0, 156.0, 404.0, 211.0, 0.6026151776313782, 2.0], [180.0, 126.0, 214.0, 149.0, 0.5638334155082703, 2.0], [228.0, 124.0, 300.0, 171.0, 0.5169721841812134, 2.0], [508.0, 124.0, 570.0, 157.0, 0.45169928669929504, 2.0], [150.0, 126.0, 185.0, 155.0, 0.430176317691803, 2.0], [582.0, 123.0, 648.0, 145.0, 0.40676453709602356, 2.0], [425.0, 138.0, 467.0, 167.0, 0.31721562147140503, 2.0]]"
700,"[[583.0, 175.0, 785.0, 301.0, 0.9271526336669922, 2.0], [484.0, 166.0, 648.0, 251.0, 0.9095934629440308, 2.0], [327.0, 141.0, 459.0, 213.0, 0.8497270941734314, 2.0], [740.0, 161.0, 800.0, 224.0, 0.7940999269485474, 2.0], [486.0, 153.0, 565.0, 195.0, 0.6753219366073608, 2.0], [193.0, 135.0, 259.0, 159.0, 0.6691649556159973, 2.0], [743.0, 142.0, 800.0, 170.0, 0.5924010276794434, 2.0], [625.0, 138.0, 716.0, 188.0, 0.5476633906364441, 2.0], [487.0, 132.0, 546.0, 162.0, 0.4940122961997986, 2.0], [582.0, 132.0, 636.0, 166.0, 0.48349231481552124, 2.0], [503.0, 153.0, 620.0, 185.0, 0.4282623827457428, 2.0], [779.0, 192.0, 800.0, 220.0, 0.30889201164245605, 2.0], [251.0, 130.0, 278.0, 157.0, 0.27686551213264465, 2.0]]"
800,"[[603.0, 158.0, 764.0, 256.0, 0.9248825907707214, 2.0], [208.0, 166.0, 483.0, 269.0, 0.8761882781982422, 2.0], [690.0, 131.0, 773.0, 183.0, 0.7544892430305481, 2.0], [385.0, 144.0, 487.0, 199.0, 0.750153124332428, 2.0], [1.0, 246.0, 437.0, 448.0, 0.7492809891700745, 2.0], [769.0, 140.0, 800.0, 210.0, 0.6793084740638733, 2.0], [660.0, 133.0, 706.0, 154.0, 0.4152809977531433, 2.0], [487.0, 129.0, 659.0, 223.0, 0.3589012920856476, 2.0]]"
900,"[[350.0, 177.0, 644.0, 355.0, 0.9238982796669006, 2.0], [673.0, 147.0, 774.0, 256.0, 0.8610454201698303, 2.0], [618.0, 130.0, 727.0, 199.0, 0.8485057950019836, 2.0], [771.0, 152.0, 800.0, 191.0, 0.8149232864379883, 2.0], [117.0, 128.0, 156.0, 160.0, 0.7528024911880493, 2.0], [0.0, 145.0, 66.0, 270.0, 0.7041482329368591, 2.0], [477.0, 125.0, 538.0, 156.0, 0.6661974191665649, 2.0], [477.0, 155.0, 586.0, 185.0, 0.6559276580810547, 2.0], [185.0, 128.0, 242.0, 157.0, 0.622562050819397, 2.0], [618.0, 128.0, 655.0, 154.0, 0.5372366905212402, 2.0], [226.0, 128.0, 264.0, 149.0, 0.4368702173233032, 2.0], [739.0, 125.0, 784.0, 148.0, 0.4215335547924042, 2.0], [555.0, 124.0, 614.0, 151.0, 0.3819153308868408, 2.0]]"
1000,"[[165.0, 189.0, 433.0, 312.0, 0.9174395203590393, 2.0], [692.0, 170.0, 792.0, 240.0, 0.9112131595611572, 2.0], [0.0, 184.0, 132.0, 306.0, 0.9037830233573914, 2.0], [549.0, 147.0, 662.0, 224.0, 0.8088937997817993, 2.0], [59.0, 171.0, 256.0, 252.0, 0.7755463719367981, 2.0], [659.0, 160.0, 712.0, 189.0, 0.7536458969116211, 2.0], [222.0, 139.0, 261.0, 166.0, 0.7251976132392883, 2.0], [184.0, 140.0, 233.0, 167.0, 0.670383870601654, 2.0], [506.0, 141.0, 540.0, 171.0, 0.6376485228538513, 2.0], [785.0, 175.0, 800.0, 203.0, 0.637299120426178, 2.0], [743.0, 139.0, 776.0, 165.0, 0.6305108070373535, 2.0], [759.0, 157.0, 800.0, 184.0, 0.5297929644584656, 2.0], [116.0, 139.0, 150.0, 171.0, 0.4892481565475464, 2.0], [572.0, 138.0, 602.0, 151.0, 0.34328776597976685, 2.0], [0.0, 156.0, 46.0, 183.0, 0.2931419312953949, 2.0], [151.0, 148.0, 175.0, 164.0, 0.258666068315506, 2.0], [437.0, 177.0, 648.0, 390.0, 0.2574784755706787, 2.0]]"
