frame,number of objects
1100,"[[1.0, 134.0, 73.0, 233.0, 0.9202092885971069, 2.0], [192.0, 124.0, 349.0, 209.0, 0.9100465178489685, 2.0], [349.0, 139.0, 479.0, 270.0, 0.9041507840156555, 2.0], [114.0, 125.0, 235.0, 189.0, 0.8898534774780273, 2.0], [401.0, 104.0, 447.0, 137.0, 0.7979220151901245, 2.0], [71.0, 102.0, 107.0, 129.0, 0.6788859367370605, 2.0], [98.0, 109.0, 173.0, 171.0, 0.6247435212135315, 2.0], [290.0, 101.0, 375.0, 144.0, 0.5821835398674011, 2.0], [141.0, 96.0, 185.0, 124.0, 0.47600889205932617, 2.0], [364.0, 99.0, 394.0, 132.0, 0.38762450218200684, 2.0], [443.0, 101.0, 471.0, 135.0, 0.33572450280189514, 2.0], [192.0, 104.0, 243.0, 136.0, 0.2687852084636688, 2.0]]"
1200,"[[185.0, 115.0, 256.0, 162.0, 0.915845513343811, 2.0], [1.0, 196.0, 120.0, 268.0, 0.8836436867713928, 2.0], [348.0, 116.0, 391.0, 162.0, 0.8543679714202881, 2.0], [404.0, 108.0, 464.0, 152.0, 0.8479921221733093, 2.0], [99.0, 104.0, 152.0, 130.0, 0.7691248059272766, 2.0], [212.0, 108.0, 359.0, 197.0, 0.7086877822875977, 2.0], [383.0, 104.0, 412.0, 132.0, 0.566145122051239, 2.0], [173.0, 97.0, 213.0, 126.0, 0.4337923228740692, 2.0], [2.0, 113.0, 51.0, 190.0, 0.4075402021408081, 2.0], [340.0, 103.0, 375.0, 119.0, 0.36164987087249756, 2.0]]"
1300,"[[187.0, 125.0, 316.0, 205.0, 0.9217711687088013, 2.0], [346.0, 109.0, 433.0, 168.0, 0.857667863368988, 2.0], [0.0, 105.0, 206.0, 270.0, 0.8250410556793213, 2.0], [420.0, 109.0, 455.0, 139.0, 0.7380505800247192, 2.0], [187.0, 101.0, 293.0, 148.0, 0.7155781984329224, 2.0], [457.0, 105.0, 480.0, 123.0, 0.6684935688972473, 2.0], [323.0, 105.0, 360.0, 138.0, 0.6180516481399536, 2.0], [172.0, 98.0, 205.0, 125.0, 0.4488792419433594, 2.0], [93.0, 99.0, 149.0, 111.0, 0.43165770173072815, 2.0], [211.0, 101.0, 293.0, 128.0, 0.39278632402420044, 2.0], [179.0, 111.0, 232.0, 146.0, 0.26783835887908936, 2.0]]"
1400,"[[209.0, 116.0, 355.0, 216.0, 0.9133445024490356, 2.0], [1.0, 165.0, 132.0, 268.0, 0.8953999876976013, 2.0], [378.0, 110.0, 423.0, 137.0, 0.8352523446083069, 2.0], [325.0, 112.0, 374.0, 149.0, 0.8284235000610352, 2.0], [5.0, 100.0, 177.0, 183.0, 0.8023704886436462, 2.0], [189.0, 102.0, 236.0, 131.0, 0.7166224718093872, 2.0], [0.0, 116.0, 47.0, 157.0, 0.6375584006309509, 2.0], [366.0, 108.0, 389.0, 128.0, 0.5732244253158569, 2.0], [426.0, 106.0, 451.0, 129.0, 0.5497608184814453, 2.0], [228.0, 104.0, 271.0, 131.0, 0.5027508735656738, 2.0], [294.0, 109.0, 323.0, 120.0, 0.4913685917854309, 2.0], [161.0, 92.0, 203.0, 123.0, 0.4422951340675354, 2.0]]"
1500,"[[3.0, 103.0, 208.0, 209.0, 0.9011786580085754, 2.0], [348.0, 99.0, 402.0, 132.0, 0.871771514415741, 2.0], [1.0, 152.0, 125.0, 267.0, 0.8529316782951355, 2.0], [266.0, 101.0, 346.0, 167.0, 0.8331144452095032, 2.0], [390.0, 93.0, 420.0, 123.0, 0.7015712857246399, 2.0], [87.0, 84.0, 153.0, 102.0, 0.6369336247444153, 2.0], [159.0, 80.0, 207.0, 107.0, 0.5662269592285156, 2.0], [271.0, 97.0, 314.0, 127.0, 0.5048177242279053, 2.0], [464.0, 81.0, 480.0, 96.0, 0.34333208203315735, 2.0], [419.0, 96.0, 433.0, 115.0, 0.3306618630886078, 2.0], [287.0, 85.0, 312.0, 98.0, 0.29835742712020874, 2.0], [459.0, 82.0, 480.0, 113.0, 0.28065523505210876, 2.0]]"
1600,"[[289.0, 100.0, 362.0, 148.0, 0.901738703250885, 2.0], [114.0, 105.0, 224.0, 161.0, 0.7571187019348145, 2.0], [364.0, 93.0, 400.0, 133.0, 0.7454966902732849, 2.0], [97.0, 84.0, 137.0, 109.0, 0.6708036661148071, 2.0], [5.0, 135.0, 225.0, 268.0, 0.6030453443527222, 2.0], [157.0, 79.0, 204.0, 105.0, 0.5839518904685974, 2.0], [445.0, 96.0, 479.0, 120.0, 0.5665169358253479, 2.0], [452.0, 81.0, 480.0, 100.0, 0.307003378868103, 2.0], [338.0, 95.0, 365.0, 117.0, 0.2834177017211914, 2.0], [75.0, 166.0, 187.0, 269.0, 0.2650347650051117, 2.0]]"
1700,"[[153.0, 126.0, 285.0, 207.0, 0.9072770476341248, 2.0], [77.0, 104.0, 151.0, 136.0, 0.8486740589141846, 2.0], [286.0, 113.0, 336.0, 142.0, 0.8405234813690186, 2.0], [149.0, 113.0, 246.0, 158.0, 0.7488678097724915, 2.0], [398.0, 114.0, 449.0, 145.0, 0.6999121904373169, 2.0], [440.0, 112.0, 479.0, 137.0, 0.6258669495582581, 2.0], [336.0, 112.0, 387.0, 174.0, 0.6015996932983398, 2.0], [331.0, 104.0, 346.0, 115.0, 0.4406711757183075, 2.0], [370.0, 104.0, 393.0, 119.0, 0.35800233483314514, 2.0], [153.0, 97.0, 195.0, 124.0, 0.31411969661712646, 2.0]]"
1800,"[[109.0, 119.0, 215.0, 169.0, 0.9141989350318909, 2.0], [249.0, 120.0, 292.0, 154.0, 0.7734505534172058, 2.0], [0.0, 231.0, 40.0, 270.0, 0.7431743144989014, 2.0], [455.0, 115.0, 480.0, 135.0, 0.7352925539016724, 2.0], [355.0, 120.0, 404.0, 162.0, 0.5522629022598267, 2.0], [309.0, 112.0, 353.0, 143.0, 0.5519835352897644, 2.0], [85.0, 105.0, 133.0, 134.0, 0.5059353709220886, 2.0], [153.0, 101.0, 203.0, 123.0, 0.4458065629005432, 2.0], [380.0, 127.0, 480.0, 229.0, 0.4111931622028351, 2.0], [372.0, 119.0, 443.0, 170.0, 0.31222182512283325, 2.0], [248.0, 110.0, 272.0, 128.0, 0.3048865497112274, 2.0], [369.0, 106.0, 388.0, 120.0, 0.2700493037700653, 2.0], [236.0, 115.0, 256.0, 132.0, 0.2608327269554138, 2.0], [301.0, 105.0, 318.0, 118.0, 0.25242453813552856, 2.0]]"
1900,"[[0.0, 83.0, 157.0, 198.0, 0.853874683380127, 2.0], [452.0, 142.0, 480.0, 176.0, 0.82984858751297, 2.0], [444.0, 121.0, 480.0, 171.0, 0.26643553376197815, 2.0]]"
2000,"[[393.0, 145.0, 478.0, 195.0, 0.9024612903594971, 2.0], [371.0, 143.0, 408.0, 162.0, 0.4880879819393158, 2.0]]"
2100,"[[90.0, 108.0, 356.0, 229.0, 0.9227591156959534, 2.0], [350.0, 138.0, 403.0, 171.0, 0.8374779224395752, 2.0], [397.0, 139.0, 430.0, 170.0, 0.2945615351200104, 2.0]]"
2200,"[[438.0, 142.0, 480.0, 173.0, 0.8737378716468811, 2.0], [77.0, 105.0, 419.0, 262.0, 0.8590712547302246, 2.0], [118.0, 123.0, 151.0, 142.0, 0.5317102670669556, 2.0], [410.0, 135.0, 439.0, 174.0, 0.45669305324554443, 2.0], [378.0, 119.0, 438.0, 176.0, 0.3481796979904175, 2.0], [1.0, 207.0, 39.0, 266.0, 0.28929758071899414, 2.0]]"
2300,"[[332.0, 129.0, 407.0, 179.0, 0.8436347842216492, 2.0], [404.0, 138.0, 462.0, 174.0, 0.8075087070465088, 2.0], [120.0, 115.0, 253.0, 189.0, 0.7570079565048218, 2.0], [123.0, 120.0, 170.0, 140.0, 0.5870920419692993, 2.0], [402.0, 136.0, 426.0, 150.0, 0.4529251158237457, 2.0], [449.0, 132.0, 480.0, 183.0, 0.4098828434944153, 2.0], [402.0, 136.0, 435.0, 162.0, 0.2555762529373169, 2.0]]"
2400,"[[114.0, 86.0, 419.0, 265.0, 0.9338451027870178, 2.0], [406.0, 65.0, 480.0, 134.0, 0.9195031523704529, 2.0], [113.0, 59.0, 196.0, 113.0, 0.7408307194709778, 2.0], [187.0, 55.0, 232.0, 82.0, 0.3804170489311218, 2.0], [225.0, 53.0, 247.0, 83.0, 0.3417452573776245, 2.0], [253.0, 47.0, 272.0, 56.0, 0.26182129979133606, 2.0], [225.0, 51.0, 243.0, 63.0, 0.2504928708076477, 2.0]]"
2500,"[[411.0, 61.0, 480.0, 134.0, 0.905228316783905, 2.0], [168.0, 57.0, 219.0, 104.0, 0.8489887714385986, 2.0], [1.0, 72.0, 109.0, 213.0, 0.6993682980537415, 2.0], [211.0, 51.0, 238.0, 75.0, 0.5966629981994629, 2.0], [257.0, 44.0, 275.0, 59.0, 0.4190055727958679, 2.0], [137.0, 54.0, 158.0, 76.0, 0.39264023303985596, 2.0], [174.0, 46.0, 199.0, 59.0, 0.3487683832645416, 2.0], [225.0, 50.0, 249.0, 83.0, 0.3352839946746826, 2.0], [185.0, 46.0, 211.0, 58.0, 0.25012627243995667, 2.0]]"
2600,"[[420.0, 68.0, 480.0, 133.0, 0.8745609521865845, 2.0], [167.0, 69.0, 313.0, 171.0, 0.804654598236084, 2.0], [164.0, 52.0, 202.0, 79.0, 0.6753863096237183, 2.0], [94.0, 50.0, 162.0, 99.0, 0.6194776892662048, 2.0], [188.0, 56.0, 239.0, 74.0, 0.44115081429481506, 2.0], [220.0, 52.0, 243.0, 68.0, 0.40409964323043823, 2.0], [174.0, 58.0, 233.0, 84.0, 0.2973090708255768, 2.0], [154.0, 49.0, 173.0, 62.0, 0.29496249556541443, 2.0]]"
2700,"[[162.0, 72.0, 258.0, 155.0, 0.9014642238616943, 2.0], [417.0, 72.0, 480.0, 136.0, 0.8650323152542114, 2.0], [101.0, 62.0, 178.0, 112.0, 0.8595104217529297, 2.0], [219.0, 51.0, 254.0, 81.0, 0.530638575553894, 2.0], [130.0, 55.0, 178.0, 73.0, 0.49984779953956604, 2.0], [192.0, 58.0, 224.0, 72.0, 0.48248010873794556, 2.0], [0.0, 58.0, 47.0, 135.0, 0.45469197630882263, 2.0]]"
2800,"[[92.0, 52.0, 174.0, 86.0, 0.8434621691703796, 2.0], [386.0, 61.0, 419.0, 93.0, 0.786013662815094, 2.0], [174.0, 57.0, 200.0, 76.0, 0.748372495174408, 2.0], [1.0, 97.0, 142.0, 208.0, 0.7097394466400146, 2.0], [0.0, 69.0, 401.0, 270.0, 0.6817008256912231, 2.0], [312.0, 68.0, 401.0, 146.0, 0.6762390732765198, 2.0], [285.0, 68.0, 325.0, 86.0, 0.6283382773399353, 2.0], [203.0, 68.0, 300.0, 93.0, 0.38685542345046997, 2.0], [464.0, 60.0, 480.0, 74.0, 0.2981438636779785, 2.0]]"
2900,"[[14.0, 61.0, 214.0, 202.0, 0.8209249377250671, 2.0], [224.0, 33.0, 252.0, 54.0, 0.7069693207740784, 2.0], [328.0, 39.0, 396.0, 106.0, 0.6985991597175598, 2.0], [402.0, 33.0, 473.0, 86.0, 0.664982795715332, 2.0], [148.0, 34.0, 220.0, 59.0, 0.5725014209747314, 2.0], [10.0, 61.0, 128.0, 138.0, 0.4435883164405823, 2.0], [43.0, 34.0, 87.0, 66.0, 0.39676305651664734, 2.0], [265.0, 33.0, 285.0, 54.0, 0.3545793294906616, 2.0]]"
