frame,number of objects
100,"[[816.0, 170.0, 958.0, 264.0, 0.8747186660766602, 2.0], [788.0, 167.0, 849.0, 217.0, 0.7597686648368835, 2.0], [923.0, 156.0, 959.0, 221.0, 0.496768593788147, 2.0], [783.0, 135.0, 829.0, 178.0, 0.36212533712387085, 2.0], [808.0, 154.0, 854.0, 171.0, 0.35265418887138367, 2.0], [862.0, 145.0, 959.0, 177.0, 0.30236801505088806, 2.0]]"
200,"[[877.0, 213.0, 960.0, 319.0, 0.923507809638977, 2.0], [808.0, 170.0, 947.0, 266.0, 0.8971254229545593, 2.0], [779.0, 168.0, 842.0, 210.0, 0.659598171710968, 2.0], [916.0, 158.0, 960.0, 215.0, 0.6286780834197998, 2.0], [776.0, 154.0, 829.0, 172.0, 0.5081452131271362, 2.0], [864.0, 146.0, 954.0, 177.0, 0.42271092534065247, 2.0], [601.0, 196.0, 675.0, 252.0, 0.3437793552875519, 2.0], [775.0, 136.0, 827.0, 169.0, 0.31861886382102966, 2.0]]"
300,"[[768.0, 194.0, 960.0, 296.0, 0.908430278301239, 2.0], [774.0, 160.0, 833.0, 214.0, 0.728095293045044, 2.0], [795.0, 166.0, 944.0, 216.0, 0.7056599259376526, 2.0], [912.0, 152.0, 960.0, 209.0, 0.6572030782699585, 2.0], [596.0, 188.0, 679.0, 246.0, 0.5955051779747009, 2.0], [847.0, 139.0, 939.0, 170.0, 0.4346296489238739, 2.0], [768.0, 129.0, 819.0, 166.0, 0.28854605555534363, 2.0]]"
400,"[[519.0, 169.0, 687.0, 248.0, 0.9059076905250549, 2.0], [2.0, 179.0, 248.0, 306.0, 0.8790788054466248, 2.0], [180.0, 181.0, 491.0, 305.0, 0.8090180158615112, 2.0], [847.0, 154.0, 960.0, 288.0, 0.7981747984886169, 2.0], [616.0, 175.0, 804.0, 262.0, 0.7928689122200012, 2.0], [462.0, 165.0, 579.0, 213.0, 0.7864139080047607, 2.0], [596.0, 144.0, 720.0, 189.0, 0.7150604128837585, 2.0], [150.0, 207.0, 605.0, 437.0, 0.7017729878425598, 2.0], [411.0, 152.0, 528.0, 189.0, 0.6397478580474854, 2.0], [738.0, 155.0, 839.0, 186.0, 0.5837029218673706, 2.0], [304.0, 133.0, 352.0, 157.0, 0.5491675138473511, 2.0], [640.0, 201.0, 938.0, 454.0, 0.5357869863510132, 2.0], [139.0, 147.0, 334.0, 206.0, 0.5226348638534546, 2.0], [790.0, 165.0, 881.0, 209.0, 0.5214230418205261, 2.0], [288.0, 156.0, 440.0, 206.0, 0.4400355815887451, 2.0], [900.0, 142.0, 960.0, 162.0, 0.3138751685619354, 2.0], [219.0, 135.0, 263.0, 156.0, 0.3060360550880432, 2.0], [474.0, 149.0, 532.0, 184.0, 0.2696855366230011, 2.0], [860.0, 139.0, 902.0, 161.0, 0.25061434507369995, 2.0]]"
500,"[[288.0, 187.0, 545.0, 278.0, 0.89918053150177, 2.0], [520.0, 194.0, 768.0, 319.0, 0.8959221243858337, 2.0], [807.0, 157.0, 960.0, 305.0, 0.8893260955810547, 2.0], [724.0, 170.0, 858.0, 261.0, 0.8743107318878174, 2.0], [579.0, 152.0, 710.0, 204.0, 0.8424636721611023, 2.0], [482.0, 174.0, 597.0, 235.0, 0.8277318477630615, 2.0], [306.0, 146.0, 348.0, 176.0, 0.7663587927818298, 2.0], [258.0, 148.0, 318.0, 179.0, 0.7284072041511536, 2.0], [723.0, 162.0, 833.0, 200.0, 0.6203413605690002, 2.0], [0.0, 152.0, 127.0, 226.0, 0.5973785519599915, 2.0], [174.0, 147.0, 217.0, 172.0, 0.580975353717804, 2.0], [708.0, 156.0, 776.0, 194.0, 0.5791782140731812, 2.0], [372.0, 160.0, 482.0, 191.0, 0.5689257979393005, 2.0], [213.0, 148.0, 251.0, 173.0, 0.5607642531394958, 2.0], [127.0, 266.0, 736.0, 532.0, 0.540411114692688, 2.0], [91.0, 170.0, 278.0, 288.0, 0.4506540894508362, 2.0], [469.0, 161.0, 508.0, 181.0, 0.4258137345314026, 2.0], [597.0, 142.0, 663.0, 163.0, 0.4225981831550598, 2.0], [896.0, 147.0, 960.0, 165.0, 0.29564663767814636, 2.0], [820.0, 145.0, 882.0, 178.0, 0.2866829037666321, 2.0]]"
600,"[[640.0, 178.0, 950.0, 390.0, 0.9134829044342041, 2.0], [519.0, 159.0, 671.0, 239.0, 0.9001984000205994, 2.0], [563.0, 192.0, 731.0, 302.0, 0.7857122421264648, 2.0], [306.0, 186.0, 485.0, 251.0, 0.7552894949913025, 2.0], [13.0, 213.0, 508.0, 445.0, 0.737219512462616, 2.0], [931.0, 187.0, 960.0, 275.0, 0.6909935474395752, 2.0], [274.0, 149.0, 358.0, 204.0, 0.6135234236717224, 2.0], [219.0, 152.0, 253.0, 178.0, 0.5936105251312256, 2.0], [866.0, 156.0, 957.0, 192.0, 0.5527669191360474, 2.0], [692.0, 155.0, 781.0, 191.0, 0.4620073139667511, 2.0], [175.0, 150.0, 220.0, 185.0, 0.4437396228313446, 2.0], [601.0, 148.0, 683.0, 188.0, 0.43857091665267944, 2.0], [376.0, 171.0, 433.0, 190.0, 0.33055922389030457, 2.0]]"
700,"[[698.0, 214.0, 941.0, 361.0, 0.9307080507278442, 2.0], [580.0, 199.0, 780.0, 301.0, 0.9014136791229248, 2.0], [892.0, 194.0, 960.0, 270.0, 0.795968770980835, 2.0], [383.0, 170.0, 548.0, 255.0, 0.7868561148643494, 2.0], [238.0, 161.0, 310.0, 191.0, 0.6661877632141113, 2.0], [747.0, 164.0, 860.0, 225.0, 0.6570261716842651, 2.0], [591.0, 183.0, 717.0, 234.0, 0.608550488948822, 2.0], [886.0, 171.0, 960.0, 209.0, 0.5892792344093323, 2.0], [585.0, 158.0, 656.0, 200.0, 0.530080258846283, 2.0], [934.0, 234.0, 960.0, 269.0, 0.47476255893707275, 2.0], [579.0, 183.0, 655.0, 232.0, 0.43906593322753906, 2.0], [305.0, 156.0, 336.0, 188.0, 0.4203520715236664, 2.0], [694.0, 158.0, 760.0, 201.0, 0.37284159660339355, 2.0], [631.0, 186.0, 742.0, 210.0, 0.2501901388168335, 2.0]]"
800,"[[726.0, 189.0, 918.0, 306.0, 0.9413375854492188, 2.0], [246.0, 199.0, 581.0, 325.0, 0.8331887125968933, 2.0], [831.0, 154.0, 926.0, 217.0, 0.7509690523147583, 2.0], [922.0, 172.0, 960.0, 254.0, 0.7499412894248962, 2.0], [459.0, 173.0, 584.0, 260.0, 0.6624227166175842, 2.0], [788.0, 159.0, 849.0, 186.0, 0.6537353992462158, 2.0], [576.0, 146.0, 648.0, 189.0, 0.632257342338562, 2.0], [10.0, 291.0, 522.0, 534.0, 0.6039497256278992, 2.0], [581.0, 154.0, 789.0, 269.0, 0.49219202995300293, 2.0], [457.0, 173.0, 582.0, 213.0, 0.2839493155479431, 2.0], [738.0, 173.0, 784.0, 202.0, 0.2749064564704895, 2.0]]"
900,"[[420.0, 212.0, 772.0, 426.0, 0.9231330752372742, 2.0], [808.0, 176.0, 931.0, 311.0, 0.8409060835838318, 2.0], [924.0, 182.0, 960.0, 228.0, 0.840342104434967, 2.0], [743.0, 158.0, 872.0, 240.0, 0.8173070549964905, 2.0], [142.0, 154.0, 187.0, 191.0, 0.7809170484542847, 2.0], [0.0, 177.0, 82.0, 326.0, 0.7676129341125488, 2.0], [572.0, 185.0, 700.0, 223.0, 0.7625890970230103, 2.0], [217.0, 155.0, 289.0, 188.0, 0.7258196473121643, 2.0], [572.0, 151.0, 645.0, 188.0, 0.6284055709838867, 2.0], [742.0, 153.0, 783.0, 187.0, 0.6202690601348877, 2.0], [677.0, 150.0, 735.0, 182.0, 0.44983381032943726, 2.0], [887.0, 149.0, 933.0, 176.0, 0.42869991064071655, 2.0], [273.0, 153.0, 317.0, 179.0, 0.3988650441169739, 2.0], [935.0, 162.0, 959.0, 182.0, 0.34396207332611084, 2.0], [185.0, 157.0, 208.0, 187.0, 0.3110635280609131, 2.0], [833.0, 156.0, 870.0, 182.0, 0.2750757932662964, 2.0]]"
1000,"[[0.0, 222.0, 160.0, 366.0, 0.9213433861732483, 2.0], [824.0, 204.0, 950.0, 287.0, 0.9097496867179871, 2.0], [193.0, 224.0, 526.0, 375.0, 0.9086295962333679, 2.0], [662.0, 178.0, 795.0, 269.0, 0.8176115155220032, 2.0], [792.0, 193.0, 854.0, 228.0, 0.8091869354248047, 2.0], [269.0, 167.0, 313.0, 199.0, 0.7878863215446472, 2.0], [74.0, 207.0, 305.0, 303.0, 0.7357915639877319, 2.0], [941.0, 207.0, 960.0, 247.0, 0.6194730401039124, 2.0], [209.0, 169.0, 283.0, 202.0, 0.60810387134552, 2.0], [608.0, 169.0, 648.0, 203.0, 0.5401970744132996, 2.0], [138.0, 168.0, 181.0, 205.0, 0.5389225482940674, 2.0], [890.0, 167.0, 933.0, 199.0, 0.4937818944454193, 2.0], [910.0, 185.0, 960.0, 215.0, 0.46815168857574463, 2.0], [0.0, 183.0, 90.0, 241.0, 0.45414236187934875, 2.0], [521.0, 175.0, 579.0, 213.0, 0.38732582330703735, 2.0], [891.0, 172.0, 959.0, 209.0, 0.3554479479789734, 2.0], [878.0, 169.0, 900.0, 191.0, 0.2916014790534973, 2.0], [2.0, 188.0, 52.0, 213.0, 0.2523743510246277, 2.0]]"
