frame,number of objects
100,"[[1356.0, 282.0, 1598.0, 439.0, 0.8522028923034668, 2.0], [1313.0, 279.0, 1412.0, 363.0, 0.8235620260238647, 2.0], [1536.0, 260.0, 1600.0, 365.0, 0.5777731537818909, 2.0], [1346.0, 256.0, 1425.0, 285.0, 0.4543811082839966, 2.0], [1455.0, 239.0, 1599.0, 287.0, 0.37787047028541565, 2.0], [1013.0, 331.0, 1124.0, 439.0, 0.3114505112171173, 2.0], [1307.0, 261.0, 1345.0, 301.0, 0.2910492718219757, 2.0]]"
200,"[[1460.0, 353.0, 1599.0, 528.0, 0.9100504517555237, 2.0], [1346.0, 282.0, 1577.0, 440.0, 0.9050613641738892, 2.0], [1521.0, 261.0, 1600.0, 354.0, 0.824571967124939, 2.0], [1299.0, 279.0, 1399.0, 358.0, 0.8002637028694153, 2.0], [1446.0, 241.0, 1591.0, 288.0, 0.40854424238204956, 2.0], [1299.0, 258.0, 1378.0, 295.0, 0.3618927299976349, 2.0]]"
300,"[[1284.0, 325.0, 1600.0, 493.0, 0.9062816500663757, 2.0], [1515.0, 251.0, 1600.0, 346.0, 0.8267048001289368, 2.0], [1292.0, 269.0, 1388.0, 357.0, 0.8203635215759277, 2.0], [1406.0, 232.0, 1561.0, 282.0, 0.6972505450248718, 2.0], [1418.0, 280.0, 1573.0, 350.0, 0.49471789598464966, 2.0], [1292.0, 247.0, 1375.0, 280.0, 0.4316686987876892, 2.0], [1327.0, 272.0, 1539.0, 358.0, 0.3638792037963867, 2.0], [1284.0, 223.0, 1374.0, 274.0, 0.2530689239501953, 2.0]]"
400,"[[770.0, 274.0, 965.0, 357.0, 0.8452293872833252, 2.0], [861.0, 281.0, 1143.0, 417.0, 0.8257616758346558, 2.0], [0.0, 296.0, 403.0, 508.0, 0.8060710430145264, 2.0], [1226.0, 261.0, 1394.0, 314.0, 0.7619131803512573, 2.0], [1002.0, 237.0, 1197.0, 314.0, 0.7347297668457031, 2.0], [1310.0, 259.0, 1600.0, 480.0, 0.6211660504341125, 2.0], [517.0, 223.0, 586.0, 262.0, 0.6107299327850342, 2.0], [1027.0, 303.0, 1319.0, 428.0, 0.6082761883735657, 2.0], [237.0, 254.0, 556.0, 343.0, 0.6071091890335083, 2.0], [685.0, 249.0, 885.0, 320.0, 0.591274619102478, 2.0], [1316.0, 277.0, 1467.0, 352.0, 0.5151818990707397, 2.0], [1008.0, 223.0, 1123.0, 255.0, 0.5077261328697205, 2.0], [967.0, 247.0, 1032.0, 282.0, 0.4965471625328064, 2.0], [1430.0, 232.0, 1506.0, 268.0, 0.4965038299560547, 2.0], [289.0, 320.0, 695.0, 521.0, 0.48494699597358704, 2.0], [238.0, 300.0, 903.0, 739.0, 0.4633110761642456, 2.0], [462.0, 220.0, 526.0, 251.0, 0.4492904245853424, 2.0], [1020.0, 320.0, 1569.0, 770.0, 0.4251950979232788, 2.0], [353.0, 226.0, 436.0, 259.0, 0.4166402518749237, 2.0], [1501.0, 238.0, 1600.0, 270.0, 0.4150716960430145, 2.0], [785.0, 250.0, 893.0, 307.0, 0.32063615322113037, 2.0], [1202.0, 221.0, 1274.0, 260.0, 0.2691386044025421, 2.0], [484.0, 259.0, 707.0, 354.0, 0.26337331533432007, 2.0], [435.0, 233.0, 550.0, 296.0, 0.25762099027633667, 2.0], [1200.0, 237.0, 1346.0, 289.0, 0.2535751163959503, 2.0], [742.0, 210.0, 816.0, 280.0, 0.25322672724723816, 2.0]]"
500,"[[1343.0, 264.0, 1600.0, 501.0, 0.9119049906730652, 2.0], [859.0, 323.0, 1277.0, 534.0, 0.8780636787414551, 2.0], [967.0, 254.0, 1186.0, 355.0, 0.833247721195221, 2.0], [1208.0, 286.0, 1426.0, 438.0, 0.8268237113952637, 2.0], [800.0, 294.0, 991.0, 392.0, 0.8192228674888611, 2.0], [511.0, 242.0, 579.0, 295.0, 0.7838462591171265, 2.0], [1205.0, 269.0, 1395.0, 336.0, 0.7609239220619202, 2.0], [0.0, 252.0, 216.0, 375.0, 0.7589758038520813, 2.0], [485.0, 312.0, 916.0, 474.0, 0.7500027418136597, 2.0], [350.0, 245.0, 417.0, 287.0, 0.6848820447921753, 2.0], [290.0, 246.0, 361.0, 286.0, 0.6496190428733826, 2.0], [430.0, 248.0, 541.0, 299.0, 0.6425846219062805, 2.0], [781.0, 267.0, 846.0, 301.0, 0.5916672945022583, 2.0], [604.0, 266.0, 812.0, 327.0, 0.585807740688324, 2.0], [996.0, 235.0, 1117.0, 276.0, 0.574331521987915, 2.0], [1367.0, 246.0, 1469.0, 296.0, 0.5315099358558655, 2.0], [1183.0, 255.0, 1297.0, 316.0, 0.5308695435523987, 2.0], [1484.0, 246.0, 1600.0, 275.0, 0.477742075920105, 2.0], [475.0, 238.0, 517.0, 268.0, 0.4353492259979248, 2.0], [887.0, 264.0, 1013.0, 316.0, 0.4329061508178711, 2.0], [1193.0, 234.0, 1266.0, 258.0, 0.4120813310146332, 2.0], [1217.0, 254.0, 1296.0, 278.0, 0.3982934057712555, 2.0], [296.0, 342.0, 958.0, 887.0, 0.354093998670578, 2.0], [146.0, 282.0, 460.0, 474.0, 0.3016299903392792, 2.0]]"
600,"[[867.0, 265.0, 1113.0, 398.0, 0.8132356405258179, 2.0], [1552.0, 313.0, 1600.0, 456.0, 0.8022116422653198, 2.0], [937.0, 326.0, 1226.0, 499.0, 0.7901472449302673, 2.0], [502.0, 309.0, 805.0, 421.0, 0.7769543528556824, 2.0], [1445.0, 262.0, 1595.0, 321.0, 0.7266910076141357, 2.0], [362.0, 251.0, 427.0, 299.0, 0.7137982249259949, 2.0], [277.0, 253.0, 369.0, 310.0, 0.6694703698158264, 2.0], [865.0, 274.0, 936.0, 331.0, 0.6639763712882996, 2.0], [1069.0, 276.0, 1581.0, 659.0, 0.6596141457557678, 2.0], [459.0, 249.0, 596.0, 344.0, 0.596388578414917, 2.0], [1007.0, 249.0, 1138.0, 311.0, 0.5695043206214905, 2.0], [434.0, 255.0, 476.0, 303.0, 0.44290345907211304, 2.0], [1162.0, 267.0, 1299.0, 316.0, 0.3965584337711334, 2.0], [625.0, 287.0, 719.0, 316.0, 0.3397112786769867, 2.0], [1190.0, 250.0, 1291.0, 294.0, 0.2790924608707428, 2.0]]"
700,"[[961.0, 335.0, 1295.0, 505.0, 0.9024867415428162, 2.0], [1163.0, 344.0, 1568.0, 599.0, 0.8874036073684692, 2.0], [1475.0, 283.0, 1600.0, 362.0, 0.7819507122039795, 2.0], [1487.0, 322.0, 1600.0, 445.0, 0.7809862494468689, 2.0], [406.0, 266.0, 511.0, 319.0, 0.7684776782989502, 2.0], [1247.0, 276.0, 1437.0, 372.0, 0.7372894287109375, 2.0], [651.0, 280.0, 913.0, 427.0, 0.7135754823684692, 2.0], [989.0, 263.0, 1102.0, 320.0, 0.6529810428619385, 2.0], [965.0, 305.0, 1107.0, 391.0, 0.6239829659461975, 2.0], [995.0, 302.0, 1234.0, 393.0, 0.5454016923904419, 2.0], [501.0, 261.0, 562.0, 313.0, 0.5277986526489258, 2.0], [1202.0, 285.0, 1273.0, 333.0, 0.5123907923698425, 2.0], [1555.0, 390.0, 1600.0, 446.0, 0.48059311509132385, 2.0], [1512.0, 265.0, 1600.0, 287.0, 0.46129417419433594, 2.0], [464.0, 257.0, 503.0, 287.0, 0.40104275941848755, 2.0], [1166.0, 261.0, 1250.0, 297.0, 0.3778504729270935, 2.0], [1469.0, 286.0, 1512.0, 324.0, 0.26245206594467163, 2.0]]"
800,"[[1209.0, 318.0, 1525.0, 512.0, 0.9342977404594421, 2.0], [1378.0, 261.0, 1541.0, 363.0, 0.8153271675109863, 2.0], [1540.0, 285.0, 1600.0, 424.0, 0.7478851675987244, 2.0], [965.0, 241.0, 1078.0, 314.0, 0.6403744220733643, 2.0], [1315.0, 265.0, 1417.0, 305.0, 0.6287754774093628, 2.0], [370.0, 323.0, 988.0, 536.0, 0.5737193822860718, 2.0], [763.0, 293.0, 975.0, 431.0, 0.5435486435890198, 2.0], [1227.0, 292.0, 1312.0, 339.0, 0.46301788091659546, 2.0], [1502.0, 245.0, 1583.0, 290.0, 0.44138649106025696, 2.0], [1166.0, 241.0, 1247.0, 287.0, 0.4169172942638397, 2.0], [1392.0, 251.0, 1453.0, 274.0, 0.4149894416332245, 2.0], [966.0, 255.0, 1241.0, 449.0, 0.3986833989620209, 2.0], [256.0, 241.0, 330.0, 279.0, 0.3371565639972687, 2.0], [312.0, 244.0, 375.0, 274.0, 0.3216997981071472, 2.0], [1162.0, 242.0, 1236.0, 266.0, 0.2922702431678772, 2.0], [765.0, 292.0, 967.0, 358.0, 0.290993869304657, 2.0], [108.0, 261.0, 702.0, 478.0, 0.25759339332580566, 2.0]]"
900,"[[1541.0, 297.0, 1600.0, 382.0, 0.8940825462341309, 2.0], [1349.0, 297.0, 1550.0, 504.0, 0.8310864567756653, 2.0], [372.0, 260.0, 487.0, 312.0, 0.7965585589408875, 2.0], [236.0, 258.0, 311.0, 319.0, 0.7797435522079468, 2.0], [951.0, 251.0, 1070.0, 311.0, 0.7542765736579895, 2.0], [1237.0, 269.0, 1442.0, 398.0, 0.6992072463035583, 2.0], [311.0, 382.0, 449.0, 511.0, 0.6830592155456543, 2.0], [1240.0, 257.0, 1301.0, 310.0, 0.6612066626548767, 2.0], [0.0, 288.0, 126.0, 544.0, 0.6401413679122925, 2.0], [1477.0, 249.0, 1559.0, 293.0, 0.6378029584884644, 2.0], [945.0, 308.0, 1166.0, 375.0, 0.6184053421020508, 2.0], [313.0, 259.0, 356.0, 313.0, 0.5986588597297668, 2.0], [689.0, 319.0, 1290.0, 716.0, 0.5459905862808228, 2.0], [459.0, 256.0, 528.0, 289.0, 0.5150618553161621, 2.0], [1553.0, 264.0, 1599.0, 306.0, 0.5102929472923279, 2.0], [1146.0, 249.0, 1230.0, 304.0, 0.4930305778980255, 2.0], [1298.0, 255.0, 1341.0, 284.0, 0.39727258682250977, 2.0], [1383.0, 262.0, 1451.0, 310.0, 0.2884552776813507, 2.0]]"
1000,"[[0.0, 370.0, 264.0, 611.0, 0.8881599307060242, 2.0], [1318.0, 320.0, 1424.0, 383.0, 0.8530341386795044, 2.0], [1367.0, 339.0, 1586.0, 478.0, 0.8215897679328918, 2.0], [452.0, 278.0, 520.0, 332.0, 0.821317732334137, 2.0], [369.0, 280.0, 480.0, 334.0, 0.7736290097236633, 2.0], [128.0, 341.0, 509.0, 504.0, 0.7305259108543396, 2.0], [230.0, 281.0, 302.0, 342.0, 0.7238578200340271, 2.0], [1517.0, 304.0, 1600.0, 363.0, 0.7162572741508484, 2.0], [1563.0, 341.0, 1600.0, 411.0, 0.6876952052116394, 2.0], [305.0, 282.0, 351.0, 324.0, 0.6281800270080566, 2.0], [1487.0, 280.0, 1558.0, 330.0, 0.6091455221176147, 2.0], [1463.0, 276.0, 1501.0, 318.0, 0.5759212970733643, 2.0], [352.0, 382.0, 881.0, 624.0, 0.5597494840621948, 2.0], [1100.0, 291.0, 1316.0, 454.0, 0.5542744994163513, 2.0], [1016.0, 280.0, 1060.0, 338.0, 0.553878128528595, 2.0], [0.0, 316.0, 148.0, 399.0, 0.4498288929462433, 2.0], [1126.0, 273.0, 1204.0, 305.0, 0.43710362911224365, 2.0], [1358.0, 285.0, 1397.0, 318.0, 0.4230464994907379, 2.0], [422.0, 273.0, 461.0, 304.0, 0.39764052629470825, 2.0], [1532.0, 320.0, 1600.0, 410.0, 0.26064589619636536, 2.0], [1368.0, 282.0, 1429.0, 319.0, 0.2523377537727356, 2.0]]"
