frame,number of objects
100,"[[1576.0, 331.0, 1697.0, 436.0, 0.8526405692100525, 2.0], [1626.0, 335.0, 1916.0, 527.0, 0.7922406196594238, 2.0], [1842.0, 309.0, 1920.0, 432.0, 0.7254944443702698, 2.0], [1614.0, 307.0, 1713.0, 344.0, 0.6238698959350586, 2.0], [1570.0, 315.0, 1613.0, 359.0, 0.42890676856040955, 2.0]]"
200,"[[1753.0, 425.0, 1919.0, 639.0, 0.9152300357818604, 2.0], [1619.0, 344.0, 1897.0, 528.0, 0.8720100522041321, 2.0], [1826.0, 312.0, 1920.0, 425.0, 0.8105607628822327, 2.0], [1562.0, 333.0, 1680.0, 430.0, 0.8042315244674683, 2.0], [1562.0, 308.0, 1655.0, 349.0, 0.49080878496170044, 2.0], [1724.0, 289.0, 1910.0, 349.0, 0.28268513083457947, 2.0]]"
300,"[[1552.0, 388.0, 1920.0, 591.0, 0.8928185105323792, 2.0], [1550.0, 323.0, 1665.0, 430.0, 0.8820863962173462, 2.0], [1818.0, 301.0, 1920.0, 418.0, 0.7846977114677429, 2.0], [1668.0, 279.0, 1876.0, 340.0, 0.4738338589668274, 2.0], [1591.0, 327.0, 1888.0, 424.0, 0.4500785768032074, 2.0], [1554.0, 290.0, 1649.0, 331.0, 0.2792198359966278, 2.0], [1535.0, 256.0, 1634.0, 307.0, 0.2650597393512726, 2.0]]"
400,"[[1027.0, 337.0, 1373.0, 501.0, 0.8556673526763916, 2.0], [930.0, 330.0, 1154.0, 429.0, 0.8152550458908081, 2.0], [1713.0, 279.0, 1806.0, 324.0, 0.7206497192382812, 2.0], [821.0, 296.0, 1074.0, 384.0, 0.6595875024795532, 2.0], [1472.0, 315.0, 1682.0, 378.0, 0.6496529579162598, 2.0], [1196.0, 286.0, 1438.0, 378.0, 0.6274710893630981, 2.0], [1688.0, 310.0, 1920.0, 587.0, 0.5828310251235962, 2.0], [1807.0, 285.0, 1920.0, 318.0, 0.5520389676094055, 2.0], [619.0, 266.0, 703.0, 313.0, 0.5484917163848877, 2.0], [1240.0, 360.0, 1533.0, 520.0, 0.5403828024864197, 2.0], [1161.0, 298.0, 1242.0, 338.0, 0.5326485633850098, 2.0], [429.0, 271.0, 503.0, 310.0, 0.47880008816719055, 2.0], [1210.0, 267.0, 1343.0, 307.0, 0.4712691009044647, 2.0], [355.0, 369.0, 1016.0, 871.0, 0.45236343145370483, 2.0], [0.0, 335.0, 473.0, 602.0, 0.3938159942626953, 2.0], [1262.0, 362.0, 1887.0, 926.0, 0.38808372616767883, 2.0], [584.0, 264.0, 628.0, 299.0, 0.3858579695224762, 2.0], [1446.0, 267.0, 1549.0, 319.0, 0.36220407485961914, 2.0], [1545.0, 295.0, 1628.0, 316.0, 0.34000587463378906, 2.0], [286.0, 292.0, 679.0, 413.0, 0.3328862488269806, 2.0], [1552.0, 326.0, 1766.0, 421.0, 0.3008345365524292, 2.0], [1441.0, 302.0, 1564.0, 357.0, 0.2819584608078003, 2.0]]"
500,"[[1610.0, 315.0, 1920.0, 605.0, 0.8505352735519409, 2.0], [612.0, 291.0, 694.0, 354.0, 0.8456819653511047, 2.0], [513.0, 296.0, 644.0, 359.0, 0.8075098991394043, 2.0], [1450.0, 324.0, 1674.0, 403.0, 0.8034693598747253, 2.0], [960.0, 352.0, 1187.0, 470.0, 0.7892418503761292, 2.0], [1453.0, 350.0, 1706.0, 526.0, 0.7602370381355286, 2.0], [1154.0, 303.0, 1423.0, 431.0, 0.74151211977005, 2.0], [0.0, 302.0, 268.0, 438.0, 0.7379832863807678, 2.0], [418.0, 295.0, 495.0, 344.0, 0.6731389164924622, 2.0], [1417.0, 309.0, 1556.0, 386.0, 0.620643138885498, 2.0], [1638.0, 293.0, 1763.0, 354.0, 0.6162931323051453, 2.0], [1196.0, 283.0, 1339.0, 323.0, 0.5699439644813538, 2.0], [627.0, 374.0, 1108.0, 551.0, 0.5597332119941711, 2.0], [350.0, 294.0, 435.0, 344.0, 0.5421720147132874, 2.0], [935.0, 320.0, 1016.0, 364.0, 0.49498021602630615, 2.0], [1785.0, 295.0, 1920.0, 328.0, 0.44484394788742065, 2.0], [710.0, 321.0, 969.0, 395.0, 0.4187675416469574, 2.0], [1067.0, 318.0, 1225.0, 381.0, 0.3598043620586395, 2.0], [567.0, 285.0, 621.0, 321.0, 0.3371295630931854, 2.0], [1010.0, 382.0, 1538.0, 645.0, 0.3309900760650635, 2.0], [1435.0, 304.0, 1555.0, 339.0, 0.3004790246486664, 2.0]]"
600,"[[1863.0, 375.0, 1920.0, 548.0, 0.8421773314476013, 2.0], [1045.0, 317.0, 1343.0, 478.0, 0.8141582012176514, 2.0], [614.0, 371.0, 965.0, 508.0, 0.7966605424880981, 2.0], [434.0, 303.0, 506.0, 356.0, 0.7924360632896423, 2.0], [550.0, 298.0, 712.0, 407.0, 0.7141550779342651, 2.0], [1127.0, 396.0, 1458.0, 594.0, 0.679641842842102, 2.0], [1735.0, 313.0, 1913.0, 391.0, 0.674508810043335, 2.0], [1037.0, 330.0, 1117.0, 399.0, 0.5655882358551025, 2.0], [1210.0, 297.0, 1366.0, 373.0, 0.5448192358016968, 2.0], [340.0, 305.0, 442.0, 371.0, 0.539629340171814, 2.0], [487.0, 305.0, 570.0, 362.0, 0.4471419155597687, 2.0], [1436.0, 297.0, 1542.0, 334.0, 0.39884886145591736, 2.0], [1410.0, 327.0, 1560.0, 379.0, 0.36338669061660767, 2.0], [750.0, 344.0, 862.0, 377.0, 0.34396857023239136, 2.0], [363.0, 300.0, 441.0, 326.0, 0.3004508912563324, 2.0], [1297.0, 316.0, 1885.0, 775.0, 0.29777854681015015, 2.0], [1865.0, 299.0, 1920.0, 378.0, 0.25919124484062195, 2.0], [1214.0, 296.0, 1334.0, 337.0, 0.25673940777778625, 2.0]]"
700,"[[1774.0, 342.0, 1919.0, 432.0, 0.8294838070869446, 2.0], [1782.0, 388.0, 1920.0, 536.0, 0.7984950542449951, 2.0], [794.0, 340.0, 1098.0, 514.0, 0.7982676029205322, 2.0], [1869.0, 469.0, 1920.0, 535.0, 0.7637493014335632, 2.0], [489.0, 321.0, 622.0, 382.0, 0.7591096758842468, 2.0], [1157.0, 367.0, 1311.0, 468.0, 0.7502826452255249, 2.0], [1395.0, 402.0, 1886.0, 720.0, 0.748284637928009, 2.0], [1160.0, 397.0, 1555.0, 604.0, 0.7162639498710632, 2.0], [1495.0, 334.0, 1723.0, 446.0, 0.6713834404945374, 2.0], [1186.0, 316.0, 1304.0, 387.0, 0.6499006152153015, 2.0], [1191.0, 362.0, 1441.0, 474.0, 0.6473199129104614, 2.0], [1442.0, 342.0, 1525.0, 398.0, 0.5777122974395752, 2.0], [621.0, 313.0, 674.0, 375.0, 0.5573902726173401, 2.0], [1809.0, 319.0, 1920.0, 356.0, 0.450791597366333, 2.0], [1409.0, 314.0, 1504.0, 358.0, 0.39186275005340576, 2.0], [545.0, 309.0, 604.0, 345.0, 0.3775588274002075, 2.0], [330.0, 322.0, 404.0, 388.0, 0.32831478118896484, 2.0], [1141.0, 325.0, 1173.0, 363.0, 0.2517034709453583, 2.0]]"
800,"[[1450.0, 385.0, 1831.0, 610.0, 0.9336230158805847, 2.0], [1656.0, 312.0, 1850.0, 435.0, 0.807455837726593, 2.0], [1159.0, 290.0, 1300.0, 384.0, 0.7409803867340088, 2.0], [1581.0, 319.0, 1700.0, 368.0, 0.6944336295127869, 2.0], [917.0, 354.0, 1171.0, 449.0, 0.5887607336044312, 2.0], [1848.0, 342.0, 1920.0, 512.0, 0.5590444803237915, 2.0], [1403.0, 292.0, 1508.0, 351.0, 0.5219099521636963, 2.0], [1891.0, 302.0, 1920.0, 339.0, 0.4566422998905182, 2.0], [1671.0, 303.0, 1746.0, 327.0, 0.4427453577518463, 2.0], [545.0, 387.0, 1188.0, 657.0, 0.43728190660476685, 2.0], [1799.0, 296.0, 1898.0, 348.0, 0.4177264869213104, 2.0], [1846.0, 300.0, 1870.0, 349.0, 0.3390441834926605, 2.0], [113.0, 323.0, 721.0, 575.0, 0.33744025230407715, 2.0]]"
900,"[[1849.0, 359.0, 1920.0, 457.0, 0.915279746055603, 2.0], [447.0, 313.0, 582.0, 375.0, 0.8363113403320312, 2.0], [378.0, 462.0, 533.0, 610.0, 0.7531436681747437, 2.0], [283.0, 309.0, 372.0, 383.0, 0.695889413356781, 2.0], [1479.0, 320.0, 1741.0, 479.0, 0.6923991441726685, 2.0], [1.0, 348.0, 152.0, 643.0, 0.6922011375427246, 2.0], [1619.0, 357.0, 1863.0, 604.0, 0.6806095838546753, 2.0], [1142.0, 302.0, 1280.0, 371.0, 0.6658105850219727, 2.0], [1489.0, 309.0, 1558.0, 373.0, 0.655967652797699, 2.0], [1771.0, 299.0, 1870.0, 351.0, 0.5827470421791077, 2.0], [1873.0, 323.0, 1918.0, 364.0, 0.5698516964912415, 2.0], [377.0, 311.0, 430.0, 371.0, 0.5276095867156982, 2.0], [552.0, 305.0, 632.0, 347.0, 0.521798312664032, 2.0], [1370.0, 300.0, 1479.0, 363.0, 0.5190942287445068, 2.0], [845.0, 387.0, 1493.0, 860.0, 0.4496968984603882, 2.0], [1143.0, 370.0, 1406.0, 446.0, 0.39072805643081665, 2.0]]"
1000,"[[540.0, 332.0, 624.0, 398.0, 0.8253166079521179, 2.0], [1580.0, 385.0, 1711.0, 459.0, 0.8168906569480896, 2.0], [0.0, 445.0, 319.0, 731.0, 0.8096672296524048, 2.0], [1875.0, 401.0, 1920.0, 490.0, 0.7821521162986755, 2.0], [1819.0, 366.0, 1920.0, 424.0, 0.7550853490829468, 2.0], [1608.0, 407.0, 1901.0, 576.0, 0.7330443859100342, 2.0], [435.0, 338.0, 580.0, 403.0, 0.7218770980834961, 2.0], [1783.0, 340.0, 1874.0, 395.0, 0.6642593145370483, 2.0], [280.0, 336.0, 363.0, 407.0, 0.6633930802345276, 2.0], [1326.0, 354.0, 1591.0, 542.0, 0.6007084250450134, 2.0], [1218.0, 335.0, 1285.0, 404.0, 0.5707089304924011, 2.0], [1757.0, 330.0, 1846.0, 383.0, 0.5698131918907166, 2.0], [116.0, 403.0, 613.0, 609.0, 0.49059244990348816, 2.0], [1357.0, 328.0, 1446.0, 365.0, 0.4865182042121887, 2.0], [365.0, 338.0, 420.0, 389.0, 0.4837198555469513, 2.0], [512.0, 329.0, 553.0, 363.0, 0.4312152862548828, 2.0], [1849.0, 381.0, 1920.0, 467.0, 0.30818718671798706, 2.0], [492.0, 440.0, 1067.0, 747.0, 0.288035124540329, 2.0], [1628.0, 341.0, 1681.0, 382.0, 0.2670069634914398, 2.0]]"
