frame,number of objects
100,"[[1087.0, 227.0, 1279.0, 352.0, 0.8306229114532471, 2.0], [1050.0, 223.0, 1128.0, 292.0, 0.801518976688385, 2.0], [1232.0, 210.0, 1280.0, 286.0, 0.5709424018859863, 2.0], [1044.0, 211.0, 1075.0, 248.0, 0.4660875201225281, 2.0], [1075.0, 204.0, 1140.0, 228.0, 0.3843420743942261, 2.0], [1156.0, 193.0, 1278.0, 228.0, 0.26809069514274597, 2.0]]"
200,"[[1167.0, 285.0, 1279.0, 424.0, 0.9297255873680115, 2.0], [1078.0, 226.0, 1259.0, 351.0, 0.8837350010871887, 2.0], [1040.0, 223.0, 1119.0, 282.0, 0.7948956489562988, 2.0], [1219.0, 211.0, 1280.0, 283.0, 0.6292347311973572, 2.0], [1143.0, 195.0, 1275.0, 231.0, 0.4041856527328491, 2.0], [1039.0, 204.0, 1108.0, 238.0, 0.36470451951026917, 2.0]]"
300,"[[1032.0, 258.0, 1280.0, 394.0, 0.9218228459358215, 2.0], [1033.0, 215.0, 1109.0, 283.0, 0.7230556607246399, 2.0], [1212.0, 200.0, 1280.0, 279.0, 0.6976333260536194, 2.0], [1061.0, 219.0, 1265.0, 289.0, 0.6490035057067871, 2.0], [1121.0, 186.0, 1250.0, 226.0, 0.4392523467540741, 2.0], [796.0, 252.0, 911.0, 333.0, 0.31391432881355286, 2.0], [1028.0, 193.0, 1100.0, 223.0, 0.27339282631874084, 2.0]]"
400,"[[691.0, 225.0, 920.0, 332.0, 0.8695191740989685, 2.0], [0.0, 238.0, 329.0, 404.0, 0.846964955329895, 2.0], [614.0, 218.0, 772.0, 286.0, 0.8378785848617554, 2.0], [823.0, 239.0, 1066.0, 348.0, 0.8263506293296814, 2.0], [799.0, 191.0, 959.0, 251.0, 0.7723017334938049, 2.0], [190.0, 208.0, 428.0, 272.0, 0.7400895953178406, 2.0], [540.0, 199.0, 715.0, 256.0, 0.6916896104812622, 2.0], [234.0, 244.0, 633.0, 408.0, 0.6183218359947205, 2.0], [977.0, 208.0, 1115.0, 252.0, 0.6109708547592163, 2.0], [1199.0, 191.0, 1280.0, 215.0, 0.5437414050102234, 2.0], [1056.0, 208.0, 1279.0, 382.0, 0.5417628884315491, 2.0], [210.0, 258.0, 838.0, 588.0, 0.5355909466743469, 2.0], [412.0, 179.0, 470.0, 209.0, 0.48842743039131165, 2.0], [843.0, 251.0, 1252.0, 612.0, 0.4619733393192291, 2.0], [394.0, 206.0, 595.0, 282.0, 0.4514347016811371, 2.0], [807.0, 178.0, 899.0, 202.0, 0.4423528015613556, 2.0], [288.0, 181.0, 346.0, 208.0, 0.40603142976760864, 2.0], [1144.0, 185.0, 1210.0, 217.0, 0.3966499865055084, 2.0], [776.0, 197.0, 829.0, 224.0, 0.3783947825431824, 2.0], [578.0, 173.0, 672.0, 245.0, 0.26949217915534973, 2.0], [290.0, 179.0, 439.0, 227.0, 0.257757306098938, 2.0], [967.0, 179.0, 1018.0, 208.0, 0.2577560842037201, 2.0]]"
500,"[[686.0, 259.0, 1025.0, 424.0, 0.9200136661529541, 2.0], [1075.0, 210.0, 1280.0, 407.0, 0.8949155211448669, 2.0], [384.0, 248.0, 728.0, 371.0, 0.8828355669975281, 2.0], [644.0, 231.0, 793.0, 315.0, 0.8781687617301941, 2.0], [963.0, 228.0, 1141.0, 348.0, 0.8298577666282654, 2.0], [407.0, 194.0, 464.0, 236.0, 0.8012773990631104, 2.0], [776.0, 202.0, 947.0, 278.0, 0.7950543165206909, 2.0], [0.0, 199.0, 179.0, 302.0, 0.7245305776596069, 2.0], [284.0, 197.0, 332.0, 229.0, 0.698837161064148, 2.0], [964.0, 215.0, 1115.0, 268.0, 0.6931904554367065, 2.0], [232.0, 195.0, 290.0, 229.0, 0.66321861743927, 2.0], [325.0, 198.0, 428.0, 239.0, 0.6216557025909424, 2.0], [798.0, 190.0, 889.0, 222.0, 0.5418187975883484, 2.0], [945.0, 204.0, 1037.0, 255.0, 0.4712284803390503, 2.0], [1196.0, 197.0, 1280.0, 218.0, 0.4707872271537781, 2.0], [487.0, 212.0, 648.0, 253.0, 0.4667896628379822, 2.0], [1091.0, 196.0, 1174.0, 236.0, 0.4629642367362976, 2.0], [622.0, 214.0, 675.0, 241.0, 0.4442029297351837, 2.0], [738.0, 209.0, 818.0, 251.0, 0.40610072016716003, 2.0], [963.0, 204.0, 1036.0, 227.0, 0.30889368057250977, 2.0], [185.0, 347.0, 827.0, 715.0, 0.30320483446121216, 2.0], [950.0, 186.0, 1012.0, 205.0, 0.27049195766448975, 2.0]]"
600,"[[753.0, 258.0, 960.0, 401.0, 0.8635730743408203, 2.0], [697.0, 210.0, 888.0, 319.0, 0.8392323851585388, 2.0], [865.0, 233.0, 1259.0, 515.0, 0.8387112021446228, 2.0], [410.0, 246.0, 643.0, 337.0, 0.816005527973175, 2.0], [1242.0, 248.0, 1280.0, 364.0, 0.7612278461456299, 2.0], [366.0, 199.0, 476.0, 272.0, 0.7224218845367432, 2.0], [1152.0, 208.0, 1273.0, 258.0, 0.7091999053955078, 2.0], [804.0, 199.0, 902.0, 247.0, 0.6932815313339233, 2.0], [291.0, 201.0, 341.0, 238.0, 0.6349973082542419, 2.0], [227.0, 201.0, 295.0, 249.0, 0.6266669631004333, 2.0], [691.0, 222.0, 748.0, 265.0, 0.5433257818222046, 2.0], [497.0, 229.0, 576.0, 255.0, 0.5396791100502014, 2.0], [927.0, 208.0, 1041.0, 253.0, 0.5245065093040466, 2.0], [9.0, 285.0, 630.0, 576.0, 0.40754884481430054, 2.0], [443.0, 233.0, 637.0, 286.0, 0.3280405104160309, 2.0]]"
700,"[[932.0, 281.0, 1260.0, 483.0, 0.923429548740387, 2.0], [774.0, 266.0, 1038.0, 400.0, 0.8912032246589661, 2.0], [1182.0, 229.0, 1280.0, 287.0, 0.7438604235649109, 2.0], [309.0, 212.0, 413.0, 254.0, 0.7280623316764832, 2.0], [1187.0, 258.0, 1280.0, 350.0, 0.7126071453094482, 2.0], [520.0, 224.0, 732.0, 342.0, 0.7088494896888733, 2.0], [997.0, 219.0, 1147.0, 298.0, 0.6644794344902039, 2.0], [796.0, 242.0, 985.0, 312.0, 0.6365699172019958, 2.0], [792.0, 211.0, 865.0, 259.0, 0.6073218584060669, 2.0], [1217.0, 212.0, 1280.0, 229.0, 0.5570623874664307, 2.0], [772.0, 247.0, 880.0, 315.0, 0.4768480956554413, 2.0], [400.0, 208.0, 449.0, 252.0, 0.429319828748703, 2.0], [1246.0, 312.0, 1280.0, 360.0, 0.3758639693260193, 2.0], [964.0, 227.0, 1016.0, 267.0, 0.32572802901268005, 2.0], [935.0, 211.0, 1013.0, 253.0, 0.2857818603515625, 2.0], [1176.0, 229.0, 1209.0, 258.0, 0.2735045850276947, 2.0], [219.0, 195.0, 280.0, 258.0, 0.2531684637069702, 2.0]]"
800,"[[967.0, 254.0, 1223.0, 410.0, 0.9387015104293823, 2.0], [1106.0, 206.0, 1231.0, 290.0, 0.8418480753898621, 2.0], [1231.0, 229.0, 1280.0, 339.0, 0.7521646618843079, 2.0], [768.0, 194.0, 868.0, 248.0, 0.6747794151306152, 2.0], [1052.0, 213.0, 1131.0, 245.0, 0.6598607897758484, 2.0], [984.0, 234.0, 1047.0, 272.0, 0.6098604798316956, 2.0], [614.0, 232.0, 775.0, 308.0, 0.5712689757347107, 2.0], [282.0, 264.0, 785.0, 436.0, 0.5640246272087097, 2.0], [772.0, 205.0, 1002.0, 362.0, 0.4578673541545868, 2.0], [936.0, 194.0, 995.0, 230.0, 0.3031066954135895, 2.0], [56.0, 386.0, 713.0, 719.0, 0.28042858839035034, 2.0], [982.0, 208.0, 1010.0, 234.0, 0.2546307444572449, 2.0], [1113.0, 201.0, 1164.0, 218.0, 0.2505136728286743, 2.0]]"
900,"[[1232.0, 237.0, 1280.0, 304.0, 0.8994364738464355, 2.0], [1078.0, 238.0, 1239.0, 413.0, 0.8061991333961487, 2.0], [988.0, 213.0, 1163.0, 319.0, 0.8052153587341309, 2.0], [189.0, 205.0, 249.0, 256.0, 0.7632275819778442, 2.0], [763.0, 246.0, 934.0, 295.0, 0.7623394131660461, 2.0], [762.0, 201.0, 860.0, 249.0, 0.7395873069763184, 2.0], [0.0, 232.0, 103.0, 435.0, 0.7203078866004944, 2.0], [564.0, 271.0, 1041.0, 574.0, 0.6950792074203491, 2.0], [296.0, 209.0, 388.0, 250.0, 0.6819825172424316, 2.0], [913.0, 200.0, 985.0, 243.0, 0.6436655521392822, 2.0], [991.0, 205.0, 1045.0, 249.0, 0.5718703269958496, 2.0], [366.0, 205.0, 426.0, 231.0, 0.5218799710273743, 2.0], [1183.0, 199.0, 1246.0, 234.0, 0.5180281400680542, 2.0], [243.0, 307.0, 357.0, 409.0, 0.4367852509021759, 2.0], [1113.0, 210.0, 1161.0, 247.0, 0.3951132595539093, 2.0], [324.0, 200.0, 375.0, 225.0, 0.35180723667144775, 2.0], [250.0, 207.0, 289.0, 245.0, 0.3291850686073303, 2.0], [1239.0, 207.0, 1280.0, 243.0, 0.2861058712005615, 2.0], [255.0, 211.0, 277.0, 254.0, 0.2625811696052551, 2.0]]"
1000,"[[1.0, 300.0, 210.0, 487.0, 0.913034975528717, 2.0], [1099.0, 271.0, 1268.0, 383.0, 0.8988033533096313, 2.0], [99.0, 275.0, 409.0, 402.0, 0.8346647024154663, 2.0], [1054.0, 256.0, 1140.0, 305.0, 0.8278865218162537, 2.0], [361.0, 223.0, 416.0, 265.0, 0.795324444770813, 2.0], [878.0, 237.0, 1062.0, 358.0, 0.7795438170433044, 2.0], [268.0, 301.0, 705.0, 501.0, 0.7469780445098877, 2.0], [290.0, 228.0, 381.0, 267.0, 0.7324101328849792, 2.0], [1250.0, 278.0, 1280.0, 330.0, 0.6949930191040039, 2.0], [1211.0, 245.0, 1280.0, 286.0, 0.6873638033866882, 2.0], [186.0, 223.0, 242.0, 273.0, 0.6179863810539246, 2.0], [811.0, 223.0, 866.0, 270.0, 0.5606669187545776, 2.0], [1186.0, 222.0, 1238.0, 262.0, 0.5475924611091614, 2.0], [1.0, 253.0, 67.0, 282.0, 0.4026513397693634, 2.0], [242.0, 225.0, 281.0, 262.0, 0.375705748796463, 2.0], [903.0, 218.0, 962.0, 242.0, 0.36626604199409485, 2.0], [338.0, 219.0, 370.0, 242.0, 0.3589896261692047, 2.0], [1172.0, 220.0, 1205.0, 254.0, 0.3489023745059967, 2.0], [0.0, 251.0, 113.0, 311.0, 0.3118961751461029, 2.0], [60.0, 238.0, 119.0, 317.0, 0.25198179483413696, 2.0]]"
