frame,number of objects
100,"[[267.0, 55.0, 317.0, 86.0, 0.43700364232063293, 2.0], [263.0, 52.0, 286.0, 71.0, 0.27109721302986145, 2.0]]"
200,"[[291.0, 72.0, 320.0, 105.0, 0.8257360458374023, 2.0], [274.0, 57.0, 314.0, 88.0, 0.5554442405700684, 2.0]]"
300,"[[258.0, 62.0, 320.0, 100.0, 0.7928025722503662, 2.0], [306.0, 51.0, 320.0, 73.0, 0.4227134883403778, 2.0], [270.0, 54.0, 314.0, 70.0, 0.3983299434185028, 2.0], [258.0, 55.0, 276.0, 71.0, 0.34457072615623474, 2.0]]"
400,"[[0.0, 59.0, 81.0, 100.0, 0.8509828448295593, 2.0], [214.0, 70.0, 313.0, 152.0, 0.8415477275848389, 2.0], [49.0, 71.0, 204.0, 144.0, 0.8054649829864502, 2.0], [171.0, 55.0, 232.0, 83.0, 0.6665295362472534, 2.0], [280.0, 52.0, 320.0, 93.0, 0.5610683560371399, 2.0], [261.0, 54.0, 293.0, 69.0, 0.434601753950119, 2.0], [216.0, 60.0, 268.0, 80.0, 0.42621180415153503, 2.0], [246.0, 52.0, 285.0, 68.0, 0.31052547693252563, 2.0], [101.0, 60.0, 163.0, 77.0, 0.25173866748809814, 2.0]]"
500,"[[270.0, 53.0, 320.0, 101.0, 0.8540441989898682, 2.0], [0.0, 93.0, 243.0, 180.0, 0.8500193953514099, 2.0], [94.0, 61.0, 180.0, 92.0, 0.8464171290397644, 2.0], [171.0, 64.0, 255.0, 106.0, 0.7899669408798218, 2.0], [245.0, 56.0, 281.0, 87.0, 0.6441870927810669, 2.0], [29.0, 57.0, 94.0, 95.0, 0.6376784443855286, 2.0], [0.0, 52.0, 39.0, 79.0, 0.3695996105670929, 2.0], [165.0, 58.0, 200.0, 75.0, 0.28057920932769775, 2.0]]"
600,"[[0.0, 75.0, 170.0, 150.0, 0.9003667235374451, 2.0], [187.0, 65.0, 247.0, 102.0, 0.7757169604301453, 2.0], [215.0, 59.0, 315.0, 131.0, 0.7443251013755798, 2.0], [174.0, 54.0, 222.0, 80.0, 0.6490598320960999, 2.0], [104.0, 61.0, 162.0, 85.0, 0.608645498752594, 2.0], [310.0, 61.0, 320.0, 83.0, 0.3417397737503052, 2.0], [176.0, 58.0, 201.0, 79.0, 0.2791706919670105, 2.0]]"
700,"[[234.0, 69.0, 313.0, 120.0, 0.8996457457542419, 2.0], [194.0, 65.0, 259.0, 100.0, 0.8421267867088318, 2.0], [132.0, 56.0, 183.0, 88.0, 0.8330810070037842, 2.0], [299.0, 62.0, 320.0, 89.0, 0.6293818950653076, 2.0], [250.0, 54.0, 286.0, 74.0, 0.5579378604888916, 2.0], [0.0, 61.0, 179.0, 180.0, 0.38191336393356323, 2.0]]"
800,"[[0.0, 98.0, 175.0, 180.0, 0.8902794122695923, 2.0], [242.0, 64.0, 307.0, 102.0, 0.8726627826690674, 2.0], [92.0, 68.0, 194.0, 108.0, 0.8173972964286804, 2.0], [23.0, 52.0, 135.0, 94.0, 0.7470741271972656, 2.0], [192.0, 51.0, 244.0, 92.0, 0.4264121651649475, 2.0], [159.0, 58.0, 196.0, 78.0, 0.40594807267189026, 2.0], [42.0, 59.0, 178.0, 102.0, 0.30173182487487793, 2.0], [307.0, 61.0, 320.0, 84.0, 0.25183963775634766, 2.0]]"
900,"[[137.0, 72.0, 256.0, 142.0, 0.907404363155365, 2.0], [60.0, 77.0, 88.0, 102.0, 0.7420163750648499, 2.0], [0.0, 59.0, 25.0, 106.0, 0.722802460193634, 2.0], [268.0, 59.0, 310.0, 101.0, 0.7101216316223145, 2.0], [308.0, 62.0, 320.0, 76.0, 0.5464916229248047, 2.0], [246.0, 54.0, 282.0, 78.0, 0.5230176448822021, 2.0], [192.0, 50.0, 215.0, 62.0, 0.36797037720680237, 2.0], [257.0, 53.0, 304.0, 80.0, 0.36431169509887695, 2.0], [227.0, 50.0, 246.0, 62.0, 0.30638983845710754, 2.0]]"
1000,"[[64.0, 76.0, 175.0, 125.0, 0.8949232697486877, 2.0], [0.0, 76.0, 54.0, 122.0, 0.879429280757904, 2.0], [24.0, 68.0, 104.0, 100.0, 0.8630925416946411, 2.0], [279.0, 68.0, 315.0, 94.0, 0.6974033713340759, 2.0], [220.0, 61.0, 251.0, 76.0, 0.5886191129684448, 2.0], [175.0, 74.0, 256.0, 153.0, 0.4457085132598877, 2.0], [304.0, 65.0, 320.0, 88.0, 0.3687022924423218, 2.0]]"
1100,"[[233.0, 92.0, 320.0, 179.0, 0.9236922264099121, 2.0], [128.0, 82.0, 229.0, 139.0, 0.9213983416557312, 2.0], [79.0, 82.0, 158.0, 126.0, 0.8815932273864746, 2.0], [0.0, 89.0, 48.0, 157.0, 0.8763353824615479, 2.0], [268.0, 69.0, 298.0, 91.0, 0.7682897448539734, 2.0], [197.0, 68.0, 240.0, 99.0, 0.5431047677993774, 2.0], [46.0, 68.0, 71.0, 86.0, 0.4190884232521057, 2.0], [67.0, 71.0, 122.0, 114.0, 0.32671770453453064, 2.0]]"
1200,"[[271.0, 73.0, 309.0, 100.0, 0.8200942873954773, 2.0], [0.0, 130.0, 79.0, 180.0, 0.8166117668151855, 2.0], [232.0, 78.0, 260.0, 108.0, 0.7842122316360474, 2.0], [142.0, 70.0, 239.0, 133.0, 0.745162844657898, 2.0], [123.0, 79.0, 167.0, 108.0, 0.7261348962783813, 2.0], [67.0, 69.0, 100.0, 88.0, 0.7066854238510132, 2.0], [0.0, 77.0, 33.0, 127.0, 0.6908129453659058, 2.0], [254.0, 68.0, 277.0, 87.0, 0.4470578134059906, 2.0], [307.0, 69.0, 320.0, 84.0, 0.4103236794471741, 2.0], [116.0, 71.0, 132.0, 84.0, 0.3397630453109741, 2.0]]"
1300,"[[127.0, 80.0, 212.0, 138.0, 0.9016646146774292, 2.0], [230.0, 74.0, 287.0, 112.0, 0.8416681885719299, 2.0], [0.0, 72.0, 135.0, 180.0, 0.8222059607505798, 2.0], [280.0, 72.0, 302.0, 92.0, 0.6676278710365295, 2.0], [216.0, 70.0, 243.0, 91.0, 0.6052671074867249, 2.0], [131.0, 69.0, 192.0, 91.0, 0.44566699862480164, 2.0], [303.0, 69.0, 319.0, 84.0, 0.4184872806072235, 2.0]]"
1400,"[[0.0, 109.0, 89.0, 180.0, 0.8994170427322388, 2.0], [139.0, 75.0, 237.0, 145.0, 0.8745066523551941, 2.0], [4.0, 67.0, 117.0, 121.0, 0.8073070049285889, 2.0], [252.0, 73.0, 282.0, 92.0, 0.7654876112937927, 2.0], [214.0, 73.0, 252.0, 100.0, 0.6895430684089661, 2.0], [283.0, 70.0, 301.0, 85.0, 0.5819005966186523, 2.0], [0.0, 79.0, 27.0, 107.0, 0.42645105719566345, 2.0], [125.0, 68.0, 158.0, 86.0, 0.4129263758659363, 2.0], [109.0, 63.0, 135.0, 86.0, 0.382472962141037, 2.0], [148.0, 70.0, 189.0, 91.0, 0.31538718938827515, 2.0]]"
1500,"[[178.0, 70.0, 231.0, 110.0, 0.8810926675796509, 2.0], [3.0, 67.0, 139.0, 141.0, 0.8659501075744629, 2.0], [1.0, 101.0, 84.0, 177.0, 0.8625863790512085, 2.0], [233.0, 66.0, 266.0, 87.0, 0.817633330821991, 2.0], [307.0, 61.0, 320.0, 76.0, 0.310637503862381, 2.0], [260.0, 63.0, 278.0, 81.0, 0.2771090567111969, 2.0], [64.0, 56.0, 102.0, 68.0, 0.25779277086257935, 2.0], [278.0, 63.0, 292.0, 82.0, 0.2558257281780243, 2.0]]"
1600,"[[192.0, 67.0, 242.0, 98.0, 0.8608812689781189, 2.0], [82.0, 70.0, 150.0, 109.0, 0.762693464756012, 2.0], [0.0, 86.0, 150.0, 177.0, 0.7072097659111023, 2.0], [241.0, 61.0, 266.0, 87.0, 0.4328673481941223, 2.0], [297.0, 62.0, 319.0, 76.0, 0.3748922049999237, 2.0], [103.0, 53.0, 140.0, 70.0, 0.3445512056350708, 2.0], [64.0, 54.0, 89.0, 73.0, 0.3285468816757202, 2.0]]"
1700,"[[103.0, 84.0, 187.0, 137.0, 0.8761388063430786, 2.0], [52.0, 69.0, 100.0, 91.0, 0.8375866413116455, 2.0], [190.0, 75.0, 224.0, 95.0, 0.711027204990387, 2.0], [101.0, 77.0, 168.0, 110.0, 0.6322643160820007, 2.0], [225.0, 73.0, 257.0, 116.0, 0.6065661311149597, 2.0], [290.0, 73.0, 316.0, 85.0, 0.3890063762664795, 2.0], [270.0, 73.0, 316.0, 93.0, 0.30992186069488525, 2.0], [98.0, 69.0, 118.0, 83.0, 0.27955156564712524, 2.0], [220.0, 67.0, 234.0, 76.0, 0.25140026211738586, 2.0]]"
1800,"[[73.0, 79.0, 144.0, 112.0, 0.8743874430656433, 2.0], [166.0, 79.0, 194.0, 102.0, 0.7741261124610901, 2.0], [0.0, 154.0, 26.0, 180.0, 0.5614852905273438, 2.0], [252.0, 82.0, 319.0, 156.0, 0.5538250803947449, 2.0], [304.0, 76.0, 320.0, 90.0, 0.5415950417518616, 2.0], [236.0, 81.0, 267.0, 101.0, 0.5074016451835632, 2.0], [54.0, 70.0, 88.0, 91.0, 0.4370534121990204, 2.0], [156.0, 73.0, 174.0, 86.0, 0.3889581263065338, 2.0], [271.0, 67.0, 301.0, 84.0, 0.3070855736732483, 2.0], [217.0, 76.0, 242.0, 101.0, 0.26012101769447327, 2.0]]"
1900,"[[1.0, 57.0, 102.0, 132.0, 0.8963800668716431, 2.0], [68.0, 54.0, 272.0, 162.0, 0.7400228977203369, 2.0], [298.0, 93.0, 320.0, 117.0, 0.6212781667709351, 2.0]]"
2000,"[[263.0, 97.0, 317.0, 128.0, 0.8658405542373657, 2.0]]"
2100,"[[60.0, 73.0, 238.0, 154.0, 0.9274317622184753, 2.0], [235.0, 92.0, 271.0, 114.0, 0.7943864464759827, 2.0], [273.0, 94.0, 293.0, 118.0, 0.2896864712238312, 2.0]]"
2200,"[[52.0, 71.0, 276.0, 175.0, 0.8803383111953735, 2.0], [292.0, 94.0, 320.0, 116.0, 0.8039408326148987, 2.0], [0.0, 138.0, 26.0, 178.0, 0.269259512424469, 2.0]]"
2300,"[[220.0, 86.0, 271.0, 119.0, 0.7523202896118164, 2.0], [269.0, 93.0, 302.0, 116.0, 0.6246209740638733, 2.0], [79.0, 78.0, 178.0, 126.0, 0.6004638671875, 2.0], [301.0, 86.0, 320.0, 122.0, 0.3935701847076416, 2.0], [85.0, 80.0, 114.0, 93.0, 0.28176337480545044, 2.0], [267.0, 89.0, 285.0, 100.0, 0.2718932628631592, 2.0]]"
2400,"[[77.0, 56.0, 283.0, 179.0, 0.9340934753417969, 2.0], [270.0, 44.0, 320.0, 88.0, 0.8900256752967834, 2.0], [76.0, 40.0, 126.0, 74.0, 0.6304976940155029, 2.0], [124.0, 37.0, 149.0, 56.0, 0.41850557923316956, 2.0], [137.0, 38.0, 156.0, 56.0, 0.26796698570251465, 2.0]]"
2500,"[[275.0, 42.0, 320.0, 89.0, 0.8308805823326111, 2.0], [0.0, 48.0, 72.0, 142.0, 0.8300446271896362, 2.0], [111.0, 37.0, 148.0, 71.0, 0.7151772975921631, 2.0], [140.0, 32.0, 157.0, 49.0, 0.5585611462593079, 2.0], [147.0, 34.0, 165.0, 53.0, 0.29917415976524353, 2.0]]"
2600,"[[112.0, 45.0, 209.0, 122.0, 0.8496206402778625, 2.0], [281.0, 44.0, 320.0, 89.0, 0.7797669768333435, 2.0], [62.0, 34.0, 107.0, 66.0, 0.5214362740516663, 2.0], [109.0, 35.0, 136.0, 53.0, 0.47396406531333923, 2.0], [115.0, 38.0, 149.0, 52.0, 0.3948279321193695, 2.0], [146.0, 33.0, 163.0, 45.0, 0.3436463177204132, 2.0]]"
2700,"[[279.0, 47.0, 320.0, 91.0, 0.880430281162262, 2.0], [106.0, 44.0, 174.0, 105.0, 0.8723734021186829, 2.0], [68.0, 42.0, 117.0, 75.0, 0.8290520906448364, 2.0], [1.0, 39.0, 32.0, 90.0, 0.6536809206008911, 2.0], [85.0, 37.0, 117.0, 54.0, 0.3674992620944977, 2.0], [131.0, 36.0, 148.0, 45.0, 0.3368472158908844, 2.0]]"
