frame,number of objects
100,"[[544.0, 113.0, 639.0, 177.0, 0.8677552342414856, 2.0], [525.0, 110.0, 568.0, 143.0, 0.7408552169799805, 2.0], [616.0, 103.0, 640.0, 140.0, 0.44034719467163086, 2.0], [407.0, 133.0, 448.0, 168.0, 0.26210466027259827, 2.0]]"
200,"[[585.0, 142.0, 640.0, 215.0, 0.8948315382003784, 2.0], [539.0, 113.0, 627.0, 176.0, 0.8866647481918335, 2.0], [518.0, 110.0, 561.0, 142.0, 0.6061607003211975, 2.0], [610.0, 104.0, 640.0, 142.0, 0.468421071767807, 2.0], [401.0, 132.0, 452.0, 167.0, 0.43411898612976074, 2.0]]"
300,"[[513.0, 128.0, 640.0, 198.0, 0.9024853706359863, 2.0], [605.0, 100.0, 640.0, 143.0, 0.6602145433425903, 2.0], [515.0, 106.0, 557.0, 140.0, 0.6585761904716492, 2.0], [534.0, 108.0, 632.0, 144.0, 0.5604488253593445, 2.0], [399.0, 126.0, 452.0, 162.0, 0.48659828305244446, 2.0]]"
400,"[[0.0, 118.0, 161.0, 201.0, 0.8977209329605103, 2.0], [98.0, 141.0, 396.0, 291.0, 0.8673095703125, 2.0], [347.0, 112.0, 455.0, 165.0, 0.8659318089485168, 2.0], [565.0, 98.0, 640.0, 193.0, 0.7669965028762817, 2.0], [415.0, 117.0, 531.0, 173.0, 0.7289309501647949, 2.0], [424.0, 134.0, 629.0, 304.0, 0.7152372598648071, 2.0], [402.0, 94.0, 481.0, 125.0, 0.6691619157791138, 2.0], [313.0, 111.0, 384.0, 140.0, 0.6468407511711121, 2.0], [527.0, 108.0, 589.0, 139.0, 0.5881627798080444, 2.0], [114.0, 122.0, 331.0, 208.0, 0.576065182685852, 2.0], [97.0, 98.0, 210.0, 137.0, 0.574842631816864, 2.0], [493.0, 104.0, 566.0, 127.0, 0.4453069567680359, 2.0], [276.0, 105.0, 322.0, 127.0, 0.38420674204826355, 2.0], [177.0, 122.0, 323.0, 161.0, 0.3572666645050049, 2.0], [481.0, 89.0, 514.0, 105.0, 0.26765361428260803, 2.0]]"
500,"[[344.0, 128.0, 513.0, 214.0, 0.9077795743942261, 2.0], [191.0, 124.0, 366.0, 186.0, 0.9054797291755676, 2.0], [536.0, 104.0, 640.0, 203.0, 0.8858111500740051, 2.0], [53.0, 113.0, 185.0, 193.0, 0.7827275395393372, 2.0], [332.0, 116.0, 396.0, 157.0, 0.7799825072288513, 2.0], [480.0, 112.0, 571.0, 174.0, 0.7732289433479309, 2.0], [14.0, 182.0, 499.0, 357.0, 0.7710036635398865, 2.0], [384.0, 101.0, 475.0, 144.0, 0.6985927224159241, 2.0], [201.0, 97.0, 231.0, 118.0, 0.6197578310966492, 2.0], [168.0, 100.0, 208.0, 121.0, 0.6176961064338684, 2.0], [0.0, 103.0, 85.0, 154.0, 0.5535899996757507, 2.0], [472.0, 100.0, 514.0, 121.0, 0.3318171799182892, 2.0], [410.0, 94.0, 446.0, 104.0, 0.26945915818214417, 2.0], [267.0, 108.0, 315.0, 125.0, 0.26287752389907837, 2.0]]"
600,"[[429.0, 114.0, 631.0, 262.0, 0.9185250997543335, 2.0], [5.0, 142.0, 347.0, 294.0, 0.8910928964614868, 2.0], [372.0, 129.0, 486.0, 200.0, 0.8845530152320862, 2.0], [349.0, 107.0, 447.0, 160.0, 0.7912300825119019, 2.0], [623.0, 124.0, 640.0, 182.0, 0.7355889678001404, 2.0], [206.0, 121.0, 324.0, 167.0, 0.7211664915084839, 2.0], [185.0, 100.0, 243.0, 136.0, 0.500011146068573, 2.0], [577.0, 104.0, 634.0, 126.0, 0.39612165093421936, 2.0], [470.0, 99.0, 516.0, 117.0, 0.3511759042739868, 2.0], [145.0, 101.0, 173.0, 120.0, 0.3270234167575836, 2.0], [118.0, 102.0, 146.0, 125.0, 0.28726908564567566, 2.0], [349.0, 109.0, 376.0, 127.0, 0.25374704599380493, 2.0]]"
700,"[[465.0, 141.0, 629.0, 242.0, 0.926836371421814, 2.0], [385.0, 131.0, 520.0, 201.0, 0.9136427640914917, 2.0], [594.0, 130.0, 639.0, 178.0, 0.7871664762496948, 2.0], [262.0, 112.0, 365.0, 172.0, 0.7645925283432007, 2.0], [497.0, 111.0, 573.0, 148.0, 0.6891322135925293, 2.0], [590.0, 113.0, 640.0, 139.0, 0.6678460836410522, 2.0], [388.0, 122.0, 439.0, 156.0, 0.6224150061607361, 2.0], [155.0, 107.0, 201.0, 127.0, 0.5499708652496338, 2.0], [200.0, 105.0, 226.0, 126.0, 0.41933077573776245, 2.0], [423.0, 121.0, 489.0, 138.0, 0.3400977551937103, 2.0], [465.0, 106.0, 507.0, 130.0, 0.2642817497253418, 2.0]]"
800,"[[482.0, 127.0, 613.0, 204.0, 0.9314228892326355, 2.0], [1.0, 196.0, 356.0, 356.0, 0.8945872187614441, 2.0], [162.0, 133.0, 391.0, 218.0, 0.8782027959823608, 2.0], [552.0, 104.0, 617.0, 142.0, 0.7170235514640808, 2.0], [614.0, 112.0, 640.0, 170.0, 0.67420893907547, 2.0], [307.0, 117.0, 391.0, 159.0, 0.6432786583900452, 2.0], [384.0, 104.0, 522.0, 179.0, 0.5085979700088501, 2.0], [44.0, 106.0, 247.0, 190.0, 0.48720625042915344, 2.0], [498.0, 117.0, 521.0, 135.0, 0.3113272786140442, 2.0], [529.0, 107.0, 564.0, 124.0, 0.2968653440475464, 2.0]]"
900,"[[281.0, 142.0, 516.0, 283.0, 0.9165987968444824, 2.0], [538.0, 121.0, 621.0, 199.0, 0.8382439613342285, 2.0], [617.0, 121.0, 640.0, 153.0, 0.814072847366333, 2.0], [0.0, 116.0, 51.0, 215.0, 0.7869879007339478, 2.0], [496.0, 106.0, 582.0, 160.0, 0.7717494368553162, 2.0], [121.0, 153.0, 180.0, 204.0, 0.7073155641555786, 2.0], [384.0, 123.0, 466.0, 149.0, 0.6880062818527222, 2.0], [148.0, 103.0, 191.0, 125.0, 0.5826367139816284, 2.0], [94.0, 104.0, 123.0, 127.0, 0.5425916314125061, 2.0], [382.0, 99.0, 430.0, 125.0, 0.5214648246765137, 2.0], [459.0, 100.0, 492.0, 121.0, 0.4516903758049011, 2.0], [493.0, 103.0, 523.0, 124.0, 0.3448968827724457, 2.0], [438.0, 100.0, 477.0, 122.0, 0.30321550369262695, 2.0], [581.0, 116.0, 615.0, 135.0, 0.28769585490226746, 2.0]]"
1000,"[[133.0, 148.0, 354.0, 251.0, 0.9230846762657166, 2.0], [0.0, 147.0, 106.0, 244.0, 0.9176608920097351, 2.0], [48.0, 136.0, 206.0, 203.0, 0.8845183849334717, 2.0], [554.0, 134.0, 635.0, 190.0, 0.8322302103042603, 2.0], [438.0, 118.0, 529.0, 178.0, 0.778318464756012, 2.0], [177.0, 112.0, 209.0, 132.0, 0.6937081813812256, 2.0], [145.0, 113.0, 184.0, 134.0, 0.6849791407585144, 2.0], [528.0, 128.0, 570.0, 155.0, 0.6783800721168518, 2.0], [592.0, 112.0, 621.0, 131.0, 0.6274158954620361, 2.0], [608.0, 127.0, 640.0, 155.0, 0.5550357699394226, 2.0], [404.0, 112.0, 431.0, 135.0, 0.4577653408050537, 2.0], [628.0, 138.0, 640.0, 163.0, 0.44642356038093567, 2.0], [617.0, 122.0, 640.0, 137.0, 0.3067096173763275, 2.0], [456.0, 109.0, 480.0, 122.0, 0.2948554754257202, 2.0], [0.0, 128.0, 27.0, 141.0, 0.26521408557891846, 2.0]]"
