frame,number of objects
1,"[[433.0, 134.0, 480.0, 165.0, 0.8379048109054565, 2.0], [382.0, 136.0, 437.0, 160.0, 0.8218386173248291, 2.0], [154.0, 132.0, 189.0, 155.0, 0.816588282585144, 2.0], [352.0, 132.0, 397.0, 156.0, 0.6621654629707336, 2.0], [274.0, 131.0, 296.0, 145.0, 0.6085071563720703, 2.0], [305.0, 133.0, 329.0, 147.0, 0.5652806162834167, 2.0], [116.0, 132.0, 131.0, 142.0, 0.48462986946105957, 2.0], [62.0, 127.0, 103.0, 156.0, 0.45573702454566956, 2.0], [124.0, 133.0, 134.0, 141.0, 0.400700181722641, 2.0], [349.0, 140.0, 369.0, 155.0, 0.3777375817298889, 2.0], [101.0, 131.0, 116.0, 141.0, 0.34501156210899353, 2.0], [328.0, 139.0, 350.0, 153.0, 0.2965554893016815, 2.0]]"
2,"[[433.0, 134.0, 480.0, 165.0, 0.8373464345932007, 2.0], [154.0, 132.0, 189.0, 155.0, 0.819111168384552, 2.0], [382.0, 136.0, 437.0, 160.0, 0.8180249929428101, 2.0], [352.0, 132.0, 397.0, 156.0, 0.6576498746871948, 2.0], [274.0, 131.0, 296.0, 145.0, 0.6075441241264343, 2.0], [305.0, 133.0, 329.0, 147.0, 0.5652956962585449, 2.0], [116.0, 132.0, 132.0, 142.0, 0.5043122172355652, 2.0], [62.0, 127.0, 102.0, 156.0, 0.45671626925468445, 2.0], [123.0, 133.0, 134.0, 141.0, 0.41084617376327515, 2.0], [349.0, 140.0, 369.0, 155.0, 0.38109710812568665, 2.0], [101.0, 131.0, 116.0, 141.0, 0.37308043241500854, 2.0], [328.0, 139.0, 350.0, 153.0, 0.30411460995674133, 2.0]]"
3,"[[433.0, 134.0, 480.0, 165.0, 0.8399538397789001, 2.0], [382.0, 136.0, 437.0, 160.0, 0.8198584914207458, 2.0], [154.0, 131.0, 189.0, 155.0, 0.8102786540985107, 2.0], [352.0, 132.0, 397.0, 156.0, 0.6560755968093872, 2.0], [274.0, 131.0, 296.0, 145.0, 0.6134480834007263, 2.0], [305.0, 133.0, 329.0, 147.0, 0.5702517628669739, 2.0], [117.0, 132.0, 132.0, 142.0, 0.5184852480888367, 2.0], [62.0, 127.0, 102.0, 156.0, 0.45973119139671326, 2.0], [101.0, 131.0, 116.0, 141.0, 0.3947291076183319, 2.0], [349.0, 140.0, 369.0, 155.0, 0.38317808508872986, 2.0], [328.0, 139.0, 350.0, 153.0, 0.2934425473213196, 2.0]]"
4,"[[433.0, 134.0, 480.0, 165.0, 0.8389356732368469, 2.0], [155.0, 131.0, 190.0, 156.0, 0.8346107602119446, 2.0], [382.0, 136.0, 437.0, 160.0, 0.8210229873657227, 2.0], [352.0, 132.0, 397.0, 156.0, 0.6534926295280457, 2.0], [274.0, 131.0, 296.0, 145.0, 0.6109997630119324, 2.0], [305.0, 133.0, 329.0, 147.0, 0.5679137706756592, 2.0], [117.0, 133.0, 132.0, 142.0, 0.536639928817749, 2.0], [62.0, 127.0, 103.0, 156.0, 0.4638737440109253, 2.0], [101.0, 131.0, 116.0, 141.0, 0.37986376881599426, 2.0], [349.0, 140.0, 369.0, 155.0, 0.37892696261405945, 2.0], [328.0, 139.0, 350.0, 153.0, 0.2896275520324707, 2.0]]"
5,"[[433.0, 134.0, 480.0, 165.0, 0.8394701480865479, 2.0], [155.0, 131.0, 191.0, 156.0, 0.8285695910453796, 2.0], [383.0, 136.0, 437.0, 160.0, 0.8228814601898193, 2.0], [352.0, 132.0, 397.0, 156.0, 0.6540161967277527, 2.0], [274.0, 131.0, 296.0, 145.0, 0.6121597290039062, 2.0], [305.0, 133.0, 329.0, 147.0, 0.5686445832252502, 2.0], [117.0, 133.0, 132.0, 142.0, 0.5393617153167725, 2.0], [62.0, 127.0, 103.0, 156.0, 0.46413007378578186, 2.0], [349.0, 140.0, 369.0, 155.0, 0.37793299555778503, 2.0], [100.0, 131.0, 115.0, 141.0, 0.3590635359287262, 2.0], [328.0, 139.0, 350.0, 153.0, 0.28151369094848633, 2.0]]"
6,"[[433.0, 134.0, 480.0, 165.0, 0.8363020420074463, 2.0], [155.0, 131.0, 192.0, 156.0, 0.8297148942947388, 2.0], [383.0, 136.0, 437.0, 160.0, 0.8218931555747986, 2.0], [352.0, 132.0, 397.0, 156.0, 0.6560282111167908, 2.0], [274.0, 131.0, 296.0, 145.0, 0.6161437630653381, 2.0], [305.0, 133.0, 329.0, 147.0, 0.5623557567596436, 2.0], [117.0, 133.0, 133.0, 142.0, 0.5497617721557617, 2.0], [62.0, 127.0, 103.0, 156.0, 0.4814526438713074, 2.0], [349.0, 140.0, 369.0, 155.0, 0.37094801664352417, 2.0], [100.0, 131.0, 115.0, 141.0, 0.3400329053401947, 2.0], [328.0, 138.0, 351.0, 153.0, 0.28281670808792114, 2.0]]"
7,"[[156.0, 130.0, 193.0, 156.0, 0.8503409028053284, 2.0], [433.0, 134.0, 480.0, 165.0, 0.8365564346313477, 2.0], [383.0, 137.0, 437.0, 160.0, 0.8231880068778992, 2.0], [352.0, 132.0, 397.0, 156.0, 0.6574874520301819, 2.0], [274.0, 131.0, 296.0, 145.0, 0.6127631068229675, 2.0], [305.0, 133.0, 328.0, 147.0, 0.5626965761184692, 2.0], [117.0, 133.0, 133.0, 142.0, 0.5495272874832153, 2.0], [62.0, 127.0, 103.0, 156.0, 0.49308687448501587, 2.0], [349.0, 140.0, 369.0, 155.0, 0.37443840503692627, 2.0], [100.0, 131.0, 115.0, 141.0, 0.33430933952331543, 2.0], [328.0, 138.0, 351.0, 153.0, 0.26725438237190247, 2.0]]"
8,"[[156.0, 131.0, 194.0, 156.0, 0.8419585824012756, 2.0], [433.0, 134.0, 480.0, 165.0, 0.838793158531189, 2.0], [383.0, 137.0, 437.0, 160.0, 0.8215077519416809, 2.0], [352.0, 132.0, 397.0, 156.0, 0.6567162275314331, 2.0], [274.0, 131.0, 296.0, 145.0, 0.6132674813270569, 2.0], [305.0, 133.0, 328.0, 147.0, 0.5631802082061768, 2.0], [117.0, 133.0, 133.0, 142.0, 0.5525462627410889, 2.0], [62.0, 127.0, 103.0, 156.0, 0.49833452701568604, 2.0], [349.0, 140.0, 369.0, 155.0, 0.3698703348636627, 2.0], [100.0, 131.0, 115.0, 140.0, 0.32803434133529663, 2.0], [328.0, 138.0, 351.0, 153.0, 0.26618582010269165, 2.0]]"
9,"[[156.0, 131.0, 195.0, 156.0, 0.8676438331604004, 2.0], [433.0, 134.0, 480.0, 165.0, 0.8416087031364441, 2.0], [383.0, 137.0, 437.0, 160.0, 0.8222452402114868, 2.0], [351.0, 132.0, 397.0, 156.0, 0.6586912870407104, 2.0], [274.0, 131.0, 296.0, 145.0, 0.6157727837562561, 2.0], [305.0, 133.0, 328.0, 147.0, 0.5633267760276794, 2.0], [117.0, 133.0, 134.0, 142.0, 0.5391730070114136, 2.0], [63.0, 127.0, 103.0, 155.0, 0.5028108954429626, 2.0], [349.0, 140.0, 369.0, 155.0, 0.3695366382598877, 2.0], [100.0, 131.0, 114.0, 140.0, 0.3225685656070709, 2.0], [328.0, 138.0, 351.0, 153.0, 0.26300302147865295, 2.0]]"
10,"[[157.0, 130.0, 196.0, 156.0, 0.8744487166404724, 2.0], [433.0, 134.0, 480.0, 165.0, 0.840558648109436, 2.0], [383.0, 137.0, 437.0, 159.0, 0.821306586265564, 2.0], [352.0, 132.0, 397.0, 156.0, 0.6563246250152588, 2.0], [274.0, 131.0, 296.0, 145.0, 0.6140417456626892, 2.0], [118.0, 132.0, 134.0, 141.0, 0.5752641558647156, 2.0], [305.0, 133.0, 328.0, 147.0, 0.5619231462478638, 2.0], [62.0, 127.0, 103.0, 155.0, 0.5136328339576721, 2.0], [349.0, 140.0, 369.0, 155.0, 0.37610378861427307, 2.0], [100.0, 131.0, 114.0, 140.0, 0.3421795666217804, 2.0], [328.0, 139.0, 351.0, 153.0, 0.2783345580101013, 2.0]]"
