frame,number of objects
1,"[[287.0, 120.0, 320.0, 147.0, 0.7542005181312561, 2.0], [253.0, 122.0, 292.0, 142.0, 0.6842767596244812, 2.0], [102.0, 117.0, 126.0, 138.0, 0.6563152074813843, 2.0], [232.0, 117.0, 267.0, 138.0, 0.5785735845565796, 2.0], [44.0, 112.0, 68.0, 137.0, 0.543572723865509, 2.0], [201.0, 120.0, 220.0, 131.0, 0.4608331620693207, 2.0], [77.0, 118.0, 87.0, 126.0, 0.4276230037212372, 2.0], [183.0, 119.0, 197.0, 129.0, 0.34968382120132446, 2.0], [72.0, 117.0, 83.0, 126.0, 0.2817783057689667, 2.0], [230.0, 123.0, 247.0, 137.0, 0.26037833094596863, 2.0]]"
2,"[[287.0, 120.0, 320.0, 147.0, 0.7546872496604919, 2.0], [253.0, 122.0, 292.0, 142.0, 0.6822514533996582, 2.0], [102.0, 117.0, 126.0, 138.0, 0.6664905548095703, 2.0], [232.0, 117.0, 267.0, 138.0, 0.5798779129981995, 2.0], [44.0, 112.0, 68.0, 137.0, 0.5613885521888733, 2.0], [201.0, 120.0, 220.0, 131.0, 0.4641812741756439, 2.0], [77.0, 118.0, 88.0, 125.0, 0.4384804666042328, 2.0], [183.0, 119.0, 197.0, 129.0, 0.34766945242881775, 2.0], [72.0, 117.0, 83.0, 126.0, 0.27841997146606445, 2.0], [230.0, 123.0, 247.0, 137.0, 0.256354421377182, 2.0]]"
3,"[[287.0, 120.0, 320.0, 147.0, 0.7561003565788269, 2.0], [253.0, 122.0, 292.0, 142.0, 0.6823022961616516, 2.0], [103.0, 117.0, 127.0, 138.0, 0.6801680326461792, 2.0], [232.0, 117.0, 267.0, 138.0, 0.5797691941261292, 2.0], [44.0, 112.0, 68.0, 137.0, 0.5649207830429077, 2.0], [201.0, 120.0, 220.0, 131.0, 0.46666771173477173, 2.0], [77.0, 118.0, 88.0, 126.0, 0.4411442279815674, 2.0], [183.0, 119.0, 197.0, 129.0, 0.35653063654899597, 2.0], [71.0, 117.0, 83.0, 126.0, 0.2663986086845398, 2.0], [230.0, 123.0, 247.0, 137.0, 0.2600373923778534, 2.0]]"
4,"[[287.0, 120.0, 320.0, 147.0, 0.7559031248092651, 2.0], [103.0, 116.0, 127.0, 138.0, 0.688800573348999, 2.0], [253.0, 122.0, 292.0, 142.0, 0.6867543458938599, 2.0], [232.0, 117.0, 267.0, 138.0, 0.5816575884819031, 2.0], [44.0, 112.0, 68.0, 137.0, 0.5634002089500427, 2.0], [201.0, 120.0, 220.0, 131.0, 0.4635560214519501, 2.0], [77.0, 118.0, 88.0, 126.0, 0.44804641604423523, 2.0], [183.0, 119.0, 197.0, 129.0, 0.3505510985851288, 2.0], [230.0, 123.0, 247.0, 137.0, 0.2630654275417328, 2.0], [82.0, 119.0, 91.0, 125.0, 0.2628442347049713, 2.0], [71.0, 117.0, 83.0, 126.0, 0.25177690386772156, 2.0]]"
5,"[[287.0, 120.0, 320.0, 147.0, 0.756148099899292, 2.0], [254.0, 122.0, 292.0, 142.0, 0.6927875280380249, 2.0], [104.0, 116.0, 128.0, 138.0, 0.6877382397651672, 2.0], [232.0, 117.0, 267.0, 138.0, 0.5841328501701355, 2.0], [44.0, 112.0, 68.0, 137.0, 0.5602297782897949, 2.0], [201.0, 120.0, 220.0, 131.0, 0.4680110812187195, 2.0], [78.0, 118.0, 88.0, 126.0, 0.4510032534599304, 2.0], [183.0, 119.0, 197.0, 129.0, 0.3533053994178772, 2.0], [230.0, 123.0, 247.0, 137.0, 0.26763251423835754, 2.0], [81.0, 119.0, 91.0, 126.0, 0.2657085657119751, 2.0]]"
6,"[[287.0, 120.0, 320.0, 147.0, 0.7536736726760864, 2.0], [104.0, 117.0, 128.0, 139.0, 0.7523647546768188, 2.0], [253.0, 122.0, 292.0, 142.0, 0.6893185973167419, 2.0], [232.0, 117.0, 267.0, 138.0, 0.5851339101791382, 2.0], [44.0, 112.0, 68.0, 137.0, 0.569587230682373, 2.0], [77.0, 118.0, 88.0, 126.0, 0.482090562582016, 2.0], [201.0, 121.0, 220.0, 131.0, 0.4509122967720032, 2.0], [183.0, 119.0, 197.0, 129.0, 0.34750720858573914, 2.0], [230.0, 123.0, 247.0, 137.0, 0.26059141755104065, 2.0]]"
7,"[[287.0, 120.0, 320.0, 147.0, 0.7531935572624207, 2.0], [105.0, 117.0, 128.0, 139.0, 0.7087723016738892, 2.0], [253.0, 122.0, 292.0, 142.0, 0.696027934551239, 2.0], [231.0, 117.0, 266.0, 138.0, 0.5873152017593384, 2.0], [43.0, 112.0, 68.0, 137.0, 0.5721619725227356, 2.0], [78.0, 118.0, 88.0, 126.0, 0.46021369099617004, 2.0], [201.0, 121.0, 219.0, 131.0, 0.43681809306144714, 2.0], [183.0, 119.0, 197.0, 129.0, 0.3471546471118927, 2.0], [230.0, 123.0, 247.0, 137.0, 0.2584019601345062, 2.0]]"
8,"[[287.0, 120.0, 320.0, 147.0, 0.754194438457489, 2.0], [105.0, 117.0, 129.0, 140.0, 0.7046221494674683, 2.0], [253.0, 122.0, 292.0, 142.0, 0.696542501449585, 2.0], [232.0, 117.0, 267.0, 138.0, 0.5838422179222107, 2.0], [43.0, 112.0, 68.0, 137.0, 0.571752667427063, 2.0], [201.0, 121.0, 219.0, 131.0, 0.436322957277298, 2.0], [78.0, 118.0, 88.0, 126.0, 0.4165700078010559, 2.0], [183.0, 119.0, 197.0, 129.0, 0.34384211897850037, 2.0], [230.0, 123.0, 247.0, 137.0, 0.25814303755760193, 2.0]]"
9,"[[287.0, 120.0, 320.0, 147.0, 0.7525634169578552, 2.0], [105.0, 117.0, 130.0, 139.0, 0.7410080432891846, 2.0], [253.0, 122.0, 292.0, 142.0, 0.6983159184455872, 2.0], [43.0, 112.0, 68.0, 137.0, 0.5832774639129639, 2.0], [231.0, 117.0, 267.0, 138.0, 0.5825822949409485, 2.0], [201.0, 121.0, 219.0, 131.0, 0.43721744418144226, 2.0], [78.0, 118.0, 88.0, 126.0, 0.38603824377059937, 2.0], [183.0, 119.0, 197.0, 129.0, 0.3468814492225647, 2.0], [70.0, 117.0, 86.0, 126.0, 0.28750523924827576, 2.0], [230.0, 123.0, 247.0, 137.0, 0.25991880893707275, 2.0]]"
10,"[[106.0, 117.0, 131.0, 139.0, 0.7684656381607056, 2.0], [287.0, 120.0, 320.0, 147.0, 0.7519357800483704, 2.0], [253.0, 122.0, 292.0, 142.0, 0.6903151869773865, 2.0], [43.0, 112.0, 68.0, 137.0, 0.5876864194869995, 2.0], [232.0, 117.0, 267.0, 138.0, 0.5804498791694641, 2.0], [201.0, 121.0, 219.0, 131.0, 0.4322338402271271, 2.0], [78.0, 118.0, 88.0, 126.0, 0.3682347238063812, 2.0], [183.0, 119.0, 197.0, 129.0, 0.3423752188682556, 2.0], [70.0, 117.0, 85.0, 126.0, 0.26951563358306885, 2.0], [230.0, 123.0, 247.0, 137.0, 0.254862517118454, 2.0]]"
