frame,number of objects
1,"[[304.0, 264.0, 377.0, 312.0, 0.8959946632385254, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8834118843078613, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8116818070411682, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7978995442390442, 2.0], [695.0, 263.0, 793.0, 314.0, 0.7461561560630798, 2.0], [585.0, 264.0, 654.0, 297.0, 0.7060058116912842, 2.0], [235.0, 264.0, 262.0, 285.0, 0.651800811290741, 2.0], [545.0, 262.0, 593.0, 289.0, 0.6485397219657898, 2.0], [200.0, 263.0, 225.0, 282.0, 0.489242285490036, 2.0], [285.0, 262.0, 307.0, 278.0, 0.4603939354419708, 2.0], [646.0, 262.0, 711.0, 307.0, 0.4476553499698639, 2.0], [220.0, 264.0, 234.0, 280.0, 0.343649297952652, 2.0], [468.0, 262.0, 507.0, 279.0, 0.2985129654407501, 2.0]]"
2,"[[306.0, 264.0, 379.0, 312.0, 0.8957309126853943, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8829060196876526, 2.0], [126.0, 254.0, 208.0, 311.0, 0.814914882183075, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7850093245506287, 2.0], [695.0, 263.0, 793.0, 314.0, 0.7464932799339294, 2.0], [585.0, 264.0, 654.0, 297.0, 0.7118209600448608, 2.0], [235.0, 264.0, 263.0, 285.0, 0.6776110529899597, 2.0], [545.0, 262.0, 593.0, 289.0, 0.6534618139266968, 2.0], [199.0, 264.0, 225.0, 282.0, 0.5137855410575867, 2.0], [285.0, 262.0, 307.0, 278.0, 0.5079177021980286, 2.0], [646.0, 262.0, 711.0, 307.0, 0.45112738013267517, 2.0], [221.0, 264.0, 235.0, 279.0, 0.3048814833164215, 2.0], [468.0, 262.0, 507.0, 279.0, 0.27475598454475403, 2.0]]"
3,"[[307.0, 264.0, 380.0, 312.0, 0.8923752903938293, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8833189010620117, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8185164332389832, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7854190468788147, 2.0], [695.0, 263.0, 793.0, 314.0, 0.7425979375839233, 2.0], [585.0, 264.0, 654.0, 297.0, 0.712559700012207, 2.0], [545.0, 262.0, 593.0, 289.0, 0.6464380025863647, 2.0], [236.0, 264.0, 263.0, 285.0, 0.6335163116455078, 2.0], [200.0, 263.0, 225.0, 282.0, 0.5127235651016235, 2.0], [284.0, 263.0, 306.0, 278.0, 0.4960106611251831, 2.0], [646.0, 262.0, 711.0, 307.0, 0.4516544044017792, 2.0], [221.0, 264.0, 235.0, 279.0, 0.2974342703819275, 2.0], [471.0, 262.0, 508.0, 278.0, 0.2511324882507324, 2.0]]"
4,"[[309.0, 265.0, 383.0, 314.0, 0.9019692540168762, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8838825821876526, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8166105151176453, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7906351089477539, 2.0], [695.0, 263.0, 793.0, 314.0, 0.7382126450538635, 2.0], [585.0, 264.0, 654.0, 297.0, 0.7081364393234253, 2.0], [235.0, 264.0, 265.0, 285.0, 0.6488485932350159, 2.0], [545.0, 262.0, 593.0, 289.0, 0.6467568874359131, 2.0], [201.0, 263.0, 226.0, 282.0, 0.5060589909553528, 2.0], [646.0, 262.0, 711.0, 308.0, 0.4458004832267761, 2.0], [284.0, 263.0, 305.0, 277.0, 0.39014166593551636, 2.0], [222.0, 264.0, 236.0, 279.0, 0.2814731001853943, 2.0], [469.0, 262.0, 507.0, 278.0, 0.27707958221435547, 2.0]]"
5,"[[310.0, 265.0, 385.0, 315.0, 0.9139853119850159, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8816376328468323, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8250125050544739, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7942119836807251, 2.0], [696.0, 262.0, 793.0, 314.0, 0.7388383746147156, 2.0], [585.0, 264.0, 654.0, 297.0, 0.7094635367393494, 2.0], [235.0, 264.0, 265.0, 285.0, 0.6670218110084534, 2.0], [545.0, 262.0, 593.0, 289.0, 0.6474760174751282, 2.0], [201.0, 263.0, 226.0, 282.0, 0.540121853351593, 2.0], [646.0, 262.0, 711.0, 308.0, 0.4405628442764282, 2.0], [283.0, 263.0, 304.0, 277.0, 0.355245441198349, 2.0], [222.0, 264.0, 236.0, 279.0, 0.2931961119174957, 2.0], [471.0, 262.0, 507.0, 278.0, 0.26649415493011475, 2.0]]"
6,"[[312.0, 264.0, 387.0, 315.0, 0.9185608625411987, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8810995221138, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8222448825836182, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7833793759346008, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7443993091583252, 2.0], [585.0, 264.0, 654.0, 296.0, 0.7171558141708374, 2.0], [235.0, 264.0, 266.0, 285.0, 0.6649628281593323, 2.0], [545.0, 262.0, 593.0, 289.0, 0.6482496857643127, 2.0], [201.0, 263.0, 226.0, 282.0, 0.547982931137085, 2.0], [645.0, 262.0, 711.0, 307.0, 0.4539949893951416, 2.0], [222.0, 264.0, 236.0, 279.0, 0.2768758535385132, 2.0], [283.0, 263.0, 304.0, 277.0, 0.2733277678489685, 2.0], [470.0, 262.0, 507.0, 278.0, 0.26419487595558167, 2.0]]"
7,"[[313.0, 264.0, 388.0, 315.0, 0.9133837223052979, 2.0], [765.0, 275.0, 871.0, 319.0, 0.882662296295166, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8124518990516663, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7779875993728638, 2.0], [695.0, 263.0, 792.0, 314.0, 0.74372798204422, 2.0], [585.0, 264.0, 653.0, 296.0, 0.7192782163619995, 2.0], [236.0, 264.0, 266.0, 285.0, 0.6553217768669128, 2.0], [547.0, 263.0, 592.0, 289.0, 0.6443171501159668, 2.0], [201.0, 263.0, 226.0, 282.0, 0.5584989786148071, 2.0], [644.0, 262.0, 711.0, 307.0, 0.4653001129627228, 2.0], [222.0, 264.0, 237.0, 279.0, 0.281156063079834, 2.0], [471.0, 262.0, 507.0, 279.0, 0.2661091685295105, 2.0]]"
8,"[[313.0, 263.0, 389.0, 314.0, 0.8964069485664368, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8836839199066162, 2.0], [126.0, 253.0, 208.0, 311.0, 0.8072327375411987, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7842372059822083, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7378243803977966, 2.0], [585.0, 264.0, 653.0, 296.0, 0.710098385810852, 2.0], [237.0, 264.0, 267.0, 285.0, 0.6513401865959167, 2.0], [547.0, 263.0, 592.0, 289.0, 0.6397254467010498, 2.0], [202.0, 265.0, 226.0, 282.0, 0.5606186389923096, 2.0], [645.0, 262.0, 711.0, 308.0, 0.46573320031166077, 2.0], [284.0, 263.0, 302.0, 277.0, 0.29673734307289124, 2.0], [471.0, 262.0, 508.0, 279.0, 0.253596693277359, 2.0]]"
9,"[[314.0, 264.0, 391.0, 315.0, 0.9021029472351074, 2.0], [765.0, 275.0, 870.0, 319.0, 0.8829883933067322, 2.0], [126.0, 253.0, 208.0, 311.0, 0.8051574230194092, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7854640483856201, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7396471500396729, 2.0], [585.0, 264.0, 653.0, 296.0, 0.7066178321838379, 2.0], [238.0, 264.0, 267.0, 285.0, 0.6762126684188843, 2.0], [547.0, 263.0, 592.0, 289.0, 0.6405763626098633, 2.0], [202.0, 266.0, 225.0, 282.0, 0.5435687303543091, 2.0], [645.0, 262.0, 711.0, 308.0, 0.4699535369873047, 2.0], [283.0, 264.0, 302.0, 277.0, 0.3462187647819519, 2.0]]"
10,"[[315.0, 265.0, 391.0, 316.0, 0.9057278037071228, 2.0], [765.0, 275.0, 870.0, 319.0, 0.8825997114181519, 2.0], [127.0, 254.0, 208.0, 311.0, 0.8213265538215637, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7833585143089294, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7502462267875671, 2.0], [585.0, 264.0, 653.0, 296.0, 0.7065484523773193, 2.0], [238.0, 264.0, 268.0, 285.0, 0.7002820372581482, 2.0], [547.0, 263.0, 592.0, 289.0, 0.6395586729049683, 2.0], [202.0, 266.0, 225.0, 282.0, 0.562609851360321, 2.0], [645.0, 262.0, 712.0, 307.0, 0.4524269700050354, 2.0], [282.0, 265.0, 301.0, 277.0, 0.35964640974998474, 2.0]]"
11,"[[316.0, 264.0, 395.0, 316.0, 0.9061328768730164, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8826292753219604, 2.0], [127.0, 253.0, 208.0, 311.0, 0.8232524394989014, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7863864302635193, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7626384496688843, 2.0], [238.0, 264.0, 268.0, 285.0, 0.7209827899932861, 2.0], [585.0, 264.0, 653.0, 296.0, 0.703864336013794, 2.0], [547.0, 263.0, 592.0, 289.0, 0.6360472440719604, 2.0], [202.0, 266.0, 225.0, 282.0, 0.5696802139282227, 2.0], [645.0, 262.0, 711.0, 307.0, 0.4462814927101135, 2.0], [282.0, 265.0, 300.0, 277.0, 0.3926539123058319, 2.0]]"
12,"[[318.0, 264.0, 396.0, 316.0, 0.8961440324783325, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8827514052391052, 2.0], [126.0, 253.0, 208.0, 311.0, 0.8291071057319641, 2.0], [869.0, 273.0, 960.0, 329.0, 0.7827333807945251, 2.0], [695.0, 263.0, 792.0, 314.0, 0.764724850654602, 2.0], [585.0, 264.0, 653.0, 296.0, 0.7067313194274902, 2.0], [239.0, 264.0, 268.0, 285.0, 0.6581984758377075, 2.0], [547.0, 263.0, 593.0, 289.0, 0.6345588564872742, 2.0], [202.0, 266.0, 225.0, 282.0, 0.5752683281898499, 2.0], [645.0, 262.0, 711.0, 307.0, 0.44817331433296204, 2.0], [281.0, 265.0, 300.0, 277.0, 0.4121481776237488, 2.0]]"
13,"[[319.0, 264.0, 400.0, 316.0, 0.9081222414970398, 2.0], [765.0, 275.0, 870.0, 319.0, 0.882438063621521, 2.0], [126.0, 253.0, 208.0, 311.0, 0.8278884887695312, 2.0], [868.0, 273.0, 960.0, 329.0, 0.7762964367866516, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7617955207824707, 2.0], [585.0, 264.0, 653.0, 296.0, 0.7083763480186462, 2.0], [239.0, 264.0, 268.0, 285.0, 0.6409866213798523, 2.0], [545.0, 262.0, 593.0, 289.0, 0.6367757320404053, 2.0], [203.0, 266.0, 225.0, 282.0, 0.5863023400306702, 2.0], [646.0, 262.0, 711.0, 308.0, 0.4494730830192566, 2.0], [280.0, 265.0, 300.0, 277.0, 0.42366528511047363, 2.0], [471.0, 263.0, 508.0, 279.0, 0.25762033462524414, 2.0]]"
14,"[[321.0, 264.0, 402.0, 316.0, 0.9096255898475647, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8819554448127747, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8273303508758545, 2.0], [868.0, 273.0, 960.0, 329.0, 0.7792683839797974, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7584982514381409, 2.0], [585.0, 264.0, 653.0, 296.0, 0.713947594165802, 2.0], [239.0, 264.0, 268.0, 285.0, 0.6558152437210083, 2.0], [545.0, 262.0, 594.0, 289.0, 0.6473632454872131, 2.0], [202.0, 266.0, 226.0, 282.0, 0.5901154279708862, 2.0], [646.0, 262.0, 711.0, 307.0, 0.4485161006450653, 2.0], [279.0, 265.0, 299.0, 277.0, 0.40604299306869507, 2.0]]"
15,"[[322.0, 264.0, 404.0, 316.0, 0.917911171913147, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8829824328422546, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8168169260025024, 2.0], [868.0, 273.0, 960.0, 329.0, 0.7796981930732727, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7594622373580933, 2.0], [585.0, 264.0, 653.0, 296.0, 0.719205379486084, 2.0], [239.0, 264.0, 269.0, 286.0, 0.7028639316558838, 2.0], [545.0, 262.0, 594.0, 289.0, 0.6446459889411926, 2.0], [202.0, 266.0, 226.0, 282.0, 0.594730019569397, 2.0], [279.0, 265.0, 299.0, 277.0, 0.47974249720573425, 2.0], [646.0, 262.0, 711.0, 307.0, 0.45314812660217285, 2.0]]"
16,"[[326.0, 265.0, 405.0, 318.0, 0.9272317290306091, 2.0], [765.0, 275.0, 871.0, 319.0, 0.8825066685676575, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8125896453857422, 2.0], [868.0, 273.0, 960.0, 329.0, 0.7809683680534363, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7470311522483826, 2.0], [585.0, 264.0, 653.0, 296.0, 0.7198112607002258, 2.0], [239.0, 264.0, 269.0, 286.0, 0.6805152297019958, 2.0], [545.0, 262.0, 594.0, 289.0, 0.662490725517273, 2.0], [204.0, 265.0, 226.0, 282.0, 0.5453543663024902, 2.0], [646.0, 262.0, 711.0, 307.0, 0.45077815651893616, 2.0], [279.0, 265.0, 298.0, 277.0, 0.420604407787323, 2.0]]"
17,"[[325.0, 265.0, 407.0, 318.0, 0.9111176133155823, 2.0], [765.0, 275.0, 870.0, 319.0, 0.882858157157898, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8110984563827515, 2.0], [868.0, 273.0, 960.0, 329.0, 0.7695658206939697, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7515217065811157, 2.0], [585.0, 264.0, 653.0, 297.0, 0.7280315160751343, 2.0], [545.0, 263.0, 594.0, 289.0, 0.6530954837799072, 2.0], [239.0, 264.0, 269.0, 286.0, 0.6053389310836792, 2.0], [206.0, 265.0, 227.0, 282.0, 0.5959149599075317, 2.0], [646.0, 262.0, 711.0, 307.0, 0.4212217330932617, 2.0], [279.0, 265.0, 298.0, 277.0, 0.3892008364200592, 2.0], [469.0, 262.0, 507.0, 279.0, 0.2629593014717102, 2.0]]"
18,"[[326.0, 264.0, 410.0, 318.0, 0.9122728705406189, 2.0], [765.0, 275.0, 870.0, 319.0, 0.8821646571159363, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8214856386184692, 2.0], [868.0, 273.0, 960.0, 329.0, 0.7794930934906006, 2.0], [696.0, 262.0, 793.0, 314.0, 0.7458183169364929, 2.0], [585.0, 264.0, 653.0, 297.0, 0.7300617098808289, 2.0], [545.0, 263.0, 594.0, 289.0, 0.6567209362983704, 2.0], [239.0, 264.0, 269.0, 286.0, 0.5875874161720276, 2.0], [205.0, 263.0, 227.0, 283.0, 0.5782274007797241, 2.0], [646.0, 262.0, 711.0, 307.0, 0.4357299506664276, 2.0], [279.0, 265.0, 296.0, 277.0, 0.4340938329696655, 2.0], [470.0, 262.0, 507.0, 279.0, 0.2552775740623474, 2.0]]"
19,"[[328.0, 263.0, 412.0, 319.0, 0.9088974595069885, 2.0], [765.0, 275.0, 870.0, 319.0, 0.8754719495773315, 2.0], [126.0, 254.0, 208.0, 311.0, 0.8263615369796753, 2.0], [868.0, 273.0, 960.0, 329.0, 0.7874088883399963, 2.0], [695.0, 263.0, 792.0, 314.0, 0.7511582970619202, 2.0], [585.0, 264.0, 653.0, 297.0, 0.722572922706604, 2.0], [545.0, 263.0, 594.0, 289.0, 0.6638004779815674, 2.0], [205.0, 263.0, 227.0, 283.0, 0.6070992350578308, 2.0], [240.0, 264.0, 269.0, 286.0, 0.5888695120811462, 2.0], [646.0, 262.0, 711.0, 308.0, 0.42589452862739563, 2.0], [279.0, 265.0, 295.0, 277.0, 0.386228084564209, 2.0], [470.0, 262.0, 507.0, 279.0, 0.2541021704673767, 2.0]]"
