frame,number of objects
11,"[[265.0, 220.0, 329.0, 263.0, 0.907114565372467, 2.0], [723.0, 228.0, 800.0, 274.0, 0.9066412448883057, 2.0], [639.0, 230.0, 728.0, 266.0, 0.8609196543693542, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8335123062133789, 2.0], [105.0, 211.0, 172.0, 259.0, 0.8088865876197815, 2.0], [455.0, 218.0, 494.0, 242.0, 0.714353621006012, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7089135050773621, 2.0], [198.0, 219.0, 222.0, 236.0, 0.6961825489997864, 2.0], [169.0, 219.0, 188.0, 235.0, 0.5716571807861328, 2.0], [541.0, 217.0, 593.0, 256.0, 0.44785943627357483, 2.0]]"
12,"[[266.0, 220.0, 331.0, 263.0, 0.910207986831665, 2.0], [723.0, 228.0, 800.0, 274.0, 0.9075645804405212, 2.0], [639.0, 230.0, 728.0, 266.0, 0.8611795902252197, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8301452398300171, 2.0], [105.0, 211.0, 172.0, 259.0, 0.8162742853164673, 2.0], [455.0, 218.0, 494.0, 242.0, 0.7165215015411377, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7088428735733032, 2.0], [199.0, 219.0, 222.0, 236.0, 0.6803287267684937, 2.0], [169.0, 219.0, 188.0, 235.0, 0.5708820819854736, 2.0], [541.0, 217.0, 593.0, 256.0, 0.45859259366989136, 2.0], [234.0, 220.0, 250.0, 230.0, 0.3285787105560303, 2.0]]"
13,"[[267.0, 220.0, 332.0, 263.0, 0.9133405089378357, 2.0], [723.0, 228.0, 800.0, 274.0, 0.907524824142456, 2.0], [639.0, 229.0, 728.0, 266.0, 0.8610411286354065, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8269990086555481, 2.0], [105.0, 211.0, 173.0, 260.0, 0.8174062371253967, 2.0], [455.0, 218.0, 494.0, 242.0, 0.7215929627418518, 2.0], [488.0, 220.0, 546.0, 248.0, 0.7095848917961121, 2.0], [199.0, 219.0, 223.0, 237.0, 0.7062027454376221, 2.0], [169.0, 219.0, 188.0, 235.0, 0.5721669793128967, 2.0], [541.0, 217.0, 593.0, 256.0, 0.4660453796386719, 2.0], [234.0, 220.0, 250.0, 231.0, 0.3651869595050812, 2.0]]"
14,"[[723.0, 228.0, 800.0, 274.0, 0.9081168174743652, 2.0], [268.0, 219.0, 335.0, 263.0, 0.8979924917221069, 2.0], [639.0, 229.0, 728.0, 266.0, 0.860965371131897, 2.0], [580.0, 219.0, 660.0, 261.0, 0.822205126285553, 2.0], [105.0, 211.0, 172.0, 259.0, 0.8207479119300842, 2.0], [199.0, 220.0, 223.0, 237.0, 0.7336217761039734, 2.0], [455.0, 218.0, 494.0, 242.0, 0.7313836812973022, 2.0], [488.0, 220.0, 545.0, 248.0, 0.7126938104629517, 2.0], [168.0, 219.0, 188.0, 235.0, 0.5995509028434753, 2.0], [541.0, 217.0, 594.0, 256.0, 0.4696803689002991, 2.0], [233.0, 220.0, 249.0, 230.0, 0.36787405610084534, 2.0]]"
15,"[[266.0, 220.0, 339.0, 266.0, 0.9069965481758118, 2.0], [723.0, 228.0, 800.0, 274.0, 0.906438410282135, 2.0], [639.0, 229.0, 728.0, 266.0, 0.8604282736778259, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8200473785400391, 2.0], [105.0, 211.0, 172.0, 259.0, 0.8166280388832092, 2.0], [199.0, 220.0, 223.0, 237.0, 0.7612533569335938, 2.0], [455.0, 218.0, 494.0, 242.0, 0.7322972416877747, 2.0], [488.0, 220.0, 545.0, 248.0, 0.7165022492408752, 2.0], [168.0, 219.0, 188.0, 235.0, 0.6121615171432495, 2.0], [541.0, 217.0, 594.0, 256.0, 0.4770946800708771, 2.0], [233.0, 220.0, 249.0, 230.0, 0.28917133808135986, 2.0]]"
16,"[[723.0, 228.0, 800.0, 274.0, 0.9072097539901733, 2.0], [268.0, 219.0, 339.0, 265.0, 0.8941175937652588, 2.0], [638.0, 229.0, 728.0, 266.0, 0.8608529567718506, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8228052258491516, 2.0], [105.0, 211.0, 172.0, 259.0, 0.8088557124137878, 2.0], [199.0, 220.0, 223.0, 237.0, 0.7676364779472351, 2.0], [455.0, 218.0, 494.0, 242.0, 0.7365530729293823, 2.0], [488.0, 221.0, 545.0, 248.0, 0.7216540575027466, 2.0], [170.0, 219.0, 188.0, 235.0, 0.5955138206481934, 2.0], [541.0, 217.0, 594.0, 256.0, 0.48434704542160034, 2.0], [233.0, 221.0, 248.0, 230.0, 0.25311335921287537, 2.0]]"
17,"[[722.0, 228.0, 800.0, 274.0, 0.9083043932914734, 2.0], [271.0, 219.0, 341.0, 265.0, 0.9005151987075806, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8599241375923157, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8359876275062561, 2.0], [106.0, 211.0, 173.0, 260.0, 0.8163002729415894, 2.0], [199.0, 220.0, 224.0, 238.0, 0.7761942744255066, 2.0], [488.0, 221.0, 546.0, 248.0, 0.7274598479270935, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7261801958084106, 2.0], [170.0, 219.0, 189.0, 236.0, 0.657493531703949, 2.0], [542.0, 217.0, 594.0, 256.0, 0.46339863538742065, 2.0]]"
18,"[[722.0, 228.0, 800.0, 274.0, 0.9083510637283325, 2.0], [271.0, 219.0, 342.0, 265.0, 0.9013678431510925, 2.0], [638.0, 230.0, 727.0, 266.0, 0.8594237565994263, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8374729752540588, 2.0], [106.0, 211.0, 173.0, 260.0, 0.8167930841445923, 2.0], [199.0, 220.0, 224.0, 238.0, 0.776911735534668, 2.0], [488.0, 221.0, 546.0, 248.0, 0.727985143661499, 2.0], [455.0, 218.0, 494.0, 242.0, 0.7264246940612793, 2.0], [169.0, 218.0, 189.0, 235.0, 0.6400878429412842, 2.0], [542.0, 217.0, 594.0, 256.0, 0.4773634970188141, 2.0], [231.0, 221.0, 247.0, 230.0, 0.2910548150539398, 2.0]]"
19,"[[273.0, 219.0, 343.0, 266.0, 0.9117099642753601, 2.0], [722.0, 228.0, 800.0, 274.0, 0.9074399471282959, 2.0], [639.0, 230.0, 727.0, 266.0, 0.8501944541931152, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8331220746040344, 2.0], [106.0, 211.0, 173.0, 260.0, 0.8107209205627441, 2.0], [200.0, 220.0, 224.0, 238.0, 0.765824556350708, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7342053651809692, 2.0], [488.0, 221.0, 546.0, 248.0, 0.726321816444397, 2.0], [169.0, 218.0, 189.0, 235.0, 0.638353705406189, 2.0], [542.0, 217.0, 594.0, 256.0, 0.4707433581352234, 2.0], [231.0, 221.0, 246.0, 230.0, 0.29728636145591736, 2.0]]"
20,"[[722.0, 228.0, 800.0, 274.0, 0.9078631401062012, 2.0], [274.0, 219.0, 345.0, 267.0, 0.907097339630127, 2.0], [639.0, 230.0, 727.0, 266.0, 0.8509361147880554, 2.0], [580.0, 219.0, 660.0, 261.0, 0.8367116451263428, 2.0], [105.0, 211.0, 173.0, 259.0, 0.8113672137260437, 2.0], [200.0, 220.0, 224.0, 238.0, 0.7418080568313599, 2.0], [454.0, 218.0, 494.0, 242.0, 0.7300119996070862, 2.0], [488.0, 221.0, 546.0, 248.0, 0.7220351696014404, 2.0], [170.0, 218.0, 189.0, 235.0, 0.637963593006134, 2.0], [542.0, 217.0, 594.0, 256.0, 0.4775089621543884, 2.0], [230.0, 221.0, 245.0, 230.0, 0.4158836901187897, 2.0]]"
