frame,number of objects
1,"[[893.0, 320.0, 1015.0, 375.0, 0.8884119391441345, 2.0], [355.0, 308.0, 439.0, 363.0, 0.8769838809967041, 2.0], [1015.0, 319.0, 1120.0, 383.0, 0.8696817755699158, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7510733604431152, 2.0], [634.0, 307.0, 694.0, 339.0, 0.7378796935081482, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7310875654220581, 2.0], [153.0, 296.0, 243.0, 362.0, 0.7009266018867493, 2.0], [333.0, 306.0, 358.0, 325.0, 0.5990749597549438, 2.0], [274.0, 308.0, 307.0, 332.0, 0.5130792260169983, 2.0], [234.0, 310.0, 261.0, 329.0, 0.5081195831298828, 2.0], [258.0, 308.0, 273.0, 324.0, 0.3870811462402344, 2.0], [750.0, 307.0, 828.0, 358.0, 0.3375130891799927, 2.0], [544.0, 307.0, 590.0, 326.0, 0.2790328860282898, 2.0]]"
2,"[[893.0, 320.0, 1015.0, 375.0, 0.8885408043861389, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8667524456977844, 2.0], [356.0, 308.0, 442.0, 364.0, 0.8490228056907654, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7541289925575256, 2.0], [634.0, 307.0, 694.0, 339.0, 0.74216228723526, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7313296794891357, 2.0], [157.0, 295.0, 241.0, 361.0, 0.6960897445678711, 2.0], [332.0, 306.0, 358.0, 325.0, 0.6354106664657593, 2.0], [274.0, 309.0, 308.0, 333.0, 0.515594482421875, 2.0], [233.0, 310.0, 262.0, 329.0, 0.488718181848526, 2.0], [259.0, 308.0, 274.0, 323.0, 0.37288129329681396, 2.0], [751.0, 307.0, 828.0, 358.0, 0.3348633050918579, 2.0], [542.0, 307.0, 590.0, 326.0, 0.2534938454627991, 2.0]]"
3,"[[893.0, 320.0, 1015.0, 375.0, 0.8869356513023376, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8778951168060303, 2.0], [359.0, 308.0, 444.0, 365.0, 0.8710126876831055, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7537640333175659, 2.0], [634.0, 307.0, 694.0, 339.0, 0.7422088384628296, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7302951216697693, 2.0], [153.0, 296.0, 243.0, 362.0, 0.6937543153762817, 2.0], [332.0, 306.0, 358.0, 325.0, 0.6484662294387817, 2.0], [274.0, 309.0, 309.0, 333.0, 0.5327191352844238, 2.0], [236.0, 309.0, 261.0, 329.0, 0.4879300892353058, 2.0], [259.0, 308.0, 274.0, 323.0, 0.3588762879371643, 2.0], [751.0, 307.0, 828.0, 358.0, 0.33317720890045166, 2.0], [553.0, 308.0, 617.0, 330.0, 0.2501269578933716, 2.0]]"
4,"[[893.0, 320.0, 1015.0, 375.0, 0.888500452041626, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8794534206390381, 2.0], [360.0, 308.0, 447.0, 365.0, 0.8553272485733032, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7529096007347107, 2.0], [634.0, 307.0, 694.0, 338.0, 0.7391307950019836, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7355175614356995, 2.0], [153.0, 296.0, 243.0, 362.0, 0.7015193104743958, 2.0], [274.0, 309.0, 310.0, 333.0, 0.602149486541748, 2.0], [331.0, 306.0, 358.0, 325.0, 0.5999006628990173, 2.0], [236.0, 309.0, 262.0, 328.0, 0.49837008118629456, 2.0], [259.0, 308.0, 274.0, 323.0, 0.36076241731643677, 2.0], [751.0, 307.0, 828.0, 358.0, 0.3412362039089203, 2.0]]"
5,"[[893.0, 320.0, 1015.0, 375.0, 0.8848539590835571, 2.0], [1016.0, 320.0, 1120.0, 383.0, 0.878362238407135, 2.0], [361.0, 308.0, 449.0, 366.0, 0.8758478164672852, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7528029084205627, 2.0], [634.0, 307.0, 694.0, 338.0, 0.7338356971740723, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7299371957778931, 2.0], [157.0, 295.0, 241.0, 361.0, 0.6925647854804993, 2.0], [274.0, 308.0, 310.0, 333.0, 0.5671474933624268, 2.0], [330.0, 307.0, 357.0, 325.0, 0.5182074904441833, 2.0], [237.0, 308.0, 261.0, 328.0, 0.48333805799484253, 2.0], [259.0, 308.0, 274.0, 324.0, 0.3397137224674225, 2.0], [751.0, 307.0, 828.0, 358.0, 0.3396463394165039, 2.0]]"
6,"[[893.0, 320.0, 1015.0, 375.0, 0.8840739727020264, 2.0], [363.0, 309.0, 450.0, 366.0, 0.8829502463340759, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8632398247718811, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7603290677070618, 2.0], [634.0, 307.0, 694.0, 339.0, 0.7353211045265198, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7320849895477295, 2.0], [165.0, 294.0, 241.0, 360.0, 0.682849109172821, 2.0], [275.0, 308.0, 311.0, 333.0, 0.5483947992324829, 2.0], [236.0, 308.0, 262.0, 329.0, 0.48893582820892334, 2.0], [330.0, 306.0, 356.0, 325.0, 0.40258464217185974, 2.0], [751.0, 307.0, 828.0, 358.0, 0.3491475284099579, 2.0], [259.0, 308.0, 275.0, 324.0, 0.3373444974422455, 2.0]]"
7,"[[364.0, 309.0, 452.0, 366.0, 0.8956657648086548, 2.0], [893.0, 320.0, 1014.0, 375.0, 0.8868213295936584, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8622837662696838, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7716565728187561, 2.0], [634.0, 307.0, 694.0, 339.0, 0.7284067273139954, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7255410552024841, 2.0], [167.0, 293.0, 242.0, 360.0, 0.6927530765533447, 2.0], [275.0, 308.0, 311.0, 333.0, 0.5623676180839539, 2.0], [236.0, 308.0, 262.0, 329.0, 0.4919547438621521, 2.0], [329.0, 306.0, 355.0, 325.0, 0.36823445558547974, 2.0], [751.0, 307.0, 828.0, 358.0, 0.36773496866226196, 2.0], [259.0, 308.0, 275.0, 324.0, 0.36092865467071533, 2.0]]"
8,"[[364.0, 308.0, 455.0, 367.0, 0.8931005597114563, 2.0], [893.0, 320.0, 1014.0, 375.0, 0.8862202763557434, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.869407057762146, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7671042680740356, 2.0], [634.0, 307.0, 694.0, 339.0, 0.7196003198623657, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7175381779670715, 2.0], [167.0, 293.0, 242.0, 360.0, 0.6824116706848145, 2.0], [276.0, 309.0, 312.0, 333.0, 0.5353383421897888, 2.0], [236.0, 309.0, 262.0, 329.0, 0.5014476776123047, 2.0], [751.0, 307.0, 828.0, 358.0, 0.36403778195381165, 2.0], [329.0, 306.0, 354.0, 324.0, 0.3540995717048645, 2.0], [259.0, 308.0, 275.0, 324.0, 0.31465715169906616, 2.0]]"
9,"[[366.0, 308.0, 457.0, 367.0, 0.8923885822296143, 2.0], [893.0, 320.0, 1014.0, 375.0, 0.8854175806045532, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8701202869415283, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7674405574798584, 2.0], [634.0, 307.0, 694.0, 339.0, 0.7199404835700989, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7155035138130188, 2.0], [167.0, 293.0, 242.0, 360.0, 0.6812676191329956, 2.0], [278.0, 309.0, 312.0, 333.0, 0.5651493072509766, 2.0], [236.0, 309.0, 262.0, 329.0, 0.5066801309585571, 2.0], [329.0, 307.0, 353.0, 324.0, 0.4470537304878235, 2.0], [751.0, 307.0, 828.0, 358.0, 0.36619606614112854, 2.0], [260.0, 308.0, 276.0, 324.0, 0.25097501277923584, 2.0]]"
10,"[[367.0, 308.0, 459.0, 367.0, 0.8900676369667053, 2.0], [893.0, 320.0, 1014.0, 375.0, 0.8851799368858337, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8710054755210876, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7745253443717957, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7305861115455627, 2.0], [635.0, 306.0, 694.0, 338.0, 0.7171512842178345, 2.0], [166.0, 294.0, 242.0, 360.0, 0.698670506477356, 2.0], [277.0, 309.0, 313.0, 333.0, 0.5593356490135193, 2.0], [236.0, 308.0, 262.0, 329.0, 0.525663435459137, 2.0], [328.0, 307.0, 352.0, 324.0, 0.4122983515262604, 2.0], [751.0, 307.0, 829.0, 358.0, 0.3757888972759247, 2.0], [259.0, 308.0, 277.0, 326.0, 0.2646760046482086, 2.0]]"
11,"[[893.0, 320.0, 1014.0, 375.0, 0.8835964202880859, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8715487122535706, 2.0], [369.0, 307.0, 461.0, 368.0, 0.8580182194709778, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7741977572441101, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7390435934066772, 2.0], [635.0, 307.0, 694.0, 338.0, 0.7154706120491028, 2.0], [166.0, 294.0, 242.0, 360.0, 0.6931267976760864, 2.0], [278.0, 309.0, 313.0, 333.0, 0.5703375935554504, 2.0], [236.0, 309.0, 263.0, 329.0, 0.5370989441871643, 2.0], [328.0, 308.0, 351.0, 323.0, 0.4730140268802643, 2.0], [751.0, 307.0, 829.0, 358.0, 0.3755885660648346, 2.0], [259.0, 308.0, 277.0, 327.0, 0.2662527859210968, 2.0]]"
12,"[[893.0, 320.0, 1015.0, 375.0, 0.8840919733047485, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8703348636627197, 2.0], [371.0, 307.0, 463.0, 368.0, 0.8631828427314758, 2.0], [683.0, 309.0, 762.0, 347.0, 0.770561933517456, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7343397736549377, 2.0], [634.0, 307.0, 694.0, 338.0, 0.7208215594291687, 2.0], [158.0, 295.0, 243.0, 361.0, 0.7075384855270386, 2.0], [278.0, 309.0, 313.0, 333.0, 0.5901535749435425, 2.0], [236.0, 309.0, 263.0, 329.0, 0.56533282995224, 2.0], [327.0, 308.0, 351.0, 323.0, 0.5250058770179749, 2.0], [751.0, 307.0, 829.0, 358.0, 0.37480348348617554, 2.0], [260.0, 308.0, 278.0, 328.0, 0.27694636583328247, 2.0]]"
13,"[[893.0, 320.0, 1014.0, 375.0, 0.8838739991188049, 2.0], [373.0, 307.0, 465.0, 368.0, 0.8728586435317993, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8641802668571472, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7689917087554932, 2.0], [813.0, 307.0, 922.0, 366.0, 0.7273407578468323, 2.0], [634.0, 307.0, 694.0, 338.0, 0.7238905429840088, 2.0], [158.0, 295.0, 243.0, 361.0, 0.7067746520042419, 2.0], [279.0, 309.0, 314.0, 333.0, 0.6053770184516907, 2.0], [237.0, 308.0, 263.0, 329.0, 0.5839442610740662, 2.0], [327.0, 309.0, 350.0, 323.0, 0.5468474626541138, 2.0], [752.0, 307.0, 829.0, 358.0, 0.377018004655838, 2.0], [552.0, 309.0, 617.0, 330.0, 0.2653125524520874, 2.0], [260.0, 308.0, 278.0, 328.0, 0.25775203108787537, 2.0]]"
14,"[[375.0, 307.0, 468.0, 369.0, 0.8862337470054626, 2.0], [893.0, 320.0, 1015.0, 375.0, 0.8837621808052063, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8656396865844727, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7750882506370544, 2.0], [634.0, 307.0, 694.0, 338.0, 0.7362596392631531, 2.0], [813.0, 307.0, 922.0, 366.0, 0.7266522645950317, 2.0], [156.0, 296.0, 243.0, 361.0, 0.7124693989753723, 2.0], [279.0, 309.0, 314.0, 333.0, 0.6689885258674622, 2.0], [236.0, 309.0, 264.0, 329.0, 0.6171321272850037, 2.0], [326.0, 309.0, 349.0, 323.0, 0.5514203310012817, 2.0], [752.0, 307.0, 829.0, 358.0, 0.3810272514820099, 2.0], [260.0, 308.0, 278.0, 327.0, 0.25495052337646484, 2.0]]"
15,"[[376.0, 308.0, 471.0, 370.0, 0.9003450870513916, 2.0], [893.0, 320.0, 1015.0, 375.0, 0.8857117891311646, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8669965863227844, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7777629494667053, 2.0], [634.0, 307.0, 694.0, 338.0, 0.736636757850647, 2.0], [813.0, 307.0, 922.0, 366.0, 0.7285835146903992, 2.0], [279.0, 309.0, 315.0, 333.0, 0.7285593152046204, 2.0], [156.0, 296.0, 242.0, 361.0, 0.7004901766777039, 2.0], [236.0, 309.0, 264.0, 329.0, 0.6357424855232239, 2.0], [325.0, 309.0, 349.0, 323.0, 0.5928376913070679, 2.0], [752.0, 307.0, 829.0, 358.0, 0.38209861516952515, 2.0]]"
16,"[[378.0, 308.0, 473.0, 371.0, 0.8995003700256348, 2.0], [893.0, 320.0, 1014.0, 375.0, 0.8863511085510254, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8670511245727539, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7938591837882996, 2.0], [634.0, 307.0, 694.0, 339.0, 0.7495537996292114, 2.0], [813.0, 307.0, 922.0, 366.0, 0.7350152730941772, 2.0], [279.0, 309.0, 315.0, 333.0, 0.7314980626106262, 2.0], [156.0, 296.0, 243.0, 361.0, 0.7160324454307556, 2.0], [237.0, 309.0, 265.0, 329.0, 0.6220106482505798, 2.0], [326.0, 309.0, 348.0, 323.0, 0.5184829831123352, 2.0], [752.0, 307.0, 829.0, 358.0, 0.37776318192481995, 2.0]]"
17,"[[379.0, 308.0, 476.0, 372.0, 0.9073380827903748, 2.0], [892.0, 321.0, 1014.0, 375.0, 0.885155439376831, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8727831244468689, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7913050055503845, 2.0], [634.0, 307.0, 694.0, 339.0, 0.7446038126945496, 2.0], [813.0, 307.0, 923.0, 366.0, 0.726614236831665, 2.0], [279.0, 309.0, 315.0, 333.0, 0.7161774635314941, 2.0], [154.0, 296.0, 243.0, 362.0, 0.7039473652839661, 2.0], [238.0, 310.0, 265.0, 330.0, 0.6090676188468933, 2.0], [325.0, 309.0, 348.0, 323.0, 0.504005491733551, 2.0], [752.0, 307.0, 829.0, 358.0, 0.3177541494369507, 2.0]]"
18,"[[381.0, 308.0, 478.0, 372.0, 0.9130553007125854, 2.0], [892.0, 321.0, 1014.0, 375.0, 0.8852075934410095, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8724314570426941, 2.0], [683.0, 309.0, 762.0, 347.0, 0.796263575553894, 2.0], [635.0, 307.0, 695.0, 339.0, 0.742067277431488, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7189773321151733, 2.0], [154.0, 296.0, 243.0, 362.0, 0.7130878567695618, 2.0], [279.0, 309.0, 315.0, 333.0, 0.7111349701881409, 2.0], [238.0, 308.0, 265.0, 330.0, 0.6015485525131226, 2.0], [325.0, 309.0, 348.0, 324.0, 0.515591561794281, 2.0], [752.0, 307.0, 829.0, 358.0, 0.32354798913002014, 2.0]]"
19,"[[382.0, 307.0, 480.0, 372.0, 0.9062161445617676, 2.0], [892.0, 320.0, 1014.0, 375.0, 0.8779504895210266, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8738308548927307, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7852491736412048, 2.0], [634.0, 307.0, 694.0, 339.0, 0.7376790046691895, 2.0], [280.0, 309.0, 316.0, 333.0, 0.7262606620788574, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7205584049224854, 2.0], [158.0, 295.0, 240.0, 361.0, 0.7186453938484192, 2.0], [238.0, 308.0, 265.0, 330.0, 0.6602824330329895, 2.0], [323.0, 309.0, 347.0, 324.0, 0.529699444770813, 2.0], [752.0, 307.0, 829.0, 358.0, 0.3216313421726227, 2.0]]"
20,"[[383.0, 308.0, 483.0, 373.0, 0.9044013619422913, 2.0], [892.0, 321.0, 1014.0, 375.0, 0.8807775378227234, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8697479367256165, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7894061803817749, 2.0], [634.0, 307.0, 695.0, 339.0, 0.7414566874504089, 2.0], [280.0, 309.0, 317.0, 334.0, 0.7306268811225891, 2.0], [813.0, 307.0, 923.0, 366.0, 0.7124963402748108, 2.0], [156.0, 296.0, 243.0, 361.0, 0.7100065350532532, 2.0], [239.0, 307.0, 265.0, 330.0, 0.6027029752731323, 2.0], [322.0, 309.0, 346.0, 324.0, 0.595653235912323, 2.0], [752.0, 307.0, 829.0, 358.0, 0.3202996551990509, 2.0]]"
21,"[[385.0, 308.0, 486.0, 373.0, 0.9069555401802063, 2.0], [892.0, 321.0, 1014.0, 375.0, 0.8812275528907776, 2.0], [1015.0, 320.0, 1120.0, 383.0, 0.8670722246170044, 2.0], [683.0, 309.0, 762.0, 347.0, 0.7897630929946899, 2.0], [634.0, 307.0, 695.0, 339.0, 0.7430952787399292, 2.0], [281.0, 309.0, 317.0, 333.0, 0.7242205739021301, 2.0], [157.0, 296.0, 243.0, 361.0, 0.7161919474601746, 2.0], [813.0, 307.0, 923.0, 366.0, 0.6989030838012695, 2.0], [239.0, 306.0, 266.0, 330.0, 0.6247890591621399, 2.0], [322.0, 309.0, 345.0, 324.0, 0.6177390813827515, 2.0], [752.0, 307.0, 829.0, 358.0, 0.3238344192504883, 2.0]]"
