frame,number of objects
1,"[[205.0, 175.0, 252.0, 208.0, 0.8949382901191711, 2.0], [578.0, 183.0, 640.0, 218.0, 0.8722385764122009, 2.0], [510.0, 184.0, 582.0, 214.0, 0.8292884230613708, 2.0], [466.0, 175.0, 529.0, 209.0, 0.6682605743408203, 2.0], [85.0, 170.0, 135.0, 208.0, 0.6609821915626526, 2.0], [391.0, 177.0, 437.0, 198.0, 0.6450445055961609, 2.0], [362.0, 175.0, 395.0, 195.0, 0.6445609331130981, 2.0], [156.0, 175.0, 175.0, 191.0, 0.5518554449081421, 2.0], [132.0, 177.0, 149.0, 189.0, 0.5247665643692017, 2.0], [436.0, 176.0, 475.0, 205.0, 0.3438073694705963, 2.0], [191.0, 175.0, 203.0, 185.0, 0.25398361682891846, 2.0]]"
2,"[[205.0, 176.0, 253.0, 209.0, 0.8983916640281677, 2.0], [578.0, 183.0, 640.0, 218.0, 0.87093186378479, 2.0], [510.0, 184.0, 583.0, 214.0, 0.8291155695915222, 2.0], [466.0, 175.0, 529.0, 209.0, 0.6750593781471252, 2.0], [85.0, 170.0, 135.0, 208.0, 0.654234766960144, 2.0], [391.0, 177.0, 437.0, 198.0, 0.6480974555015564, 2.0], [362.0, 175.0, 395.0, 195.0, 0.6430352926254272, 2.0], [156.0, 175.0, 176.0, 191.0, 0.5295040607452393, 2.0], [132.0, 176.0, 150.0, 189.0, 0.49898234009742737, 2.0], [435.0, 176.0, 475.0, 205.0, 0.35116228461265564, 2.0]]"
3,"[[205.0, 176.0, 254.0, 209.0, 0.9043264389038086, 2.0], [579.0, 183.0, 640.0, 218.0, 0.8731824159622192, 2.0], [510.0, 184.0, 583.0, 214.0, 0.8279402256011963, 2.0], [466.0, 175.0, 529.0, 209.0, 0.6715013384819031, 2.0], [85.0, 170.0, 135.0, 208.0, 0.6529827117919922, 2.0], [391.0, 177.0, 438.0, 198.0, 0.6442612409591675, 2.0], [362.0, 175.0, 395.0, 195.0, 0.6421907544136047, 2.0], [156.0, 175.0, 176.0, 191.0, 0.5211794376373291, 2.0], [132.0, 176.0, 150.0, 189.0, 0.5123128294944763, 2.0], [436.0, 176.0, 475.0, 205.0, 0.3473173677921295, 2.0]]"
4,"[[206.0, 176.0, 256.0, 209.0, 0.9041033983230591, 2.0], [579.0, 183.0, 640.0, 218.0, 0.8733484745025635, 2.0], [510.0, 184.0, 583.0, 214.0, 0.830540120601654, 2.0], [466.0, 175.0, 529.0, 209.0, 0.6654048562049866, 2.0], [362.0, 175.0, 395.0, 195.0, 0.6480388045310974, 2.0], [85.0, 170.0, 135.0, 208.0, 0.6456125974655151, 2.0], [391.0, 177.0, 438.0, 198.0, 0.6439130306243896, 2.0], [156.0, 175.0, 177.0, 190.0, 0.5481343269348145, 2.0], [132.0, 176.0, 150.0, 189.0, 0.5221133828163147, 2.0], [436.0, 176.0, 475.0, 205.0, 0.3330933451652527, 2.0]]"
5,"[[207.0, 176.0, 257.0, 210.0, 0.8937383890151978, 2.0], [579.0, 183.0, 640.0, 218.0, 0.8737770318984985, 2.0], [511.0, 184.0, 583.0, 214.0, 0.8373969197273254, 2.0], [466.0, 175.0, 529.0, 209.0, 0.6602469086647034, 2.0], [85.0, 170.0, 135.0, 208.0, 0.6524294018745422, 2.0], [391.0, 177.0, 438.0, 198.0, 0.6494230628013611, 2.0], [362.0, 175.0, 395.0, 195.0, 0.6489055752754211, 2.0], [156.0, 175.0, 177.0, 190.0, 0.5377506613731384, 2.0], [132.0, 176.0, 150.0, 189.0, 0.5260744094848633, 2.0], [436.0, 176.0, 475.0, 205.0, 0.31929662823677063, 2.0]]"
6,"[[207.0, 175.0, 256.0, 210.0, 0.9032379984855652, 2.0], [578.0, 183.0, 640.0, 218.0, 0.8710800409317017, 2.0], [510.0, 184.0, 583.0, 214.0, 0.8368207812309265, 2.0], [467.0, 175.0, 529.0, 209.0, 0.6604428291320801, 2.0], [85.0, 170.0, 135.0, 208.0, 0.6580243706703186, 2.0], [391.0, 177.0, 437.0, 198.0, 0.6571739912033081, 2.0], [362.0, 175.0, 395.0, 195.0, 0.6531100273132324, 2.0], [156.0, 175.0, 177.0, 190.0, 0.5650780200958252, 2.0], [132.0, 176.0, 151.0, 189.0, 0.5258501768112183, 2.0], [436.0, 175.0, 475.0, 205.0, 0.33806416392326355, 2.0]]"
7,"[[208.0, 175.0, 256.0, 210.0, 0.9124758243560791, 2.0], [578.0, 183.0, 640.0, 218.0, 0.8722813725471497, 2.0], [510.0, 184.0, 583.0, 214.0, 0.8378595113754272, 2.0], [391.0, 177.0, 436.0, 198.0, 0.6772965788841248, 2.0], [362.0, 175.0, 395.0, 195.0, 0.6546622514724731, 2.0], [467.0, 175.0, 529.0, 209.0, 0.6529155373573303, 2.0], [85.0, 170.0, 135.0, 208.0, 0.6433666348457336, 2.0], [156.0, 175.0, 177.0, 190.0, 0.5738841891288757, 2.0], [132.0, 176.0, 151.0, 189.0, 0.5242491960525513, 2.0], [435.0, 175.0, 475.0, 205.0, 0.34318971633911133, 2.0]]"
8,"[[208.0, 175.0, 258.0, 210.0, 0.9040216207504272, 2.0], [578.0, 183.0, 640.0, 218.0, 0.8713347911834717, 2.0], [510.0, 184.0, 582.0, 214.0, 0.8371061086654663, 2.0], [391.0, 177.0, 437.0, 198.0, 0.6712740659713745, 2.0], [362.0, 175.0, 395.0, 195.0, 0.6541215777397156, 2.0], [467.0, 175.0, 529.0, 209.0, 0.6520226001739502, 2.0], [85.0, 168.0, 137.0, 207.0, 0.6473527550697327, 2.0], [157.0, 175.0, 177.0, 190.0, 0.5748783349990845, 2.0], [132.0, 176.0, 151.0, 189.0, 0.5330953598022461, 2.0], [435.0, 175.0, 475.0, 205.0, 0.34329497814178467, 2.0]]"
9,"[[210.0, 175.0, 260.0, 210.0, 0.8951505422592163, 2.0], [578.0, 183.0, 640.0, 218.0, 0.872847855091095, 2.0], [510.0, 184.0, 582.0, 214.0, 0.8370802998542786, 2.0], [391.0, 177.0, 437.0, 198.0, 0.6688246130943298, 2.0], [362.0, 175.0, 395.0, 195.0, 0.655115008354187, 2.0], [467.0, 175.0, 529.0, 209.0, 0.6489852070808411, 2.0], [86.0, 170.0, 135.0, 208.0, 0.6473428010940552, 2.0], [157.0, 175.0, 177.0, 190.0, 0.5689509510993958, 2.0], [132.0, 176.0, 151.0, 189.0, 0.5426541566848755, 2.0], [435.0, 175.0, 475.0, 205.0, 0.34533917903900146, 2.0]]"
10,"[[210.0, 175.0, 261.0, 210.0, 0.8992617130279541, 2.0], [578.0, 183.0, 640.0, 218.0, 0.8726175427436829, 2.0], [510.0, 184.0, 582.0, 214.0, 0.8352115750312805, 2.0], [391.0, 177.0, 436.0, 198.0, 0.6769466400146484, 2.0], [86.0, 168.0, 137.0, 207.0, 0.6599199771881104, 2.0], [362.0, 175.0, 395.0, 195.0, 0.6564673185348511, 2.0], [467.0, 175.0, 529.0, 209.0, 0.6468886733055115, 2.0], [157.0, 175.0, 178.0, 190.0, 0.6127314567565918, 2.0], [132.0, 176.0, 151.0, 188.0, 0.5575435161590576, 2.0], [435.0, 175.0, 475.0, 205.0, 0.35981181263923645, 2.0]]"
