frame,number of objects
100,"[[236.0, 295.0, 264.0, 335.0, 0.7635299563407898, 0.0], [522.0, 362.0, 548.0, 408.0, 0.6117550134658813, 0.0], [965.0, 218.0, 993.0, 278.0, 0.4537290632724762, 0.0], [1143.0, 222.0, 1160.0, 261.0, 0.34074661135673523, 0.0], [761.0, 224.0, 776.0, 265.0, 0.3048843443393707, 0.0], [1123.0, 285.0, 1145.0, 334.0, 0.2585674822330475, 0.0]]"
200,"[[973.0, 201.0, 991.0, 247.0, 0.5819339752197266, 0.0], [874.0, 411.0, 913.0, 476.0, 0.5409075617790222, 0.0], [708.0, 302.0, 740.0, 346.0, 0.5365935564041138, 0.0], [863.0, 698.0, 892.0, 720.0, 0.44237738847732544, 0.0], [1119.0, 182.0, 1139.0, 212.0, 0.43782854080200195, 0.0], [1162.0, 193.0, 1187.0, 232.0, 0.4297957718372345, 0.0], [1200.0, 280.0, 1228.0, 343.0, 0.4201218783855438, 0.0], [1188.0, 251.0, 1207.0, 298.0, 0.39298176765441895, 0.0], [1070.0, 204.0, 1085.0, 243.0, 0.31349003314971924, 0.0], [662.0, 170.0, 679.0, 209.0, 0.25168469548225403, 0.0]]"
300,"[[132.0, 386.0, 179.0, 444.0, 0.6900883316993713, 0.0], [699.0, 141.0, 713.0, 170.0, 0.643437385559082, 0.0], [830.0, 440.0, 871.0, 492.0, 0.6385172009468079, 0.0], [1219.0, 261.0, 1243.0, 320.0, 0.6120648980140686, 0.0], [781.0, 327.0, 811.0, 375.0, 0.6008728742599487, 0.0], [452.0, 178.0, 470.0, 212.0, 0.5691729784011841, 0.0], [122.0, 295.0, 156.0, 356.0, 0.5393345952033997, 0.0], [1166.0, 186.0, 1186.0, 229.0, 0.5329722166061401, 0.0], [1.0, 449.0, 40.0, 524.0, 0.46928495168685913, 0.0], [988.0, 175.0, 1008.0, 206.0, 0.2903209626674652, 0.0]]"
400,"[[875.0, 151.0, 889.0, 186.0, 0.684499979019165, 0.0], [889.0, 385.0, 932.0, 446.0, 0.603216290473938, 0.0], [388.0, 162.0, 406.0, 197.0, 0.533649742603302, 0.0], [409.0, 181.0, 425.0, 218.0, 0.46601441502571106, 0.0], [1264.0, 292.0, 1280.0, 351.0, 0.45755264163017273, 0.0], [836.0, 125.0, 849.0, 154.0, 0.28828394412994385, 0.0], [1166.0, 182.0, 1186.0, 223.0, 0.25623294711112976, 0.0]]"
500,"[[226.0, 180.0, 250.0, 215.0, 0.6154626607894897, 0.0], [785.0, 363.0, 827.0, 420.0, 0.5987846255302429, 0.0], [213.0, 216.0, 240.0, 259.0, 0.4165138304233551, 0.0], [207.0, 128.0, 218.0, 153.0, 0.28281885385513306, 0.0]]"
600,"[[749.0, 600.0, 821.0, 712.0, 0.6630735993385315, 0.0], [847.0, 122.0, 859.0, 161.0, 0.5573409795761108, 0.0], [748.0, 372.0, 786.0, 443.0, 0.5299431085586548, 0.0], [1149.0, 166.0, 1166.0, 209.0, 0.5004420280456543, 0.0], [1031.0, 174.0, 1049.0, 204.0, 0.4106977880001068, 0.0], [86.0, 229.0, 122.0, 266.0, 0.3320184350013733, 0.0], [750.0, 587.0, 792.0, 649.0, 0.25289487838745117, 0.0]]"
700,"[[346.0, 131.0, 363.0, 168.0, 0.7165192365646362, 0.0], [681.0, 135.0, 699.0, 171.0, 0.5947235226631165, 0.0], [682.0, 213.0, 708.0, 248.0, 0.5733617544174194, 0.0], [836.0, 143.0, 858.0, 188.0, 0.4647213816642761, 0.0], [869.0, 108.0, 881.0, 141.0, 0.44545891880989075, 0.0], [901.0, 124.0, 915.0, 165.0, 0.438358336687088, 0.0], [388.0, 170.0, 406.0, 218.0, 0.3605480194091797, 0.0], [1151.0, 131.0, 1165.0, 170.0, 0.31456607580184937, 0.0], [960.0, 137.0, 986.0, 191.0, 0.30353692173957825, 0.0], [1039.0, 142.0, 1056.0, 171.0, 0.2965192496776581, 0.0], [1196.0, 135.0, 1216.0, 176.0, 0.2638351321220398, 0.0], [0.0, 231.0, 28.0, 289.0, 0.2519972026348114, 0.0]]"
800,"[[967.0, 321.0, 1010.0, 385.0, 0.681799054145813, 0.0], [248.0, 134.0, 269.0, 167.0, 0.5981186628341675, 0.0], [730.0, 157.0, 749.0, 183.0, 0.4420413076877594, 0.0], [340.0, 111.0, 355.0, 136.0, 0.4246046245098114, 0.0], [727.0, 268.0, 758.0, 310.0, 0.41153284907341003, 0.0], [964.0, 156.0, 983.0, 195.0, 0.3977770507335663, 0.0], [1167.0, 134.0, 1182.0, 174.0, 0.3070880174636841, 0.0], [904.0, 133.0, 923.0, 182.0, 0.28891870379447937, 0.0], [915.0, 134.0, 933.0, 182.0, 0.27904701232910156, 0.0], [692.0, 159.0, 713.0, 203.0, 0.2618805468082428, 0.0]]"
900,"[[962.0, 146.0, 980.0, 191.0, 0.7091903686523438, 0.0], [255.0, 135.0, 275.0, 175.0, 0.6789699196815491, 0.0], [412.0, 79.0, 423.0, 105.0, 0.6294782757759094, 0.0], [763.0, 506.0, 833.0, 593.0, 0.59549480676651, 0.0], [757.0, 384.0, 803.0, 439.0, 0.5524517893791199, 0.0], [251.0, 182.0, 273.0, 226.0, 0.5155759453773499, 0.0], [281.0, 154.0, 302.0, 194.0, 0.4912935197353363, 0.0], [911.0, 112.0, 924.0, 147.0, 0.4818776845932007, 0.0], [977.0, 142.0, 996.0, 187.0, 0.44428372383117676, 0.0], [443.0, 56.0, 454.0, 78.0, 0.30979594588279724, 0.0]]"
1000,"[[396.0, 71.0, 409.0, 97.0, 0.6929050087928772, 0.0], [667.0, 188.0, 688.0, 231.0, 0.5448617935180664, 0.0], [78.0, 413.0, 133.0, 479.0, 0.5382136702537537, 0.0], [1179.0, 120.0, 1202.0, 155.0, 0.3988493084907532, 0.0], [973.0, 182.0, 1006.0, 236.0, 0.35816705226898193, 0.0], [426.0, 70.0, 441.0, 103.0, 0.34863200783729553, 0.0], [995.0, 185.0, 1020.0, 245.0, 0.2988504469394684, 0.0], [409.0, 43.0, 420.0, 63.0, 0.27780139446258545, 0.0], [988.0, 135.0, 1049.0, 194.0, 0.2525224983692169, 0.0]]"
