frame,number of objects
100,"[[129.0, 91.0, 139.0, 112.0, 0.44327473640441895, 0.0]]"
200,"[[298.0, 68.0, 306.0, 86.0, 0.4315846264362335, 0.0]]"
300,"[[194.0, 81.0, 204.0, 106.0, 0.41359543800354004, 0.0], [32.0, 97.0, 45.0, 116.0, 0.352457731962204, 0.0], [205.0, 109.0, 218.0, 135.0, 0.34203657507896423, 0.0], [207.0, 109.0, 217.0, 123.0, 0.26036250591278076, 0.0]]"
400,[]
500,"[[195.0, 90.0, 207.0, 116.0, 0.46399399638175964, 0.0]]"
600,"[[187.0, 147.0, 203.0, 178.0, 0.7060754895210266, 0.0], [186.0, 91.0, 198.0, 118.0, 0.43769556283950806, 0.0]]"
700,"[[208.0, 35.0, 215.0, 48.0, 0.4404773414134979, 0.0]]"
800,[]
900,"[[188.0, 96.0, 203.0, 123.0, 0.28843796253204346, 0.0]]"
1000,"[[17.0, 103.0, 34.0, 132.0, 0.4375644326210022, 0.0]]"
1100,"[[302.0, 75.0, 319.0, 102.0, 0.40417611598968506, 0.0], [31.0, 38.0, 38.0, 51.0, 0.3680438995361328, 0.0]]"
1200,[]
1300,"[[44.0, 41.0, 50.0, 55.0, 0.2864378094673157, 0.0]]"
1400,"[[182.0, 37.0, 192.0, 56.0, 0.3756771683692932, 0.0], [134.0, 121.0, 150.0, 154.0, 0.321309894323349, 0.0]]"
1500,"[[141.0, 146.0, 159.0, 177.0, 0.6511066555976868, 0.0], [253.0, 166.0, 269.0, 180.0, 0.41161781549453735, 0.0], [230.0, 42.0, 237.0, 57.0, 0.31767234206199646, 0.0]]"
1600,"[[131.0, 64.0, 141.0, 87.0, 0.27344411611557007, 0.0], [289.0, 124.0, 307.0, 146.0, 0.25139907002449036, 0.0]]"
1700,[]
1800,"[[203.0, 64.0, 214.0, 90.0, 0.4664154350757599, 0.0], [49.0, 37.0, 56.0, 48.0, 0.38441339135169983, 0.0], [29.0, 50.0, 36.0, 63.0, 0.3595834970474243, 0.0], [185.0, 57.0, 196.0, 76.0, 0.3535773754119873, 0.0], [254.0, 64.0, 267.0, 85.0, 0.33429962396621704, 0.0], [143.0, 84.0, 155.0, 111.0, 0.3322066068649292, 0.0], [42.0, 58.0, 50.0, 76.0, 0.2713163197040558, 0.0]]"
1900,"[[180.0, 123.0, 195.0, 151.0, 0.7056761980056763, 0.0], [168.0, 43.0, 176.0, 61.0, 0.4508793354034424, 0.0]]"
2000,"[[178.0, 83.0, 190.0, 110.0, 0.4890609681606293, 0.0]]"
2100,[]
2200,"[[255.0, 73.0, 267.0, 95.0, 0.3743036091327667, 0.0], [304.0, 118.0, 320.0, 133.0, 0.3359667658805847, 0.0]]"
2300,"[[160.0, 104.0, 172.0, 121.0, 0.4128987193107605, 0.0], [257.0, 150.0, 274.0, 178.0, 0.37770605087280273, 0.0]]"
2400,[]
2500,[]
2600,"[[220.0, 56.0, 230.0, 76.0, 0.35273072123527527, 0.0]]"
2700,"[[240.0, 54.0, 248.0, 68.0, 0.3326225280761719, 0.0]]"
