frame,number of objects
100,"[[194.0, 136.0, 209.0, 164.0, 0.45497792959213257, 0.0], [88.0, 111.0, 98.0, 127.0, 0.30928072333335876, 0.0]]"
200,"[[449.0, 102.0, 461.0, 129.0, 0.6513987183570862, 0.0], [328.0, 155.0, 343.0, 175.0, 0.2785223126411438, 0.0]]"
300,"[[43.0, 109.0, 58.0, 136.0, 0.5712701678276062, 0.0], [309.0, 164.0, 328.0, 193.0, 0.5296914577484131, 0.0], [291.0, 122.0, 305.0, 150.0, 0.5110981464385986, 0.0], [49.0, 146.0, 69.0, 174.0, 0.30784517526626587, 0.0]]"
400,"[[332.0, 144.0, 350.0, 177.0, 0.4024161100387573, 0.0]]"
500,"[[295.0, 136.0, 310.0, 164.0, 0.5079212188720703, 0.0], [85.0, 68.0, 93.0, 82.0, 0.3537217676639557, 0.0]]"
600,"[[279.0, 221.0, 308.0, 269.0, 0.6945882439613342, 0.0], [280.0, 138.0, 295.0, 175.0, 0.44205060601234436, 0.0], [282.0, 138.0, 294.0, 158.0, 0.38793089985847473, 0.0]]"
700,"[[313.0, 54.0, 322.0, 71.0, 0.4562949538230896, 0.0], [255.0, 79.0, 265.0, 100.0, 0.312284380197525, 0.0]]"
800,"[[362.0, 119.0, 381.0, 149.0, 0.41093710064888, 0.0]]"
900,"[[287.0, 190.0, 312.0, 230.0, 0.5189253091812134, 0.0], [282.0, 145.0, 303.0, 179.0, 0.4876866638660431, 0.0], [95.0, 51.0, 105.0, 70.0, 0.41146960854530334, 0.0], [106.0, 61.0, 114.0, 73.0, 0.32288166880607605, 0.0]]"
1000,"[[30.0, 154.0, 50.0, 184.0, 0.5575314164161682, 0.0], [248.0, 70.0, 259.0, 95.0, 0.33253851532936096, 0.0]]"
1100,"[[468.0, 116.0, 480.0, 143.0, 0.4118557870388031, 0.0], [454.0, 115.0, 479.0, 150.0, 0.34323662519454956, 0.0], [45.0, 58.0, 57.0, 76.0, 0.3423633277416229, 0.0]]"
1200,"[[387.0, 35.0, 394.0, 53.0, 0.399044930934906, 0.0], [424.0, 63.0, 436.0, 88.0, 0.353651762008667, 0.0]]"
