frame,number of objects
100,"[[176.0, 221.0, 198.0, 251.0, 0.7894118428230286, 0.0], [390.0, 271.0, 413.0, 316.0, 0.5067353844642639, 0.0], [722.0, 164.0, 746.0, 212.0, 0.5021143555641174, 0.0], [868.0, 165.0, 887.0, 195.0, 0.4208613634109497, 0.0], [455.0, 159.0, 467.0, 185.0, 0.37212005257606506, 0.0], [855.0, 166.0, 870.0, 193.0, 0.29499712586402893, 0.0]]"
200,"[[899.0, 208.0, 921.0, 257.0, 0.74610435962677, 0.0], [729.0, 149.0, 744.0, 187.0, 0.6822521686553955, 0.0], [529.0, 224.0, 555.0, 259.0, 0.5488701462745667, 0.0], [656.0, 309.0, 683.0, 347.0, 0.5351388454437256, 0.0], [647.0, 524.0, 669.0, 540.0, 0.33296293020248413, 0.0], [867.0, 142.0, 889.0, 171.0, 0.2899271845817566, 0.0], [891.0, 187.0, 905.0, 223.0, 0.267488032579422, 0.0]]"
300,"[[91.0, 220.0, 116.0, 269.0, 0.6298373341560364, 0.0], [585.0, 246.0, 609.0, 288.0, 0.5759109258651733, 0.0], [872.0, 138.0, 890.0, 170.0, 0.5381799936294556, 0.0], [525.0, 106.0, 534.0, 129.0, 0.5122988820075989, 0.0], [621.0, 328.0, 654.0, 380.0, 0.5024338960647583, 0.0], [99.0, 290.0, 124.0, 333.0, 0.4869975447654724, 0.0], [338.0, 133.0, 352.0, 159.0, 0.450973778963089, 0.0], [914.0, 198.0, 932.0, 239.0, 0.40787628293037415, 0.0], [837.0, 131.0, 853.0, 152.0, 0.3091188967227936, 0.0], [97.0, 294.0, 136.0, 349.0, 0.3068200349807739, 0.0]]"
400,"[[667.0, 288.0, 700.0, 343.0, 0.6017782688140869, 0.0], [658.0, 114.0, 667.0, 139.0, 0.5143225193023682, 0.0], [874.0, 135.0, 894.0, 167.0, 0.45261350274086, 0.0], [292.0, 122.0, 304.0, 150.0, 0.38832205533981323, 0.0]]"
500,"[[591.0, 274.0, 621.0, 339.0, 0.7775188088417053, 0.0], [855.0, 133.0, 870.0, 163.0, 0.39099761843681335, 0.0], [169.0, 135.0, 187.0, 165.0, 0.31886324286460876, 0.0]]"
600,"[[559.0, 451.0, 615.0, 536.0, 0.6827132701873779, 0.0], [562.0, 278.0, 590.0, 337.0, 0.6369418501853943, 0.0], [635.0, 97.0, 644.0, 120.0, 0.3142055869102478, 0.0], [566.0, 440.0, 597.0, 485.0, 0.2892026901245117, 0.0]]"
700,"[[259.0, 99.0, 272.0, 128.0, 0.5579183101654053, 0.0], [511.0, 157.0, 531.0, 183.0, 0.5392260551452637, 0.0], [627.0, 107.0, 643.0, 140.0, 0.4305548369884491, 0.0], [511.0, 102.0, 524.0, 131.0, 0.36977875232696533, 0.0], [508.0, 161.0, 529.0, 204.0, 0.29097381234169006, 0.0], [898.0, 100.0, 914.0, 131.0, 0.28964993357658386, 0.0], [780.0, 106.0, 791.0, 127.0, 0.2758026421070099, 0.0], [676.0, 92.0, 686.0, 124.0, 0.2726488411426544, 0.0], [291.0, 126.0, 304.0, 165.0, 0.2633759677410126, 0.0]]"
800,"[[726.0, 241.0, 760.0, 298.0, 0.7384064197540283, 0.0], [546.0, 201.0, 568.0, 227.0, 0.5125412344932556, 0.0], [547.0, 118.0, 561.0, 144.0, 0.38397109508514404, 0.0], [187.0, 100.0, 203.0, 127.0, 0.31786054372787476, 0.0], [687.0, 102.0, 699.0, 137.0, 0.2697891592979431, 0.0]]"
900,"[[191.0, 100.0, 206.0, 132.0, 0.5944444537162781, 0.0], [567.0, 287.0, 603.0, 332.0, 0.5893436074256897, 0.0], [573.0, 377.0, 625.0, 464.0, 0.5756773352622986, 0.0], [721.0, 106.0, 735.0, 143.0, 0.5574829578399658, 0.0], [188.0, 136.0, 209.0, 173.0, 0.5373362898826599, 0.0], [308.0, 60.0, 318.0, 77.0, 0.4861249327659607, 0.0], [209.0, 117.0, 227.0, 149.0, 0.3779451549053192, 0.0], [733.0, 106.0, 749.0, 140.0, 0.32369062304496765, 0.0]]"
1000,"[[297.0, 52.0, 306.0, 76.0, 0.589793860912323, 0.0], [501.0, 139.0, 516.0, 167.0, 0.5249305963516235, 0.0], [884.0, 88.0, 902.0, 114.0, 0.4115212857723236, 0.0], [58.0, 309.0, 98.0, 357.0, 0.39282381534576416, 0.0], [731.0, 137.0, 751.0, 177.0, 0.34472203254699707, 0.0], [320.0, 51.0, 331.0, 75.0, 0.3190861642360687, 0.0], [100.0, 74.0, 109.0, 93.0, 0.2795235812664032, 0.0]]"
1100,"[[795.0, 109.0, 819.0, 157.0, 0.5315155386924744, 0.0], [79.0, 67.0, 87.0, 90.0, 0.2989538609981537, 0.0], [93.0, 114.0, 114.0, 150.0, 0.29587215185165405, 0.0]]"
1200,"[[846.0, 131.0, 870.0, 175.0, 0.5406352281570435, 0.0], [775.0, 77.0, 787.0, 110.0, 0.4217158257961273, 0.0]]"
1300,"[[886.0, 144.0, 907.0, 193.0, 0.786849319934845, 0.0], [131.0, 124.0, 152.0, 157.0, 0.44796252250671387, 0.0], [775.0, 75.0, 790.0, 109.0, 0.40669694542884827, 0.0], [459.0, 100.0, 479.0, 136.0, 0.3360297381877899, 0.0]]"
