frame,number of objects
2300,"[[512.0, 299.0, 551.0, 357.0, 0.6687566637992859, 0.0], [319.0, 211.0, 344.0, 251.0, 0.5554718375205994, 0.0], [0.0, 165.0, 26.0, 203.0, 0.37664979696273804, 0.0], [319.0, 224.0, 345.0, 273.0, 0.3509099781513214, 0.0]]"
2400,"[[124.0, 85.0, 138.0, 113.0, 0.6147047877311707, 0.0], [286.0, 113.0, 304.0, 148.0, 0.5927733778953552, 0.0], [605.0, 73.0, 618.0, 101.0, 0.4200056791305542, 0.0], [0.0, 116.0, 10.0, 154.0, 0.3251667320728302, 0.0]]"
2500,"[[562.0, 75.0, 571.0, 100.0, 0.4829999804496765, 0.0], [604.0, 76.0, 615.0, 105.0, 0.2824876010417938, 0.0]]"
2600,"[[442.0, 112.0, 459.0, 149.0, 0.6656796336174011, 0.0], [550.0, 69.0, 561.0, 94.0, 0.4803665578365326, 0.0], [347.0, 79.0, 361.0, 107.0, 0.3402129113674164, 0.0], [607.0, 138.0, 625.0, 180.0, 0.321637362241745, 0.0], [587.0, 137.0, 609.0, 170.0, 0.27758699655532837, 0.0]]"
2700,"[[480.0, 110.0, 496.0, 135.0, 0.6809582114219666, 0.0], [553.0, 84.0, 564.0, 109.0, 0.5411350131034851, 0.0], [606.0, 78.0, 617.0, 105.0, 0.3642902374267578, 0.0]]"
2800,"[[576.0, 94.0, 589.0, 127.0, 0.8137742877006531, 0.0], [615.0, 237.0, 640.0, 273.0, 0.6558732390403748, 0.0], [551.0, 91.0, 567.0, 122.0, 0.4535697102546692, 0.0]]"
2900,"[[466.0, 216.0, 499.0, 258.0, 0.5081133842468262, 0.0], [401.0, 81.0, 418.0, 112.0, 0.365333616733551, 0.0]]"
3000,"[[340.0, 266.0, 376.0, 329.0, 0.676899254322052, 0.0], [390.0, 221.0, 418.0, 260.0, 0.6243757009506226, 0.0], [460.0, 153.0, 478.0, 184.0, 0.5777913331985474, 0.0], [105.0, 73.0, 115.0, 94.0, 0.3762092590332031, 0.0], [95.0, 82.0, 107.0, 105.0, 0.33494001626968384, 0.0]]"
3100,"[[336.0, 78.0, 349.0, 109.0, 0.4812106192111969, 0.0], [320.0, 98.0, 334.0, 131.0, 0.4739207625389099, 0.0], [441.0, 62.0, 452.0, 89.0, 0.42306628823280334, 0.0], [429.0, 116.0, 444.0, 132.0, 0.3417983651161194, 0.0], [606.0, 81.0, 619.0, 113.0, 0.3404245376586914, 0.0]]"
3200,"[[463.0, 293.0, 504.0, 352.0, 0.6498938202857971, 0.0], [550.0, 140.0, 576.0, 180.0, 0.4269556701183319, 0.0], [590.0, 56.0, 602.0, 85.0, 0.3444746136665344, 0.0]]"
3300,"[[173.0, 56.0, 180.0, 73.0, 0.3433230519294739, 0.0], [369.0, 74.0, 378.0, 99.0, 0.29697954654693604, 0.0], [582.0, 60.0, 596.0, 89.0, 0.29303327202796936, 0.0]]"
3400,"[[413.0, 223.0, 445.0, 272.0, 0.6317812204360962, 0.0], [267.0, 129.0, 286.0, 165.0, 0.5631557703018188, 0.0], [331.0, 237.0, 359.0, 272.0, 0.5515269041061401, 0.0], [479.0, 81.0, 495.0, 108.0, 0.4282037615776062, 0.0]]"
3500,"[[276.0, 102.0, 291.0, 121.0, 0.5267236828804016, 0.0], [568.0, 50.0, 584.0, 79.0, 0.36087843775749207, 0.0], [620.0, 50.0, 633.0, 82.0, 0.271066278219223, 0.0]]"
3600,"[[495.0, 152.0, 515.0, 186.0, 0.7586879134178162, 0.0], [5.0, 162.0, 33.0, 193.0, 0.5587933659553528, 0.0], [592.0, 145.0, 616.0, 178.0, 0.4599168300628662, 0.0], [436.0, 122.0, 455.0, 154.0, 0.408036470413208, 0.0], [13.0, 117.0, 30.0, 141.0, 0.35602009296417236, 0.0], [89.0, 36.0, 98.0, 56.0, 0.3020690977573395, 0.0], [339.0, 61.0, 352.0, 90.0, 0.2893005907535553, 0.0]]"
3700,"[[351.0, 129.0, 370.0, 163.0, 0.5875535607337952, 0.0], [527.0, 59.0, 540.0, 94.0, 0.5359494686126709, 0.0], [359.0, 88.0, 373.0, 122.0, 0.5208409428596497, 0.0], [391.0, 121.0, 410.0, 158.0, 0.48142632842063904, 0.0]]"
3800,"[[421.0, 260.0, 458.0, 328.0, 0.5635044574737549, 0.0], [410.0, 174.0, 435.0, 214.0, 0.5543965697288513, 0.0], [631.0, 233.0, 640.0, 281.0, 0.35729244351387024, 0.0], [98.0, 87.0, 113.0, 113.0, 0.2573085427284241, 0.0]]"
3900,"[[583.0, 78.0, 598.0, 113.0, 0.5891978144645691, 0.0], [449.0, 127.0, 468.0, 163.0, 0.5281398892402649, 0.0], [141.0, 57.0, 150.0, 77.0, 0.49499064683914185, 0.0], [85.0, 83.0, 101.0, 106.0, 0.4445498585700989, 0.0], [292.0, 149.0, 313.0, 200.0, 0.40123438835144043, 0.0], [598.0, 76.0, 611.0, 108.0, 0.31352469325065613, 0.0]]"
4000,"[[181.0, 66.0, 191.0, 89.0, 0.4794118404388428, 0.0], [45.0, 100.0, 62.0, 130.0, 0.35613498091697693, 0.0], [569.0, 84.0, 582.0, 113.0, 0.25748690962791443, 0.0]]"
4100,"[[599.0, 224.0, 640.0, 291.0, 0.7234296202659607, 0.0], [267.0, 146.0, 288.0, 173.0, 0.49991410970687866, 0.0], [525.0, 65.0, 538.0, 98.0, 0.41480693221092224, 0.0], [265.0, 149.0, 288.0, 195.0, 0.25931283831596375, 0.0]]"
4200,"[[428.0, 222.0, 454.0, 260.0, 0.6228011250495911, 0.0], [554.0, 86.0, 566.0, 111.0, 0.5870350003242493, 0.0], [98.0, 83.0, 115.0, 110.0, 0.3489629626274109, 0.0]]"
4300,"[[592.0, 82.0, 612.0, 133.0, 0.5851181745529175, 0.0]]"
4400,"[[500.0, 112.0, 518.0, 134.0, 0.42989522218704224, 0.0], [541.0, 60.0, 554.0, 84.0, 0.3703945279121399, 0.0], [591.0, 44.0, 603.0, 68.0, 0.32202741503715515, 0.0], [600.0, 76.0, 616.0, 104.0, 0.2681165039539337, 0.0], [424.0, 73.0, 437.0, 98.0, 0.25075915455818176, 0.0]]"
4500,"[[464.0, 256.0, 500.0, 318.0, 0.6698755621910095, 0.0], [473.0, 170.0, 499.0, 201.0, 0.5704885721206665, 0.0], [401.0, 189.0, 425.0, 226.0, 0.5519718527793884, 0.0], [41.0, 58.0, 53.0, 78.0, 0.5325347781181335, 0.0], [114.0, 62.0, 126.0, 88.0, 0.5280104875564575, 0.0], [548.0, 66.0, 557.0, 95.0, 0.5169824361801147, 0.0], [587.0, 75.0, 600.0, 106.0, 0.4608318507671356, 0.0], [582.0, 45.0, 595.0, 74.0, 0.4051516354084015, 0.0], [285.0, 62.0, 302.0, 86.0, 0.3577573597431183, 0.0]]"
4600,"[[245.0, 143.0, 272.0, 180.0, 0.5742096304893494, 0.0], [361.0, 106.0, 377.0, 136.0, 0.5436755418777466, 0.0], [371.0, 127.0, 389.0, 165.0, 0.5113454461097717, 0.0], [78.0, 119.0, 102.0, 156.0, 0.4521552324295044, 0.0], [58.0, 88.0, 73.0, 116.0, 0.43536633253097534, 0.0], [371.0, 126.0, 387.0, 147.0, 0.3779558837413788, 0.0], [582.0, 49.0, 596.0, 81.0, 0.36913493275642395, 0.0]]"
4700,"[[606.0, 96.0, 620.0, 127.0, 0.6496161818504333, 0.0], [598.0, 82.0, 611.0, 108.0, 0.48341506719589233, 0.0]]"
4800,"[[631.0, 114.0, 640.0, 145.0, 0.6280491948127747, 0.0], [406.0, 257.0, 441.0, 318.0, 0.4593200385570526, 0.0], [380.0, 150.0, 397.0, 171.0, 0.45889586210250854, 0.0], [362.0, 130.0, 381.0, 166.0, 0.37855181097984314, 0.0], [458.0, 101.0, 474.0, 133.0, 0.33762672543525696, 0.0], [379.0, 152.0, 399.0, 202.0, 0.2587434947490692, 0.0]]"
4900,"[[249.0, 209.0, 277.0, 263.0, 0.5795397162437439, 0.0], [449.0, 138.0, 466.0, 168.0, 0.462318480014801, 0.0], [612.0, 51.0, 628.0, 84.0, 0.3149714469909668, 0.0]]"
5000,"[[375.0, 153.0, 393.0, 187.0, 0.500507116317749, 0.0], [350.0, 269.0, 385.0, 326.0, 0.49811869859695435, 0.0], [107.0, 131.0, 125.0, 158.0, 0.4786723852157593, 0.0], [43.0, 148.0, 68.0, 183.0, 0.43567392230033875, 0.0], [191.0, 28.0, 198.0, 42.0, 0.27715548872947693, 0.0], [515.0, 125.0, 536.0, 160.0, 0.2510441541671753, 0.0]]"
5100,"[[543.0, 263.0, 579.0, 303.0, 0.5560163259506226, 0.0], [337.0, 121.0, 354.0, 156.0, 0.4768036901950836, 0.0], [95.0, 111.0, 116.0, 143.0, 0.4457505941390991, 0.0], [386.0, 61.0, 400.0, 89.0, 0.2962740957736969, 0.0]]"
5200,"[[429.0, 121.0, 446.0, 145.0, 0.6289398670196533, 0.0], [505.0, 176.0, 528.0, 210.0, 0.5083020925521851, 0.0], [36.0, 92.0, 54.0, 122.0, 0.4509211480617523, 0.0], [452.0, 116.0, 469.0, 151.0, 0.39228472113609314, 0.0], [500.0, 76.0, 509.0, 95.0, 0.34880223870277405, 0.0], [581.0, 60.0, 598.0, 87.0, 0.26976850628852844, 0.0]]"
5300,"[[570.0, 291.0, 612.0, 344.0, 0.5771000385284424, 0.0], [317.0, 164.0, 334.0, 184.0, 0.4942737817764282, 0.0], [524.0, 85.0, 536.0, 108.0, 0.4502137005329132, 0.0], [501.0, 64.0, 516.0, 92.0, 0.3435310423374176, 0.0]]"
5400,"[[562.0, 93.0, 577.0, 124.0, 0.5845835208892822, 0.0], [460.0, 57.0, 471.0, 80.0, 0.2980654239654541, 0.0]]"
5500,"[[498.0, 189.0, 523.0, 221.0, 0.5919414162635803, 0.0], [593.0, 110.0, 609.0, 145.0, 0.5168796181678772, 0.0]]"
5600,"[[311.0, 128.0, 327.0, 166.0, 0.4422089457511902, 0.0], [579.0, 63.0, 595.0, 87.0, 0.3195001780986786, 0.0], [45.0, 125.0, 64.0, 154.0, 0.2972363531589508, 0.0], [555.0, 62.0, 567.0, 77.0, 0.2650405764579773, 0.0]]"
5700,"[[576.0, 62.0, 590.0, 93.0, 0.2546747028827667, 0.0]]"
