frame,number of objects
100,"[[205.0, 257.0, 231.0, 294.0, 0.7677960991859436, 0.0], [457.0, 317.0, 481.0, 354.0, 0.6250605583190918, 0.0], [985.0, 248.0, 1001.0, 291.0, 0.49317166209220886, 0.0], [531.0, 184.0, 544.0, 216.0, 0.3811953365802765, 0.0], [1092.0, 295.0, 1114.0, 357.0, 0.36251527070999146, 0.0], [845.0, 199.0, 866.0, 245.0, 0.3521246314048767, 0.0], [1000.0, 194.0, 1014.0, 226.0, 0.2976859211921692, 0.0]]"
200,"[[1049.0, 243.0, 1075.0, 299.0, 0.7536822557449341, 0.0], [851.0, 174.0, 870.0, 217.0, 0.5970362424850464, 0.0], [766.0, 360.0, 799.0, 405.0, 0.5393232107162476, 0.0], [618.0, 260.0, 648.0, 302.0, 0.5225210189819336, 0.0], [1040.0, 220.0, 1058.0, 261.0, 0.44011515378952026, 0.0], [755.0, 611.0, 781.0, 629.0, 0.3795921206474304, 0.0], [1016.0, 168.0, 1038.0, 202.0, 0.30150434374809265, 0.0]]"
300,"[[1019.0, 162.0, 1038.0, 203.0, 0.6683003306388855, 0.0], [683.0, 287.0, 711.0, 332.0, 0.6506367921829224, 0.0], [1066.0, 230.0, 1088.0, 280.0, 0.6291131973266602, 0.0], [612.0, 124.0, 624.0, 149.0, 0.6115802526473999, 0.0], [723.0, 385.0, 763.0, 439.0, 0.6028818488121033, 0.0], [106.0, 257.0, 138.0, 312.0, 0.5950487852096558, 0.0], [116.0, 338.0, 145.0, 385.0, 0.40748000144958496, 0.0], [395.0, 155.0, 410.0, 185.0, 0.35241687297821045, 0.0], [868.0, 154.0, 882.0, 180.0, 0.31138208508491516, 0.0], [981.0, 154.0, 1006.0, 181.0, 0.26314422488212585, 0.0]]"
400,"[[765.0, 134.0, 778.0, 163.0, 0.7056494951248169, 0.0], [777.0, 337.0, 817.0, 401.0, 0.6362800598144531, 0.0], [357.0, 158.0, 373.0, 192.0, 0.5263088345527649, 0.0], [341.0, 144.0, 354.0, 171.0, 0.45947521924972534, 0.0], [733.0, 108.0, 741.0, 132.0, 0.36180710792541504, 0.0]]"
500,"[[687.0, 317.0, 724.0, 386.0, 0.7071470618247986, 0.0], [588.0, 173.0, 608.0, 212.0, 0.4020891487598419, 0.0], [186.0, 189.0, 208.0, 226.0, 0.3660435676574707, 0.0], [997.0, 155.0, 1013.0, 190.0, 0.3389505445957184, 0.0], [198.0, 157.0, 219.0, 193.0, 0.33333638310432434, 0.0]]"
600,"[[653.0, 324.0, 689.0, 391.0, 0.7044243216514587, 0.0], [653.0, 524.0, 718.0, 621.0, 0.6317874789237976, 0.0], [740.0, 108.0, 752.0, 140.0, 0.5202656984329224, 0.0], [74.0, 199.0, 107.0, 232.0, 0.43878066539764404, 0.0], [566.0, 115.0, 579.0, 144.0, 0.3680461049079895, 0.0], [901.0, 151.0, 919.0, 178.0, 0.32640981674194336, 0.0], [658.0, 514.0, 693.0, 568.0, 0.31250396370887756, 0.0], [1007.0, 144.0, 1019.0, 182.0, 0.27064576745033264, 0.0]]"
700,"[[303.0, 114.0, 318.0, 148.0, 0.6721978783607483, 0.0], [732.0, 125.0, 750.0, 166.0, 0.5899031758308411, 0.0], [597.0, 185.0, 619.0, 213.0, 0.5449098348617554, 0.0], [789.0, 108.0, 802.0, 145.0, 0.5224454998970032, 0.0], [842.0, 125.0, 862.0, 168.0, 0.37944909930229187, 0.0], [595.0, 118.0, 612.0, 152.0, 0.3761304020881653, 0.0], [760.0, 94.0, 771.0, 122.0, 0.37326472997665405, 0.0], [909.0, 124.0, 923.0, 151.0, 0.29331597685813904, 0.0]]"
800,"[[847.0, 281.0, 884.0, 340.0, 0.593919575214386, 0.0], [217.0, 118.0, 236.0, 148.0, 0.486701637506485, 0.0], [638.0, 234.0, 663.0, 264.0, 0.4315933585166931, 0.0], [792.0, 115.0, 807.0, 160.0, 0.383857399225235, 0.0], [1023.0, 116.0, 1035.0, 150.0, 0.3214361369609833, 0.0], [843.0, 127.0, 867.0, 171.0, 0.3144278824329376, 0.0], [803.0, 120.0, 816.0, 160.0, 0.2895439863204956, 0.0], [637.0, 238.0, 663.0, 289.0, 0.2888845205307007, 0.0], [636.0, 136.0, 655.0, 165.0, 0.2779296934604645, 0.0]]"
900,"[[223.0, 118.0, 240.0, 152.0, 0.693497896194458, 0.0], [667.0, 442.0, 725.0, 520.0, 0.5811755657196045, 0.0], [842.0, 128.0, 857.0, 166.0, 0.5730940699577332, 0.0], [856.0, 125.0, 872.0, 164.0, 0.5510380268096924, 0.0], [661.0, 339.0, 704.0, 401.0, 0.5202040076255798, 0.0], [219.0, 158.0, 239.0, 195.0, 0.49982360005378723, 0.0], [359.0, 69.0, 372.0, 92.0, 0.3856424391269684, 0.0], [245.0, 136.0, 264.0, 171.0, 0.3592509329319, 0.0], [751.0, 116.0, 776.0, 155.0, 0.30208101868629456, 0.0], [663.0, 332.0, 701.0, 373.0, 0.2826872766017914, 0.0], [798.0, 98.0, 809.0, 128.0, 0.2747075855731964, 0.0], [656.0, 352.0, 704.0, 445.0, 0.25163590908050537, 0.0]]"
1000,"[[68.0, 361.0, 116.0, 422.0, 0.6278699040412903, 0.0], [347.0, 62.0, 358.0, 86.0, 0.6000494956970215, 0.0], [584.0, 164.0, 603.0, 199.0, 0.5623487234115601, 0.0], [871.0, 160.0, 893.0, 210.0, 0.5067793726921082, 0.0], [854.0, 157.0, 874.0, 204.0, 0.48357027769088745, 0.0], [373.0, 61.0, 386.0, 87.0, 0.3951641619205475, 0.0], [1029.0, 102.0, 1052.0, 135.0, 0.32748669385910034, 0.0], [1006.0, 100.0, 1021.0, 125.0, 0.3260246217250824, 0.0], [117.0, 86.0, 126.0, 108.0, 0.32569044828414917, 0.0], [1064.0, 110.0, 1085.0, 148.0, 0.30934590101242065, 0.0]]"
1100,"[[926.0, 125.0, 955.0, 182.0, 0.4408412277698517, 0.0], [92.0, 78.0, 102.0, 105.0, 0.3544326424598694, 0.0], [1073.0, 98.0, 1090.0, 134.0, 0.3000354468822479, 0.0]]"
1200,"[[989.0, 155.0, 1014.0, 203.0, 0.721997857093811, 0.0], [904.0, 91.0, 919.0, 128.0, 0.5045889616012573, 0.0], [871.0, 88.0, 889.0, 119.0, 0.2643042802810669, 0.0]]"
