frame,number of objects
100,"[[148.0, 184.0, 165.0, 210.0, 0.7014526724815369, 0.0], [326.0, 225.0, 347.0, 265.0, 0.5354235768318176, 0.0], [723.0, 137.0, 738.0, 171.0, 0.44062381982803345, 0.0], [703.0, 177.0, 715.0, 203.0, 0.34795311093330383, 0.0], [379.0, 134.0, 388.0, 155.0, 0.29520368576049805, 0.0]]"
200,"[[750.0, 174.0, 767.0, 213.0, 0.7214474081993103, 0.0], [441.0, 186.0, 463.0, 215.0, 0.696296215057373, 0.0], [607.0, 122.0, 621.0, 155.0, 0.622364342212677, 0.0], [547.0, 258.0, 569.0, 293.0, 0.4453112483024597, 0.0], [539.0, 436.0, 558.0, 450.0, 0.2920116186141968, 0.0]]"
300,"[[488.0, 204.0, 507.0, 240.0, 0.6121585369110107, 0.0], [516.0, 274.0, 546.0, 321.0, 0.5852158665657043, 0.0], [75.0, 185.0, 99.0, 226.0, 0.5442469716072083, 0.0], [283.0, 111.0, 293.0, 134.0, 0.41410860419273376, 0.0], [81.0, 246.0, 116.0, 294.0, 0.3614981770515442, 0.0], [730.0, 115.0, 742.0, 140.0, 0.32417032122612, 0.0], [437.0, 89.0, 445.0, 107.0, 0.2903081476688385, 0.0], [82.0, 241.0, 105.0, 280.0, 0.2649857997894287, 0.0], [619.0, 110.0, 630.0, 127.0, 0.26492074131965637, 0.0], [763.0, 162.0, 776.0, 200.0, 0.2637196183204651, 0.0]]"
400,"[[547.0, 94.0, 556.0, 115.0, 0.48339200019836426, 0.0], [255.0, 114.0, 266.0, 138.0, 0.47946658730506897, 0.0], [556.0, 240.0, 584.0, 288.0, 0.45649370551109314, 0.0], [789.0, 183.0, 800.0, 219.0, 0.3426971733570099, 0.0], [728.0, 113.0, 742.0, 138.0, 0.2856750190258026, 0.0]]"
500,"[[492.0, 228.0, 518.0, 280.0, 0.6573387384414673, 0.0], [141.0, 113.0, 156.0, 138.0, 0.45137232542037964, 0.0], [419.0, 125.0, 435.0, 151.0, 0.3034215569496155, 0.0]]"
600,"[[469.0, 375.0, 514.0, 448.0, 0.7381607890129089, 0.0], [468.0, 232.0, 491.0, 272.0, 0.5909403562545776, 0.0], [529.0, 79.0, 537.0, 100.0, 0.45738813281059265, 0.0], [471.0, 365.0, 501.0, 417.0, 0.28992578387260437, 0.0]]"
700,"[[216.0, 81.0, 227.0, 105.0, 0.5832622647285461, 0.0], [424.0, 131.0, 441.0, 166.0, 0.4826522171497345, 0.0], [522.0, 90.0, 537.0, 117.0, 0.43765443563461304, 0.0], [650.0, 88.0, 662.0, 105.0, 0.26340240240097046, 0.0]]"
800,"[[604.0, 201.0, 633.0, 252.0, 0.6446027755737305, 0.0], [455.0, 96.0, 468.0, 118.0, 0.4155173599720001, 0.0], [454.0, 168.0, 473.0, 209.0, 0.3701326549053192, 0.0], [155.0, 84.0, 167.0, 105.0, 0.25910481810569763, 0.0]]"
900,"[[478.0, 314.0, 519.0, 367.0, 0.5908215045928955, 0.0], [473.0, 239.0, 502.0, 272.0, 0.549918532371521, 0.0], [159.0, 84.0, 172.0, 109.0, 0.5397670269012451, 0.0], [156.0, 114.0, 174.0, 143.0, 0.4882260859012604, 0.0], [601.0, 91.0, 613.0, 119.0, 0.39548584818840027, 0.0], [173.0, 98.0, 189.0, 123.0, 0.36796078085899353, 0.0], [611.0, 89.0, 625.0, 118.0, 0.341352254152298, 0.0], [257.0, 48.0, 265.0, 64.0, 0.32561632990837097, 0.0]]"
1000,"[[49.0, 257.0, 84.0, 301.0, 0.5712825655937195, 0.0], [248.0, 44.0, 256.0, 63.0, 0.5190728902816772, 0.0], [608.0, 111.0, 633.0, 149.0, 0.3889087736606598, 0.0], [619.0, 114.0, 638.0, 152.0, 0.37815988063812256, 0.0], [734.0, 73.0, 752.0, 97.0, 0.2771388292312622, 0.0]]"
