frame,number of objects
1800,"[[140.0, 11.0, 213.0, 208.0, 0.9267051219940186, 0.0], [482.0, 157.0, 640.0, 314.0, 0.914315402507782, 0.0], [489.0, 0.0, 640.0, 235.0, 0.9141179323196411, 0.0], [327.0, 160.0, 504.0, 358.0, 0.801541268825531, 0.0], [0.0, 75.0, 33.0, 123.0, 0.7047492861747742, 0.0], [73.0, 74.0, 111.0, 116.0, 0.7017854452133179, 0.0], [242.0, 69.0, 295.0, 215.0, 0.6621954441070557, 0.0], [288.0, 80.0, 329.0, 114.0, 0.6088091731071472, 0.0], [355.0, 89.0, 421.0, 152.0, 0.606981635093689, 0.0], [28.0, 76.0, 105.0, 200.0, 0.5820026397705078, 0.0], [212.0, 75.0, 255.0, 115.0, 0.4625338017940521, 0.0], [312.0, 77.0, 367.0, 189.0, 0.3865104913711548, 0.0], [295.0, 73.0, 358.0, 125.0, 0.32975220680236816, 0.0]]"
1900,"[[137.0, 101.0, 224.0, 182.0, 0.772978663444519, 0.0], [0.0, 180.0, 112.0, 327.0, 0.770872950553894, 0.0], [240.0, 168.0, 372.0, 255.0, 0.7317944765090942, 0.0], [212.0, 81.0, 250.0, 131.0, 0.6415937542915344, 0.0], [55.0, 115.0, 112.0, 177.0, 0.5571986436843872, 0.0], [250.0, 90.0, 279.0, 151.0, 0.5491452813148499, 0.0], [153.0, 83.0, 195.0, 144.0, 0.4696101248264313, 0.0], [252.0, 4.0, 364.0, 232.0, 0.35573455691337585, 0.0], [2.0, 121.0, 88.0, 196.0, 0.3208993971347809, 0.0], [96.0, 184.0, 206.0, 267.0, 0.26341763138771057, 0.0], [0.0, 126.0, 27.0, 163.0, 0.25644177198410034, 0.0]]"
2000,"[[0.0, 157.0, 149.0, 358.0, 0.8323574066162109, 0.0], [234.0, 123.0, 420.0, 358.0, 0.7799278497695923, 0.0], [1.0, 4.0, 118.0, 107.0, 0.6703171730041504, 0.0], [237.0, 44.0, 340.0, 128.0, 0.5389488935470581, 0.0], [623.0, 25.0, 640.0, 183.0, 0.5051855444908142, 0.0], [69.0, 46.0, 172.0, 164.0, 0.43950125575065613, 0.0], [67.0, 46.0, 210.0, 343.0, 0.3255857229232788, 0.0], [236.0, 41.0, 333.0, 243.0, 0.28425464034080505, 0.0]]"
2100,"[[589.0, 30.0, 640.0, 352.0, 0.871756374835968, 0.0], [315.0, 178.0, 440.0, 346.0, 0.8178800344467163, 0.0], [318.0, 128.0, 375.0, 176.0, 0.783132016658783, 0.0], [133.0, 106.0, 181.0, 147.0, 0.673213541507721, 0.0], [90.0, 106.0, 169.0, 250.0, 0.6514903903007507, 0.0], [169.0, 122.0, 321.0, 360.0, 0.6211018562316895, 0.0], [164.0, 107.0, 234.0, 219.0, 0.5766723155975342, 0.0], [218.0, 122.0, 277.0, 190.0, 0.5555692911148071, 0.0], [56.0, 103.0, 101.0, 233.0, 0.4850102663040161, 0.0]]"
2200,"[[393.0, 129.0, 446.0, 177.0, 0.8231713175773621, 0.0], [246.0, 189.0, 357.0, 358.0, 0.8150634169578552, 0.0], [408.0, 176.0, 546.0, 343.0, 0.80650794506073, 0.0], [179.0, 108.0, 255.0, 250.0, 0.7845138907432556, 0.0], [220.0, 106.0, 263.0, 144.0, 0.741170346736908, 0.0], [144.0, 104.0, 192.0, 221.0, 0.5954978466033936, 0.0], [0.0, 108.0, 43.0, 238.0, 0.5852908492088318, 0.0], [248.0, 107.0, 306.0, 237.0, 0.5646995306015015, 0.0], [247.0, 106.0, 308.0, 167.0, 0.5344483256340027, 0.0], [292.0, 123.0, 365.0, 189.0, 0.4820241332054138, 0.0], [277.0, 124.0, 372.0, 264.0, 0.33629822731018066, 0.0], [152.0, 103.0, 192.0, 149.0, 0.2970414459705353, 0.0], [6.0, 109.0, 41.0, 153.0, 0.28285300731658936, 0.0]]"
2300,"[[472.0, 168.0, 596.0, 333.0, 0.8428046703338623, 0.0], [358.0, 110.0, 407.0, 168.0, 0.8230569958686829, 0.0], [457.0, 112.0, 514.0, 164.0, 0.8183145523071289, 0.0], [296.0, 169.0, 494.0, 347.0, 0.79026859998703, 0.0], [280.0, 91.0, 322.0, 129.0, 0.7330304980278015, 0.0], [238.0, 90.0, 315.0, 223.0, 0.7127216458320618, 0.0], [67.0, 93.0, 106.0, 135.0, 0.6135537624359131, 0.0], [304.0, 94.0, 370.0, 149.0, 0.5133819580078125, 0.0], [207.0, 89.0, 251.0, 212.0, 0.507378876209259, 0.0], [23.0, 99.0, 85.0, 169.0, 0.4644624590873718, 0.0], [0.0, 91.0, 27.0, 142.0, 0.4226044714450836, 0.0], [323.0, 113.0, 404.0, 189.0, 0.31329840421676636, 0.0]]"
2400,"[[483.0, 169.0, 600.0, 332.0, 0.8488675951957703, 0.0], [466.0, 113.0, 526.0, 164.0, 0.8038483262062073, 0.0], [248.0, 90.0, 323.0, 231.0, 0.7966965436935425, 0.0], [32.0, 26.0, 96.0, 263.0, 0.7305232286453247, 0.0], [289.0, 92.0, 331.0, 129.0, 0.7080660462379456, 0.0], [367.0, 109.0, 417.0, 170.0, 0.6489658951759338, 0.0], [313.0, 94.0, 377.0, 176.0, 0.6303624510765076, 0.0], [301.0, 165.0, 431.0, 349.0, 0.6202977895736694, 0.0], [83.0, 92.0, 116.0, 136.0, 0.46871471405029297, 0.0], [0.0, 91.0, 38.0, 164.0, 0.4288381040096283, 0.0], [220.0, 88.0, 257.0, 132.0, 0.41967952251434326, 0.0], [218.0, 88.0, 260.0, 181.0, 0.37246811389923096, 0.0]]"
2500,"[[484.0, 168.0, 600.0, 334.0, 0.8313416242599487, 0.0], [467.0, 113.0, 525.0, 165.0, 0.8100199699401855, 0.0], [303.0, 163.0, 455.0, 350.0, 0.8020761609077454, 0.0], [370.0, 111.0, 424.0, 170.0, 0.7566503286361694, 0.0], [250.0, 96.0, 323.0, 234.0, 0.7527453899383545, 0.0], [289.0, 92.0, 332.0, 129.0, 0.6866669058799744, 0.0], [79.0, 93.0, 117.0, 136.0, 0.5402653813362122, 0.0], [316.0, 92.0, 376.0, 153.0, 0.5125320553779602, 0.0], [0.0, 86.0, 66.0, 194.0, 0.4909457862377167, 0.0], [0.0, 93.0, 27.0, 134.0, 0.4590663015842438, 0.0], [220.0, 90.0, 262.0, 132.0, 0.4550305902957916, 0.0], [38.0, 99.0, 101.0, 162.0, 0.4235481023788452, 0.0], [218.0, 88.0, 262.0, 186.0, 0.3826512098312378, 0.0], [1.0, 90.0, 57.0, 310.0, 0.2556777596473694, 0.0]]"
2600,"[[285.0, 173.0, 444.0, 350.0, 0.8714451789855957, 0.0], [438.0, 109.0, 490.0, 164.0, 0.8311893343925476, 0.0], [451.0, 169.0, 569.0, 332.0, 0.8242074251174927, 0.0], [222.0, 96.0, 294.0, 236.0, 0.7734257578849792, 0.0], [263.0, 93.0, 305.0, 130.0, 0.7593334317207336, 0.0], [340.0, 115.0, 388.0, 170.0, 0.7376661896705627, 0.0], [189.0, 90.0, 238.0, 214.0, 0.6695955991744995, 0.0], [47.0, 95.0, 87.0, 138.0, 0.6159279942512512, 0.0], [1.0, 97.0, 65.0, 218.0, 0.532761812210083, 0.0], [288.0, 87.0, 348.0, 175.0, 0.4735010266304016, 0.0], [3.0, 99.0, 80.0, 160.0, 0.350348562002182, 0.0], [190.0, 91.0, 239.0, 134.0, 0.29684382677078247, 0.0]]"
2700,"[[260.0, 167.0, 419.0, 350.0, 0.8449311852455139, 0.0], [432.0, 166.0, 554.0, 331.0, 0.8318053483963013, 0.0], [423.0, 110.0, 473.0, 164.0, 0.8118029832839966, 0.0], [321.0, 111.0, 372.0, 171.0, 0.7811641693115234, 0.0], [244.0, 93.0, 287.0, 130.0, 0.7537211179733276, 0.0], [203.0, 97.0, 278.0, 238.0, 0.7292091250419617, 0.0], [28.0, 97.0, 68.0, 141.0, 0.6136943101882935, 0.0], [270.0, 93.0, 333.0, 180.0, 0.5517067313194275, 0.0], [0.0, 102.0, 42.0, 160.0, 0.5324322581291199, 0.0], [171.0, 91.0, 218.0, 195.0, 0.4844260513782501, 0.0], [172.0, 91.0, 219.0, 134.0, 0.44692590832710266, 0.0], [607.0, 109.0, 640.0, 162.0, 0.41337350010871887, 0.0], [1.0, 99.0, 55.0, 215.0, 0.39921849966049194, 0.0], [244.0, 94.0, 325.0, 146.0, 0.31177404522895813, 0.0]]"
