frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[395.0, 95.0, 905.0, 706.0, 0.7109516263008118, 0.0], [820.0, 117.0, 1458.0, 702.0, 0.4505508244037628, 0.0]]"
600,"[[402.0, 93.0, 883.0, 698.0, 0.7814061045646667, 0.0], [898.0, 113.0, 1525.0, 756.0, 0.6112121939659119, 0.0]]"
700,"[[860.0, 116.0, 1472.0, 706.0, 0.7416595220565796, 0.0], [365.0, 89.0, 861.0, 707.0, 0.7176099419593811, 0.0]]"
800,"[[465.0, 99.0, 972.0, 698.0, 0.7563796639442444, 0.0], [1021.0, 117.0, 1628.0, 758.0, 0.5505824685096741, 0.0]]"
900,"[[1316.0, 195.0, 1721.0, 703.0, 0.872508704662323, 0.0], [375.0, 439.0, 548.0, 616.0, 0.858862042427063, 0.0], [634.0, 459.0, 784.0, 588.0, 0.8583413362503052, 0.0], [156.0, 401.0, 370.0, 716.0, 0.6727213263511658, 0.0], [131.0, 398.0, 242.0, 518.0, 0.6367432475090027, 0.0], [1.0, 429.0, 33.0, 503.0, 0.44029125571250916, 0.0], [100.0, 380.0, 253.0, 708.0, 0.3707073926925659, 0.0], [1490.0, 922.0, 1657.0, 990.0, 0.3299805223941803, 0.0], [175.0, 908.0, 354.0, 990.0, 0.29867681860923767, 0.0]]"
1000,"[[531.0, 299.0, 653.0, 431.0, 0.8150022625923157, 0.0], [1397.0, 369.0, 1716.0, 975.0, 0.7922082543373108, 0.0], [253.0, 291.0, 417.0, 469.0, 0.7513609528541565, 0.0], [1382.0, 0.0, 1728.0, 673.0, 0.708279550075531, 0.0], [1.0, 251.0, 108.0, 368.0, 0.6298072338104248, 0.0], [695.0, 66.0, 1132.0, 732.0, 0.6193002462387085, 0.0], [6.0, 235.0, 242.0, 571.0, 0.5768925547599792, 0.0], [145.0, 590.0, 658.0, 983.0, 0.5005351901054382, 0.0], [195.0, 286.0, 419.0, 628.0, 0.4680033028125763, 0.0], [521.0, 435.0, 836.0, 867.0, 0.2653236985206604, 0.0]]"
1100,"[[163.0, 289.0, 362.0, 491.0, 0.8342348337173462, 0.0], [405.0, 302.0, 563.0, 450.0, 0.7711321711540222, 0.0], [20.0, 534.0, 441.0, 984.0, 0.7180029153823853, 0.0], [0.0, 268.0, 126.0, 468.0, 0.6963996291160583, 0.0], [934.0, 31.0, 1128.0, 686.0, 0.680837094783783, 0.0], [1213.0, 174.0, 1568.0, 830.0, 0.6499724388122559, 0.0], [405.0, 436.0, 765.0, 956.0, 0.5894324779510498, 0.0]]"
