frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[349.0, 90.0, 821.0, 639.0, 0.7112710475921631, 0.0], [845.0, 109.0, 1382.0, 654.0, 0.43937069177627563, 0.0]]"
600,"[[359.0, 83.0, 799.0, 632.0, 0.7768815159797668, 0.0], [821.0, 98.0, 1394.0, 745.0, 0.5176511406898499, 0.0]]"
700,"[[321.0, 85.0, 791.0, 638.0, 0.7766764163970947, 0.0], [778.0, 107.0, 1346.0, 650.0, 0.4891048073768616, 0.0]]"
800,"[[428.0, 89.0, 886.0, 634.0, 0.8577007055282593, 0.0], [918.0, 99.0, 1485.0, 748.0, 0.6005138754844666, 0.0]]"
900,"[[571.0, 417.0, 713.0, 535.0, 0.8721970319747925, 0.0], [331.0, 402.0, 498.0, 560.0, 0.8490923643112183, 0.0], [1205.0, 169.0, 1565.0, 635.0, 0.8004496693611145, 0.0], [121.0, 365.0, 339.0, 651.0, 0.6433840394020081, 0.0], [118.0, 363.0, 220.0, 470.0, 0.5808940529823303, 0.0], [0.0, 388.0, 29.0, 457.0, 0.37884438037872314, 0.0], [0.0, 442.0, 124.0, 635.0, 0.30463507771492004, 0.0], [87.0, 356.0, 225.0, 630.0, 0.30071353912353516, 0.0], [1360.0, 836.0, 1510.0, 897.0, 0.28503817319869995, 0.0]]"
1000,"[[473.0, 270.0, 594.0, 394.0, 0.7853235602378845, 0.0], [1258.0, 0.0, 1571.0, 660.0, 0.6810271143913269, 0.0], [229.0, 261.0, 380.0, 430.0, 0.6644338965415955, 0.0], [647.0, 58.0, 1030.0, 699.0, 0.6508843898773193, 0.0], [1.0, 229.0, 100.0, 336.0, 0.5538489818572998, 0.0], [137.0, 537.0, 597.0, 895.0, 0.47803109884262085, 0.0], [84.0, 215.0, 220.0, 388.0, 0.45492297410964966, 0.0], [1270.0, 326.0, 1559.0, 883.0, 0.4517984390258789, 0.0], [15.0, 219.0, 221.0, 491.0, 0.41134631633758545, 0.0], [467.0, 399.0, 767.0, 807.0, 0.41101035475730896, 0.0], [181.0, 259.0, 383.0, 570.0, 0.4104769229888916, 0.0]]"
1100,"[[24.0, 492.0, 392.0, 896.0, 0.8159946203231812, 0.0], [147.0, 263.0, 329.0, 445.0, 0.8151765465736389, 0.0], [371.0, 276.0, 508.0, 409.0, 0.7829960584640503, 0.0], [833.0, 0.0, 1042.0, 694.0, 0.6909198760986328, 0.0], [1124.0, 0.0, 1415.0, 636.0, 0.6875201463699341, 0.0], [0.0, 243.0, 116.0, 426.0, 0.6587195992469788, 0.0], [1106.0, 244.0, 1426.0, 886.0, 0.6477302312850952, 0.0], [371.0, 396.0, 694.0, 861.0, 0.6258796453475952, 0.0]]"
