frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[510.0, 69.0, 844.0, 385.0, 0.9211590886116028, 0.0], [98.0, 55.0, 495.0, 384.0, 0.8453326225280762, 0.0]]"
600,"[[208.0, 55.0, 479.0, 383.0, 0.8545258045196533, 0.0], [488.0, 55.0, 816.0, 540.0, 0.7588817477226257, 0.0]]"
700,"[[481.0, 69.0, 799.0, 386.0, 0.8973239660263062, 0.0], [194.0, 52.0, 468.0, 384.0, 0.8550259470939636, 0.0]]"
800,"[[259.0, 51.0, 528.0, 384.0, 0.9050126075744629, 0.0], [546.0, 61.0, 871.0, 540.0, 0.7959495782852173, 0.0]]"
900,"[[726.0, 102.0, 941.0, 385.0, 0.8806308507919312, 0.0], [343.0, 250.0, 426.0, 320.0, 0.8093252778053284, 0.0], [203.0, 242.0, 297.0, 337.0, 0.8023660778999329, 0.0], [72.0, 216.0, 132.0, 283.0, 0.7447844743728638, 0.0], [78.0, 220.0, 205.0, 390.0, 0.7121904492378235, 0.0], [334.0, 325.0, 532.0, 540.0, 0.6960786581039429, 0.0], [0.0, 264.0, 71.0, 377.0, 0.627742350101471, 0.0], [61.0, 394.0, 239.0, 540.0, 0.5464460253715515, 0.0], [0.0, 232.0, 18.0, 298.0, 0.4460325241088867, 0.0], [818.0, 504.0, 905.0, 540.0, 0.328196257352829, 0.0]]"
1000,"[[731.0, 8.0, 943.0, 526.0, 0.9308708310127258, 0.0], [377.0, 46.0, 623.0, 432.0, 0.9192174673080444, 0.0], [83.0, 321.0, 361.0, 538.0, 0.8769006729125977, 0.0], [269.0, 163.0, 358.0, 238.0, 0.8397106528282166, 0.0], [278.0, 242.0, 457.0, 477.0, 0.7394816875457764, 0.0], [19.0, 129.0, 134.0, 312.0, 0.6831772327423096, 0.0], [0.0, 137.0, 61.0, 203.0, 0.6342095136642456, 0.0], [130.0, 160.0, 228.0, 356.0, 0.5163537859916687, 0.0], [0.0, 135.0, 64.0, 303.0, 0.28339964151382446, 0.0]]"
1100,"[[663.0, 17.0, 852.0, 529.0, 0.9472681283950806, 0.0], [519.0, 19.0, 609.0, 442.0, 0.8658178448677063, 0.0], [219.0, 240.0, 425.0, 501.0, 0.8502036929130554, 0.0], [222.0, 166.0, 307.0, 245.0, 0.8324671983718872, 0.0], [86.0, 157.0, 198.0, 267.0, 0.7995708584785461, 0.0], [14.0, 294.0, 242.0, 538.0, 0.7356163859367371, 0.0], [0.0, 145.0, 72.0, 259.0, 0.6734578609466553, 0.0]]"
1200,"[[0.0, 293.0, 223.0, 540.0, 0.8732007145881653, 0.0], [217.0, 219.0, 429.0, 494.0, 0.8600630760192871, 0.0], [49.0, 159.0, 168.0, 270.0, 0.855004608631134, 0.0], [189.0, 160.0, 266.0, 245.0, 0.8373658657073975, 0.0], [244.0, 25.0, 422.0, 362.0, 0.756963849067688, 0.0], [0.0, 150.0, 38.0, 219.0, 0.5328528881072998, 0.0]]"
