frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[676.0, 96.0, 1134.0, 516.0, 0.8256691694259644, 0.0], [95.0, 80.0, 677.0, 511.0, 0.7215371131896973, 0.0]]"
600,"[[271.0, 77.0, 638.0, 502.0, 0.9200589656829834, 0.0], [643.0, 84.0, 1107.0, 720.0, 0.6827471852302551, 0.0]]"
700,"[[252.0, 78.0, 621.0, 507.0, 0.9019590020179749, 0.0], [624.0, 92.0, 1073.0, 520.0, 0.7750569581985474, 0.0]]"
800,"[[337.0, 76.0, 709.0, 504.0, 0.9313631057739258, 0.0], [707.0, 81.0, 1183.0, 714.0, 0.7742434740066528, 0.0]]"
900,"[[964.0, 128.0, 1253.0, 517.0, 0.9355652332305908, 0.0], [457.0, 334.0, 570.0, 427.0, 0.8527790307998657, 0.0], [263.0, 319.0, 397.0, 449.0, 0.8499416708946228, 0.0], [93.0, 291.0, 276.0, 521.0, 0.7218981385231018, 0.0], [95.0, 290.0, 174.0, 380.0, 0.6733889579772949, 0.0], [0.0, 352.0, 100.0, 504.0, 0.5411362648010254, 0.0], [493.0, 433.0, 688.0, 714.0, 0.48436832427978516, 0.0], [0.0, 312.0, 24.0, 367.0, 0.4034270942211151, 0.0]]"
1000,"[[362.0, 218.0, 475.0, 316.0, 0.8318732976913452, 0.0], [104.0, 424.0, 482.0, 719.0, 0.820297360420227, 0.0], [967.0, 2.0, 1259.0, 646.0, 0.8083950877189636, 0.0], [0.0, 182.0, 80.0, 265.0, 0.6532763838768005, 0.0], [372.0, 317.0, 618.0, 642.0, 0.5921501517295837, 0.0], [503.0, 51.0, 826.0, 587.0, 0.5834019780158997, 0.0], [35.0, 174.0, 177.0, 421.0, 0.5060244202613831, 0.0], [159.0, 209.0, 304.0, 449.0, 0.4121360778808594, 0.0]]"
1100,"[[15.0, 387.0, 322.0, 718.0, 0.853539764881134, 0.0], [296.0, 316.0, 559.0, 680.0, 0.8008431792259216, 0.0], [116.0, 211.0, 266.0, 360.0, 0.7968592047691345, 0.0], [875.0, 0.0, 1139.0, 658.0, 0.7832173705101013, 0.0], [297.0, 223.0, 409.0, 328.0, 0.773371696472168, 0.0], [677.0, 27.0, 814.0, 602.0, 0.7619224786758423, 0.0], [0.0, 195.0, 98.0, 341.0, 0.5933126211166382, 0.0]]"
1200,"[[2.0, 385.0, 291.0, 720.0, 0.9195467829704285, 0.0], [67.0, 214.0, 224.0, 359.0, 0.8919343948364258, 0.0], [251.0, 216.0, 360.0, 329.0, 0.8689402341842651, 0.0], [289.0, 292.0, 563.0, 673.0, 0.7527173757553101, 0.0], [332.0, 39.0, 559.0, 472.0, 0.6404279470443726, 0.0], [0.0, 199.0, 60.0, 293.0, 0.4991140067577362, 0.0], [422.0, 44.0, 510.0, 172.0, 0.4088635742664337, 0.0]]"
