frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[171.0, 21.0, 283.0, 128.0, 0.9222581386566162, 0.0], [29.0, 17.0, 165.0, 136.0, 0.8764874339103699, 0.0]]"
600,"[[67.0, 17.0, 161.0, 130.0, 0.8284610509872437, 0.0], [165.0, 21.0, 272.0, 167.0, 0.764689564704895, 0.0]]"
700,"[[160.0, 22.0, 265.0, 126.0, 0.9105805158615112, 0.0], [59.0, 17.0, 157.0, 131.0, 0.8239993453025818, 0.0]]"
800,"[[85.0, 18.0, 178.0, 129.0, 0.8962451219558716, 0.0], [183.0, 21.0, 293.0, 144.0, 0.8262882232666016, 0.0]]"
900,"[[245.0, 32.0, 317.0, 180.0, 0.7388182282447815, 0.0], [114.0, 83.0, 141.0, 108.0, 0.6303205490112305, 0.0], [66.0, 79.0, 99.0, 113.0, 0.5748156309127808, 0.0], [23.0, 72.0, 43.0, 97.0, 0.5458022952079773, 0.0], [26.0, 72.0, 69.0, 129.0, 0.5351831912994385, 0.0], [0.0, 87.0, 25.0, 129.0, 0.5285283327102661, 0.0]]"
1000,"[[244.0, 0.0, 314.0, 175.0, 0.913953423500061, 0.0], [131.0, 15.0, 212.0, 146.0, 0.8915939331054688, 0.0], [26.0, 107.0, 120.0, 180.0, 0.8834320902824402, 0.0], [90.0, 78.0, 172.0, 158.0, 0.7041304707527161, 0.0], [44.0, 53.0, 75.0, 84.0, 0.5963722467422485, 0.0], [16.0, 39.0, 44.0, 100.0, 0.4059622883796692, 0.0]]"
1100,"[[220.0, 5.0, 287.0, 170.0, 0.8820429444313049, 0.0], [169.0, 5.0, 203.0, 148.0, 0.8617587089538574, 0.0], [74.0, 80.0, 141.0, 169.0, 0.8232046365737915, 0.0], [5.0, 97.0, 81.0, 180.0, 0.7652198672294617, 0.0], [28.0, 52.0, 61.0, 87.0, 0.6631225347518921, 0.0], [73.0, 54.0, 103.0, 82.0, 0.610146701335907, 0.0], [0.0, 49.0, 29.0, 94.0, 0.5942093133926392, 0.0]]"
1200,"[[73.0, 71.0, 143.0, 168.0, 0.8397284150123596, 0.0], [82.0, 6.0, 141.0, 124.0, 0.788678765296936, 0.0], [0.0, 98.0, 73.0, 180.0, 0.7824185490608215, 0.0], [14.0, 53.0, 51.0, 86.0, 0.6771738529205322, 0.0], [62.0, 54.0, 90.0, 82.0, 0.603765606880188, 0.0]]"
1300,"[[189.0, 8.0, 243.0, 167.0, 0.9108778834342957, 0.0], [72.0, 76.0, 138.0, 171.0, 0.7668262720108032, 0.0], [0.0, 11.0, 26.0, 78.0, 0.7616381645202637, 0.0], [0.0, 87.0, 56.0, 180.0, 0.7129989266395569, 0.0], [12.0, 55.0, 47.0, 88.0, 0.6132645606994629, 0.0], [62.0, 55.0, 88.0, 82.0, 0.5340652465820312, 0.0], [1.0, 87.0, 24.0, 178.0, 0.3288508951663971, 0.0], [5.0, 54.0, 47.0, 144.0, 0.28375813364982605, 0.0]]"
