frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[302.0, 86.0, 740.0, 580.0, 0.614700973033905, 0.0], [727.0, 95.0, 1294.0, 579.0, 0.5515388250350952, 0.0]]"
600,"[[316.0, 81.0, 720.0, 571.0, 0.8503945469856262, 0.0], [722.0, 94.0, 1239.0, 755.0, 0.470192551612854, 0.0]]"
700,"[[276.0, 81.0, 702.0, 577.0, 0.8078385591506958, 0.0], [704.0, 92.0, 1194.0, 582.0, 0.6608515977859497, 0.0]]"
800,"[[384.0, 85.0, 789.0, 573.0, 0.9078589081764221, 0.0], [820.0, 95.0, 1333.0, 755.0, 0.7476276755332947, 0.0]]"
900,"[[1081.0, 151.0, 1415.0, 579.0, 0.8833925724029541, 0.0], [513.0, 375.0, 640.0, 483.0, 0.8743841648101807, 0.0], [300.0, 361.0, 447.0, 504.0, 0.8498545289039612, 0.0], [115.0, 329.0, 303.0, 585.0, 0.7310168147087097, 0.0], [100.0, 327.0, 200.0, 572.0, 0.5969812870025635, 0.0], [107.0, 325.0, 199.0, 434.0, 0.4542790651321411, 0.0], [562.0, 486.0, 742.0, 796.0, 0.3405257761478424, 0.0], [0.0, 349.0, 27.0, 442.0, 0.3233624994754791, 0.0], [1.0, 397.0, 107.0, 570.0, 0.29354971647262573, 0.0], [102.0, 742.0, 292.0, 809.0, 0.2860269546508789, 0.0], [1224.0, 753.0, 1356.0, 808.0, 0.2684362828731537, 0.0]]"
1000,"[[407.0, 243.0, 534.0, 357.0, 0.8205945491790771, 0.0], [570.0, 41.0, 924.0, 648.0, 0.7189235687255859, 0.0], [117.0, 480.0, 541.0, 809.0, 0.6551844477653503, 0.0], [11.0, 193.0, 200.0, 462.0, 0.6278365850448608, 0.0], [1.0, 205.0, 88.0, 304.0, 0.5929086804389954, 0.0], [1114.0, 0.0, 1418.0, 671.0, 0.5532097816467285, 0.0], [422.0, 357.0, 705.0, 709.0, 0.4924190640449524, 0.0], [206.0, 236.0, 341.0, 385.0, 0.44679638743400574, 0.0], [167.0, 236.0, 341.0, 522.0, 0.3033577501773834, 0.0]]"
1100,"[[330.0, 248.0, 460.0, 369.0, 0.8465188145637512, 0.0], [21.0, 439.0, 350.0, 809.0, 0.8051305413246155, 0.0], [133.0, 236.0, 296.0, 405.0, 0.7916314005851746, 0.0], [0.0, 219.0, 108.0, 383.0, 0.7003414034843445, 0.0], [988.0, 152.0, 1290.0, 789.0, 0.6974433064460754, 0.0], [762.0, 30.0, 924.0, 654.0, 0.6957599520683289, 0.0], [333.0, 355.0, 635.0, 762.0, 0.6762920618057251, 0.0]]"
