frame,number of cars
1,"[[353.0, 524.0, 458.0, 588.0, 0.9202048182487488, 2.0], [701.0, 483.0, 765.0, 531.0, 0.8955113887786865, 2.0], [794.0, 422.0, 836.0, 458.0, 0.8678285479545593, 2.0], [834.0, 364.0, 854.0, 379.0, 0.8542786240577698, 2.0], [236.0, 311.0, 283.0, 332.0, 0.8377467393875122, 2.0], [1042.0, 405.0, 1070.0, 427.0, 0.8225957751274109, 2.0], [1057.0, 372.0, 1077.0, 391.0, 0.777161180973053, 2.0], [781.0, 397.0, 814.0, 424.0, 0.7708888649940491, 2.0], [1029.0, 383.0, 1051.0, 404.0, 0.7206185460090637, 2.0], [913.0, 352.0, 928.0, 368.0, 0.6303997039794922, 2.0], [1563.0, 318.0, 1596.0, 336.0, 0.6218031644821167, 2.0], [1160.0, 454.0, 1211.0, 497.0, 0.619312047958374, 2.0], [1076.0, 351.0, 1089.0, 361.0, 0.6094605326652527, 2.0], [746.0, 317.0, 786.0, 326.0, 0.524228036403656, 2.0], [1051.0, 352.0, 1066.0, 362.0, 0.5235944390296936, 2.0], [408.0, 308.0, 463.0, 330.0, 0.4714207947254181, 2.0], [786.0, 402.0, 825.0, 435.0, 0.42349663376808167, 2.0]]"
2,"[[335.0, 530.0, 445.0, 595.0, 0.9381001591682434, 2.0], [694.0, 485.0, 758.0, 536.0, 0.8982735276222229, 2.0], [1041.0, 405.0, 1066.0, 426.0, 0.8492841124534607, 2.0], [229.0, 311.0, 278.0, 331.0, 0.8453786373138428, 2.0], [777.0, 398.0, 812.0, 426.0, 0.8364598155021667, 2.0], [833.0, 365.0, 851.0, 380.0, 0.8246440887451172, 2.0], [1028.0, 383.0, 1049.0, 403.0, 0.8006295561790466, 2.0], [1054.0, 373.0, 1075.0, 390.0, 0.7862769365310669, 2.0], [789.0, 423.0, 832.0, 460.0, 0.7722280025482178, 2.0], [1558.0, 319.0, 1593.0, 336.0, 0.6371408104896545, 2.0], [911.0, 353.0, 927.0, 369.0, 0.6299179196357727, 2.0], [405.0, 309.0, 458.0, 331.0, 0.6191306114196777, 2.0], [1051.0, 353.0, 1064.0, 363.0, 0.5772542953491211, 2.0], [749.0, 317.0, 784.0, 327.0, 0.5723927617073059, 2.0], [1075.0, 351.0, 1088.0, 362.0, 0.5530687570571899, 2.0], [1156.0, 452.0, 1205.0, 495.0, 0.52596116065979, 2.0], [782.0, 408.0, 829.0, 446.0, 0.34568995237350464, 2.0]]"
3,"[[317.0, 535.0, 430.0, 603.0, 0.9236356019973755, 2.0], [687.0, 489.0, 754.0, 541.0, 0.9046845436096191, 2.0], [774.0, 398.0, 810.0, 427.0, 0.8598785400390625, 2.0], [785.0, 425.0, 829.0, 461.0, 0.839676558971405, 2.0], [1038.0, 404.0, 1064.0, 425.0, 0.8325260281562805, 2.0], [224.0, 311.0, 271.0, 331.0, 0.8054433465003967, 2.0], [830.0, 364.0, 849.0, 380.0, 0.7812656164169312, 2.0], [1053.0, 372.0, 1073.0, 390.0, 0.7796597480773926, 2.0], [1560.0, 319.0, 1590.0, 337.0, 0.7356211543083191, 2.0], [1026.0, 382.0, 1048.0, 404.0, 0.7083925604820251, 2.0], [403.0, 309.0, 454.0, 331.0, 0.6508771777153015, 2.0], [751.0, 317.0, 788.0, 327.0, 0.6213493943214417, 2.0], [910.0, 354.0, 926.0, 369.0, 0.5647544264793396, 2.0], [1049.0, 352.0, 1063.0, 363.0, 0.5221496224403381, 2.0], [1073.0, 352.0, 1086.0, 361.0, 0.49149683117866516, 2.0]]"
4,"[[299.0, 540.0, 414.0, 608.0, 0.9307749271392822, 2.0], [679.0, 492.0, 749.0, 545.0, 0.9052107930183411, 2.0], [771.0, 399.0, 806.0, 428.0, 0.8596975803375244, 2.0], [218.0, 311.0, 265.0, 332.0, 0.8418478965759277, 2.0], [1036.0, 403.0, 1063.0, 423.0, 0.8389195799827576, 2.0], [829.0, 366.0, 847.0, 381.0, 0.8138976097106934, 2.0], [1050.0, 372.0, 1071.0, 389.0, 0.8132213354110718, 2.0], [1024.0, 382.0, 1045.0, 402.0, 0.7639380693435669, 2.0], [782.0, 426.0, 826.0, 464.0, 0.7282299995422363, 2.0], [401.0, 310.0, 451.0, 331.0, 0.6908317804336548, 2.0], [752.0, 317.0, 789.0, 327.0, 0.6218939423561096, 2.0], [1559.0, 319.0, 1588.0, 336.0, 0.6125894784927368, 2.0], [907.0, 354.0, 924.0, 369.0, 0.5807788372039795, 2.0], [1071.0, 351.0, 1083.0, 361.0, 0.5072897672653198, 2.0], [1046.0, 352.0, 1061.0, 362.0, 0.48840653896331787, 2.0], [1147.0, 449.0, 1196.0, 489.0, 0.39502477645874023, 2.0], [207.0, 301.0, 228.0, 318.0, 0.38295796513557434, 2.0]]"
5,"[[299.0, 540.0, 414.0, 608.0, 0.9288416504859924, 2.0], [679.0, 492.0, 749.0, 545.0, 0.9079647660255432, 2.0], [771.0, 399.0, 806.0, 428.0, 0.8571320176124573, 2.0], [218.0, 311.0, 265.0, 332.0, 0.8452571034431458, 2.0], [1036.0, 403.0, 1063.0, 423.0, 0.8347352147102356, 2.0], [829.0, 366.0, 847.0, 381.0, 0.8170891404151917, 2.0], [1050.0, 372.0, 1071.0, 389.0, 0.8130077719688416, 2.0], [1024.0, 382.0, 1045.0, 402.0, 0.7441183924674988, 2.0], [782.0, 426.0, 826.0, 464.0, 0.7264183759689331, 2.0], [401.0, 310.0, 451.0, 331.0, 0.7012057304382324, 2.0], [752.0, 317.0, 790.0, 327.0, 0.611722469329834, 2.0], [1559.0, 319.0, 1587.0, 336.0, 0.6104612946510315, 2.0], [907.0, 354.0, 924.0, 369.0, 0.5741273164749146, 2.0], [1071.0, 351.0, 1083.0, 361.0, 0.49425289034843445, 2.0], [1146.0, 448.0, 1196.0, 489.0, 0.4814991056919098, 2.0], [1046.0, 352.0, 1061.0, 362.0, 0.47886204719543457, 2.0], [207.0, 302.0, 228.0, 317.0, 0.3288225531578064, 2.0]]"
6,"[[664.0, 501.0, 739.0, 555.0, 0.9266340136528015, 2.0], [259.0, 551.0, 383.0, 624.0, 0.9210607409477234, 2.0], [825.0, 366.0, 843.0, 381.0, 0.8475281000137329, 2.0], [209.0, 311.0, 256.0, 332.0, 0.8351888060569763, 2.0], [764.0, 400.0, 799.0, 429.0, 0.831328272819519, 2.0], [1034.0, 401.0, 1058.0, 420.0, 0.8285720348358154, 2.0], [773.0, 429.0, 819.0, 467.0, 0.8259021043777466, 2.0], [1021.0, 381.0, 1041.0, 401.0, 0.772572934627533, 2.0], [1048.0, 371.0, 1067.0, 388.0, 0.7168811559677124, 2.0], [394.0, 309.0, 445.0, 331.0, 0.6878752708435059, 2.0], [1139.0, 445.0, 1186.0, 482.0, 0.6825160980224609, 2.0], [1068.0, 351.0, 1081.0, 361.0, 0.6204028129577637, 2.0], [755.0, 318.0, 791.0, 327.0, 0.5833573341369629, 2.0], [903.0, 355.0, 920.0, 370.0, 0.5788429379463196, 2.0], [1044.0, 353.0, 1057.0, 361.0, 0.49785536527633667, 2.0], [1556.0, 319.0, 1580.0, 335.0, 0.38709181547164917, 2.0]]"
7,"[[236.0, 558.0, 366.0, 634.0, 0.9272148013114929, 2.0], [655.0, 504.0, 730.0, 561.0, 0.9158435463905334, 2.0], [761.0, 402.0, 796.0, 431.0, 0.8803530931472778, 2.0], [822.0, 366.0, 841.0, 383.0, 0.8667103052139282, 2.0], [769.0, 433.0, 815.0, 469.0, 0.8557527661323547, 2.0], [205.0, 311.0, 251.0, 332.0, 0.8388130068778992, 2.0], [1031.0, 400.0, 1057.0, 421.0, 0.8363886475563049, 2.0], [1019.0, 380.0, 1039.0, 400.0, 0.7338206768035889, 2.0], [1046.0, 371.0, 1065.0, 388.0, 0.7249447703361511, 2.0], [903.0, 353.0, 919.0, 371.0, 0.6809608340263367, 2.0], [1137.0, 442.0, 1182.0, 482.0, 0.6703212261199951, 2.0], [1067.0, 351.0, 1080.0, 361.0, 0.6337934732437134, 2.0], [391.0, 309.0, 442.0, 331.0, 0.6036936640739441, 2.0], [755.0, 318.0, 793.0, 327.0, 0.5863752365112305, 2.0], [1043.0, 352.0, 1056.0, 362.0, 0.5050510764122009, 2.0], [1023.0, 386.0, 1055.0, 405.0, 0.45825183391571045, 2.0], [1554.0, 320.0, 1579.0, 336.0, 0.2716185450553894, 2.0]]"
8,"[[214.0, 564.0, 349.0, 643.0, 0.928680956363678, 2.0], [646.0, 508.0, 723.0, 566.0, 0.915286660194397, 2.0], [757.0, 403.0, 794.0, 432.0, 0.856867790222168, 2.0], [1029.0, 400.0, 1055.0, 421.0, 0.8414405584335327, 2.0], [198.0, 311.0, 247.0, 333.0, 0.7886035442352295, 2.0], [766.0, 433.0, 812.0, 472.0, 0.7858200073242188, 2.0], [1017.0, 380.0, 1039.0, 400.0, 0.7811881303787231, 2.0], [1044.0, 371.0, 1064.0, 388.0, 0.7684279084205627, 2.0], [821.0, 366.0, 839.0, 383.0, 0.7609700560569763, 2.0], [902.0, 353.0, 918.0, 373.0, 0.6660246849060059, 2.0], [391.0, 309.0, 435.0, 331.0, 0.6227738857269287, 2.0], [1134.0, 441.0, 1178.0, 480.0, 0.5937106013298035, 2.0], [1065.0, 352.0, 1078.0, 361.0, 0.5304368138313293, 2.0], [1041.0, 352.0, 1055.0, 362.0, 0.48127177357673645, 2.0], [753.0, 318.0, 797.0, 327.0, 0.46588048338890076, 2.0], [1026.0, 388.0, 1056.0, 414.0, 0.37061643600463867, 2.0], [1052.0, 318.0, 1084.0, 326.0, 0.3163602948188782, 2.0]]"
9,"[[190.0, 571.0, 330.0, 654.0, 0.9289121031761169, 2.0], [637.0, 513.0, 718.0, 573.0, 0.9133151769638062, 2.0], [762.0, 435.0, 809.0, 475.0, 0.8808093667030334, 2.0], [818.0, 366.0, 839.0, 384.0, 0.8728458285331726, 2.0], [1027.0, 399.0, 1053.0, 420.0, 0.8362659215927124, 2.0], [755.0, 404.0, 793.0, 434.0, 0.8357007503509521, 2.0], [1042.0, 370.0, 1063.0, 388.0, 0.8014106154441833, 2.0], [190.0, 311.0, 242.0, 333.0, 0.7904075980186462, 2.0], [899.0, 354.0, 916.0, 373.0, 0.7258445620536804, 2.0], [1016.0, 381.0, 1036.0, 399.0, 0.7185704708099365, 2.0], [394.0, 309.0, 430.0, 330.0, 0.6335420608520508, 2.0], [1129.0, 440.0, 1174.0, 479.0, 0.6268914341926575, 2.0], [1063.0, 353.0, 1075.0, 361.0, 0.6260529160499573, 2.0], [1038.0, 352.0, 1055.0, 363.0, 0.5186033248901367, 2.0], [763.0, 318.0, 798.0, 327.0, 0.4214811623096466, 2.0]]"
10,"[[165.0, 578.0, 312.0, 664.0, 0.9291204214096069, 2.0], [628.0, 517.0, 709.0, 579.0, 0.9225299954414368, 2.0], [816.0, 367.0, 836.0, 384.0, 0.8629958629608154, 2.0], [1042.0, 370.0, 1063.0, 387.0, 0.8613571524620056, 2.0], [1026.0, 398.0, 1052.0, 419.0, 0.8159002065658569, 2.0], [751.0, 405.0, 789.0, 435.0, 0.8023306727409363, 2.0], [186.0, 312.0, 236.0, 334.0, 0.7894436120986938, 2.0], [757.0, 435.0, 805.0, 477.0, 0.7869274616241455, 2.0], [1126.0, 438.0, 1169.0, 476.0, 0.7560202479362488, 2.0], [1014.0, 380.0, 1034.0, 398.0, 0.7331320643424988, 2.0], [898.0, 354.0, 913.0, 374.0, 0.6881812810897827, 2.0], [1062.0, 352.0, 1075.0, 361.0, 0.6213259100914001, 2.0], [1038.0, 353.0, 1052.0, 362.0, 0.5724906921386719, 2.0], [1407.0, 967.0, 1724.0, 1080.0, 0.5434611439704895, 2.0], [390.0, 309.0, 428.0, 331.0, 0.4481160044670105, 2.0], [764.0, 318.0, 800.0, 328.0, 0.42710939049720764, 2.0], [1550.0, 322.0, 1571.0, 337.0, 0.3756542503833771, 2.0], [1055.0, 318.0, 1091.0, 328.0, 0.3063265383243561, 2.0]]"
