frame,number of cars
1,"[[59.0, 87.0, 77.0, 98.0, 0.7068444490432739, 2.0], [117.0, 81.0, 129.0, 89.0, 0.5265703797340393, 2.0]]"
2,"[[56.0, 89.0, 73.0, 99.0, 0.7825127840042114, 2.0], [116.0, 81.0, 128.0, 89.0, 0.4956514835357666, 2.0]]"
3,"[[54.0, 90.0, 72.0, 101.0, 0.7938663959503174, 2.0], [114.0, 81.0, 127.0, 90.0, 0.4788070321083069, 2.0], [130.0, 69.0, 137.0, 76.0, 0.3497893810272217, 2.0]]"
4,"[[51.0, 90.0, 71.0, 101.0, 0.8170982003211975, 2.0], [112.0, 82.0, 125.0, 91.0, 0.6016597151756287, 2.0], [129.0, 69.0, 138.0, 77.0, 0.4399022161960602, 2.0]]"
5,"[[51.0, 90.0, 71.0, 101.0, 0.8081872463226318, 2.0], [112.0, 82.0, 125.0, 91.0, 0.6008849740028381, 2.0], [129.0, 69.0, 138.0, 77.0, 0.4343467056751251, 2.0]]"
6,"[[44.0, 92.0, 64.0, 105.0, 0.6927053928375244, 2.0], [111.0, 83.0, 123.0, 92.0, 0.6098430752754211, 2.0], [128.0, 69.0, 137.0, 77.0, 0.3987242877483368, 2.0], [190.0, 73.0, 198.0, 80.0, 0.26193857192993164, 2.0]]"
7,"[[41.0, 93.0, 61.0, 106.0, 0.7766750454902649, 2.0], [109.0, 84.0, 122.0, 93.0, 0.6836532354354858, 2.0], [128.0, 69.0, 137.0, 78.0, 0.3480471074581146, 2.0]]"
8,"[[37.0, 95.0, 57.0, 108.0, 0.825279951095581, 2.0], [108.0, 85.0, 122.0, 94.0, 0.7374771237373352, 2.0], [127.0, 70.0, 136.0, 79.0, 0.4531650245189667, 2.0]]"
9,"[[33.0, 95.0, 55.0, 110.0, 0.8348975777626038, 2.0], [106.0, 85.0, 121.0, 96.0, 0.6257076859474182, 2.0], [127.0, 71.0, 136.0, 78.0, 0.496244877576828, 2.0]]"
10,"[[29.0, 97.0, 50.0, 111.0, 0.8329614996910095, 2.0], [104.0, 86.0, 119.0, 96.0, 0.6775087118148804, 2.0], [126.0, 70.0, 135.0, 81.0, 0.31322914361953735, 2.0]]"
11,"[[23.0, 98.0, 48.0, 113.0, 0.7496172785758972, 2.0], [103.0, 87.0, 118.0, 97.0, 0.7301511764526367, 2.0], [125.0, 70.0, 134.0, 80.0, 0.44269034266471863, 2.0]]"
12,"[[18.0, 99.0, 44.0, 115.0, 0.8160432577133179, 2.0], [102.0, 88.0, 117.0, 99.0, 0.7650641202926636, 2.0], [311.0, 118.0, 320.0, 130.0, 0.47748130559921265, 2.0], [124.0, 72.0, 134.0, 80.0, 0.300478994846344, 2.0]]"
13,"[[13.0, 101.0, 40.0, 118.0, 0.8697034120559692, 2.0], [100.0, 88.0, 115.0, 101.0, 0.8076044321060181, 2.0], [220.0, 141.0, 265.0, 178.0, 0.7800115346908569, 2.0], [304.0, 113.0, 320.0, 129.0, 0.5260335803031921, 2.0], [124.0, 70.0, 132.0, 81.0, 0.32281315326690674, 2.0], [186.0, 74.0, 194.0, 78.0, 0.2887967824935913, 2.0]]"
14,"[[8.0, 103.0, 36.0, 120.0, 0.7841082215309143, 2.0], [98.0, 89.0, 114.0, 102.0, 0.748205304145813, 2.0], [298.0, 110.0, 320.0, 131.0, 0.6970686912536621, 2.0], [216.0, 135.0, 257.0, 171.0, 0.6552456021308899, 2.0], [122.0, 70.0, 132.0, 81.0, 0.45173224806785583, 2.0]]"
15,"[[1.0, 104.0, 33.0, 122.0, 0.7914415597915649, 2.0], [295.0, 108.0, 320.0, 128.0, 0.664003312587738, 2.0], [95.0, 90.0, 112.0, 103.0, 0.6451137661933899, 2.0], [212.0, 131.0, 252.0, 163.0, 0.6129988431930542, 2.0], [186.0, 73.0, 194.0, 78.0, 0.2744393050670624, 2.0], [1.0, 110.0, 20.0, 122.0, 0.2715742588043213, 2.0], [122.0, 69.0, 132.0, 82.0, 0.26338309049606323, 2.0]]"
16,"[[0.0, 105.0, 29.0, 124.0, 0.7448505759239197, 2.0], [210.0, 126.0, 245.0, 157.0, 0.7336264848709106, 2.0], [290.0, 106.0, 320.0, 126.0, 0.694771945476532, 2.0], [94.0, 90.0, 112.0, 104.0, 0.6553946137428284, 2.0], [121.0, 69.0, 131.0, 83.0, 0.4431379437446594, 2.0]]"
17,"[[208.0, 123.0, 240.0, 151.0, 0.7844973802566528, 2.0], [91.0, 93.0, 108.0, 105.0, 0.7291272282600403, 2.0], [0.0, 108.0, 23.0, 127.0, 0.7066965699195862, 2.0], [285.0, 105.0, 320.0, 125.0, 0.5457370281219482, 2.0], [120.0, 72.0, 130.0, 84.0, 0.28310632705688477, 2.0]]"
18,"[[281.0, 103.0, 316.0, 123.0, 0.8166791796684265, 2.0], [89.0, 94.0, 106.0, 107.0, 0.816566526889801, 2.0], [203.0, 119.0, 235.0, 146.0, 0.7433547973632812, 2.0], [0.0, 109.0, 19.0, 128.0, 0.6132705807685852, 2.0], [120.0, 70.0, 130.0, 83.0, 0.36677640676498413, 2.0]]"
19,"[[278.0, 102.0, 311.0, 120.0, 0.8119385242462158, 2.0], [85.0, 95.0, 105.0, 110.0, 0.7934541702270508, 2.0], [204.0, 118.0, 231.0, 141.0, 0.649358868598938, 2.0], [0.0, 111.0, 13.0, 128.0, 0.5117440819740295, 2.0], [119.0, 72.0, 129.0, 85.0, 0.4483252167701721, 2.0]]"
