frame,number of cars
1,"[[295.0, 437.0, 381.0, 490.0, 0.9133653044700623, 2.0], [584.0, 403.0, 638.0, 443.0, 0.9020193815231323, 2.0], [662.0, 352.0, 696.0, 381.0, 0.8567789196968079, 2.0], [650.0, 330.0, 680.0, 354.0, 0.850594162940979, 2.0], [196.0, 259.0, 236.0, 276.0, 0.7978163957595825, 2.0], [880.0, 311.0, 897.0, 326.0, 0.7803331613540649, 2.0], [858.0, 320.0, 877.0, 337.0, 0.7708475589752197, 2.0], [695.0, 304.0, 711.0, 317.0, 0.749140739440918, 2.0], [868.0, 338.0, 891.0, 356.0, 0.7216876745223999, 2.0], [1302.0, 265.0, 1331.0, 280.0, 0.5600249171257019, 2.0], [966.0, 378.0, 1009.0, 414.0, 0.49615493416786194, 2.0], [624.0, 264.0, 651.0, 271.0, 0.47689005732536316, 2.0], [340.0, 260.0, 366.0, 274.0, 0.47554564476013184, 2.0], [874.0, 294.0, 889.0, 302.0, 0.4383496344089508, 2.0], [179.0, 251.0, 195.0, 263.0, 0.40278300642967224, 2.0], [760.0, 293.0, 774.0, 307.0, 0.3763003647327423, 2.0], [341.0, 257.0, 386.0, 275.0, 0.3292110860347748, 2.0], [898.0, 293.0, 907.0, 301.0, 0.276591956615448, 2.0]]"
2,"[[279.0, 441.0, 372.0, 497.0, 0.928185760974884, 2.0], [578.0, 405.0, 633.0, 447.0, 0.9085304141044617, 2.0], [191.0, 258.0, 232.0, 276.0, 0.823728621006012, 2.0], [648.0, 331.0, 678.0, 354.0, 0.8202576637268066, 2.0], [694.0, 304.0, 710.0, 317.0, 0.7915835380554199, 2.0], [878.0, 310.0, 896.0, 325.0, 0.7891339063644409, 2.0], [867.0, 337.0, 889.0, 355.0, 0.7583324909210205, 2.0], [660.0, 352.0, 694.0, 383.0, 0.7564156651496887, 2.0], [856.0, 320.0, 873.0, 336.0, 0.7323479652404785, 2.0], [338.0, 258.0, 381.0, 275.0, 0.6249186992645264, 2.0], [1302.0, 266.0, 1328.0, 281.0, 0.6147144436836243, 2.0], [760.0, 293.0, 773.0, 308.0, 0.5881920456886292, 2.0], [626.0, 265.0, 652.0, 271.0, 0.46952953934669495, 2.0], [896.0, 293.0, 906.0, 301.0, 0.4643198549747467, 2.0], [874.0, 293.0, 888.0, 301.0, 0.4175551235675812, 2.0], [860.0, 315.0, 887.0, 334.0, 0.3985550105571747, 2.0]]"
3,"[[266.0, 445.0, 358.0, 500.0, 0.9238533973693848, 2.0], [572.0, 407.0, 629.0, 450.0, 0.9023668169975281, 2.0], [646.0, 332.0, 676.0, 355.0, 0.8328353762626648, 2.0], [865.0, 336.0, 887.0, 354.0, 0.8322857022285461, 2.0], [187.0, 260.0, 226.0, 277.0, 0.804861843585968, 2.0], [655.0, 354.0, 691.0, 384.0, 0.7700836062431335, 2.0], [693.0, 304.0, 708.0, 318.0, 0.7556144595146179, 2.0], [757.0, 293.0, 772.0, 308.0, 0.7364680171012878, 2.0], [854.0, 319.0, 872.0, 336.0, 0.7102671265602112, 2.0], [878.0, 310.0, 894.0, 325.0, 0.7011156678199768, 2.0], [336.0, 258.0, 377.0, 276.0, 0.5165746212005615, 2.0], [627.0, 265.0, 653.0, 271.0, 0.5157660841941833, 2.0], [895.0, 293.0, 905.0, 301.0, 0.3842615783214569, 2.0], [873.0, 294.0, 886.0, 302.0, 0.3327288329601288, 2.0], [856.0, 322.0, 878.0, 348.0, 0.32787489891052246, 2.0], [1303.0, 265.0, 1325.0, 280.0, 0.27303436398506165, 2.0], [958.0, 375.0, 1000.0, 408.0, 0.2607057988643646, 2.0]]"
4,"[[249.0, 451.0, 346.0, 507.0, 0.923747718334198, 2.0], [567.0, 410.0, 623.0, 454.0, 0.8932979106903076, 2.0], [864.0, 336.0, 886.0, 353.0, 0.8381866812705994, 2.0], [182.0, 259.0, 221.0, 276.0, 0.804832935333252, 2.0], [643.0, 333.0, 672.0, 356.0, 0.800781786441803, 2.0], [690.0, 304.0, 705.0, 317.0, 0.7929130792617798, 2.0], [874.0, 309.0, 893.0, 324.0, 0.7300682067871094, 2.0], [854.0, 319.0, 871.0, 335.0, 0.676706850528717, 2.0], [651.0, 356.0, 687.0, 386.0, 0.6589643359184265, 2.0], [755.0, 293.0, 769.0, 308.0, 0.6255938410758972, 2.0], [334.0, 257.0, 376.0, 276.0, 0.5547014474868774, 2.0], [892.0, 293.0, 904.0, 301.0, 0.5530818700790405, 2.0], [871.0, 294.0, 884.0, 302.0, 0.4297623336315155, 2.0], [629.0, 264.0, 654.0, 271.0, 0.42089906334877014, 2.0], [857.0, 325.0, 878.0, 351.0, 0.3389008641242981, 2.0]]"
5,"[[249.0, 450.0, 346.0, 507.0, 0.9235796928405762, 2.0], [567.0, 410.0, 623.0, 454.0, 0.8920273780822754, 2.0], [864.0, 336.0, 886.0, 353.0, 0.8403667211532593, 2.0], [182.0, 259.0, 222.0, 277.0, 0.8227221965789795, 2.0], [690.0, 304.0, 705.0, 317.0, 0.8072435259819031, 2.0], [643.0, 333.0, 673.0, 357.0, 0.8023568987846375, 2.0], [874.0, 309.0, 893.0, 324.0, 0.7300726175308228, 2.0], [651.0, 356.0, 687.0, 387.0, 0.6833207607269287, 2.0], [854.0, 319.0, 871.0, 335.0, 0.6545450091362, 2.0], [755.0, 293.0, 769.0, 308.0, 0.6092280149459839, 2.0], [892.0, 293.0, 904.0, 301.0, 0.57827228307724, 2.0], [334.0, 257.0, 376.0, 276.0, 0.5725301504135132, 2.0], [629.0, 265.0, 654.0, 271.0, 0.44175249338150024, 2.0], [871.0, 294.0, 884.0, 302.0, 0.4155823886394501, 2.0], [857.0, 326.0, 878.0, 351.0, 0.3396810293197632, 2.0], [647.0, 343.0, 685.0, 377.0, 0.25784412026405334, 2.0]]"
6,"[[216.0, 459.0, 320.0, 521.0, 0.9222546815872192, 2.0], [552.0, 416.0, 613.0, 463.0, 0.8994647860527039, 2.0], [637.0, 335.0, 667.0, 359.0, 0.8839767575263977, 2.0], [861.0, 334.0, 882.0, 352.0, 0.8171648979187012, 2.0], [173.0, 259.0, 213.0, 277.0, 0.8145418763160706, 2.0], [643.0, 360.0, 682.0, 391.0, 0.749628484249115, 2.0], [687.0, 304.0, 702.0, 318.0, 0.7475821375846863, 2.0], [873.0, 309.0, 890.0, 323.0, 0.7149033546447754, 2.0], [753.0, 294.0, 768.0, 309.0, 0.6712162494659424, 2.0], [850.0, 317.0, 867.0, 334.0, 0.6073747277259827, 2.0], [950.0, 370.0, 987.0, 403.0, 0.541212260723114, 2.0], [328.0, 257.0, 370.0, 275.0, 0.4908011257648468, 2.0], [1296.0, 267.0, 1317.0, 279.0, 0.3911385238170624, 2.0], [630.0, 265.0, 655.0, 272.0, 0.36041080951690674, 2.0], [870.0, 294.0, 882.0, 301.0, 0.34723737835884094, 2.0], [890.0, 293.0, 900.0, 301.0, 0.3219636082649231, 2.0]]"
7,"[[196.0, 465.0, 305.0, 529.0, 0.9082694053649902, 2.0], [546.0, 420.0, 609.0, 467.0, 0.901146411895752, 2.0], [634.0, 335.0, 664.0, 360.0, 0.8312028050422668, 2.0], [170.0, 259.0, 209.0, 277.0, 0.8257340788841248, 2.0], [859.0, 333.0, 881.0, 351.0, 0.8228424191474915, 2.0], [642.0, 359.0, 680.0, 391.0, 0.7772364616394043, 2.0], [686.0, 305.0, 702.0, 318.0, 0.7585331201553345, 2.0], [871.0, 309.0, 888.0, 323.0, 0.7182421684265137, 2.0], [849.0, 317.0, 866.0, 333.0, 0.6651822328567505, 2.0], [751.0, 294.0, 766.0, 310.0, 0.6487699747085571, 2.0], [326.0, 257.0, 369.0, 276.0, 0.5958189368247986, 2.0], [947.0, 369.0, 985.0, 403.0, 0.4448694586753845, 2.0], [869.0, 295.0, 880.0, 301.0, 0.43354254961013794, 2.0], [631.0, 266.0, 659.0, 272.0, 0.39053237438201904, 2.0], [889.0, 293.0, 898.0, 300.0, 0.33489981293678284, 2.0]]"
8,"[[178.0, 471.0, 290.0, 536.0, 0.9353348016738892, 2.0], [539.0, 423.0, 603.0, 472.0, 0.9006548523902893, 2.0], [631.0, 335.0, 663.0, 360.0, 0.825617253780365, 2.0], [684.0, 305.0, 700.0, 320.0, 0.8045036196708679, 2.0], [638.0, 360.0, 677.0, 393.0, 0.7882168292999268, 2.0], [164.0, 260.0, 205.0, 277.0, 0.7444923520088196, 2.0], [857.0, 333.0, 880.0, 350.0, 0.7285653948783875, 2.0], [870.0, 309.0, 886.0, 323.0, 0.7161495089530945, 2.0], [944.0, 367.0, 982.0, 401.0, 0.6784776449203491, 2.0], [847.0, 317.0, 864.0, 333.0, 0.650436282157898, 2.0], [325.0, 258.0, 362.0, 275.0, 0.6057004928588867, 2.0], [751.0, 294.0, 764.0, 310.0, 0.46941977739334106, 2.0], [869.0, 295.0, 878.0, 301.0, 0.46833813190460205, 2.0], [635.0, 265.0, 661.0, 272.0, 0.410983145236969, 2.0], [888.0, 294.0, 897.0, 301.0, 0.3480488359928131, 2.0]]"
9,"[[159.0, 476.0, 276.0, 546.0, 0.9343196749687195, 2.0], [531.0, 427.0, 597.0, 477.0, 0.9072756767272949, 2.0], [634.0, 361.0, 674.0, 395.0, 0.8620437979698181, 2.0], [629.0, 337.0, 660.0, 361.0, 0.8619583249092102, 2.0], [682.0, 306.0, 698.0, 320.0, 0.8285444974899292, 2.0], [856.0, 332.0, 879.0, 350.0, 0.8054147958755493, 2.0], [158.0, 261.0, 202.0, 278.0, 0.7845701575279236, 2.0], [869.0, 309.0, 886.0, 323.0, 0.7283388376235962, 2.0], [749.0, 296.0, 764.0, 311.0, 0.687150239944458, 2.0], [846.0, 317.0, 862.0, 333.0, 0.682288408279419, 2.0], [326.0, 258.0, 359.0, 275.0, 0.6179783940315247, 2.0], [941.0, 368.0, 979.0, 398.0, 0.5940117239952087, 2.0], [1206.0, 847.0, 1443.0, 899.0, 0.524915337562561, 2.0], [886.0, 294.0, 897.0, 301.0, 0.3954333961009979, 2.0], [867.0, 295.0, 877.0, 301.0, 0.34903451800346375, 2.0], [639.0, 266.0, 662.0, 272.0, 0.26481491327285767, 2.0]]"
10,"[[138.0, 483.0, 259.0, 553.0, 0.9345700740814209, 2.0], [524.0, 431.0, 591.0, 483.0, 0.9041818976402283, 2.0], [627.0, 338.0, 658.0, 362.0, 0.8574454188346863, 2.0], [630.0, 365.0, 670.0, 398.0, 0.8383255004882812, 2.0], [1171.0, 805.0, 1432.0, 897.0, 0.8351202607154846, 2.0], [855.0, 332.0, 876.0, 349.0, 0.8103082180023193, 2.0], [867.0, 310.0, 885.0, 323.0, 0.7940541505813599, 2.0], [155.0, 260.0, 196.0, 279.0, 0.7935285568237305, 2.0], [680.0, 307.0, 697.0, 320.0, 0.7595752477645874, 2.0], [846.0, 317.0, 862.0, 333.0, 0.7313601970672607, 2.0], [748.0, 295.0, 762.0, 311.0, 0.7258132696151733, 2.0], [325.0, 259.0, 357.0, 276.0, 0.5734185576438904, 2.0], [938.0, 365.0, 975.0, 396.0, 0.5387134552001953, 2.0], [885.0, 294.0, 896.0, 301.0, 0.44690418243408203, 2.0], [864.0, 295.0, 877.0, 301.0, 0.3158400058746338, 2.0]]"
