frame,number of cars
1,"[[236.0, 349.0, 307.0, 392.0, 0.9143458008766174, 2.0], [467.0, 321.0, 510.0, 354.0, 0.8810582756996155, 2.0], [521.0, 266.0, 543.0, 283.0, 0.8271626830101013, 2.0], [157.0, 208.0, 189.0, 222.0, 0.7473787665367126, 2.0], [695.0, 270.0, 714.0, 284.0, 0.7263995409011841, 2.0], [703.0, 248.0, 718.0, 261.0, 0.6984590291976929, 2.0], [772.0, 303.0, 807.0, 331.0, 0.6683546900749207, 2.0], [686.0, 255.0, 701.0, 270.0, 0.6493925452232361, 2.0], [528.0, 282.0, 557.0, 306.0, 0.6121630668640137, 2.0], [556.0, 242.0, 569.0, 253.0, 0.5890408754348755, 2.0], [271.0, 206.0, 304.0, 220.0, 0.48293107748031616, 2.0], [608.0, 234.0, 621.0, 246.0, 0.38714155554771423, 2.0], [697.0, 234.0, 711.0, 241.0, 0.3086370825767517, 2.0], [717.0, 233.0, 728.0, 241.0, 0.27932167053222656, 2.0]]"
2,"[[223.0, 352.0, 296.0, 396.0, 0.9085857272148132, 2.0], [463.0, 324.0, 506.0, 357.0, 0.8847196102142334, 2.0], [518.0, 266.0, 542.0, 284.0, 0.8371959328651428, 2.0], [525.0, 282.0, 556.0, 307.0, 0.8303022384643555, 2.0], [153.0, 208.0, 185.0, 222.0, 0.726652979850769, 2.0], [703.0, 247.0, 717.0, 259.0, 0.7118709087371826, 2.0], [693.0, 270.0, 712.0, 284.0, 0.6578840017318726, 2.0], [770.0, 301.0, 804.0, 329.0, 0.5800390243530273, 2.0], [607.0, 235.0, 619.0, 246.0, 0.5632380843162537, 2.0], [555.0, 243.0, 568.0, 254.0, 0.5592968463897705, 2.0], [269.0, 206.0, 304.0, 220.0, 0.5012409090995789, 2.0], [685.0, 255.0, 700.0, 268.0, 0.3859982192516327, 2.0], [1039.0, 212.0, 1063.0, 224.0, 0.35365694761276245, 2.0]]"
3,"[[213.0, 356.0, 287.0, 401.0, 0.8985400795936584, 2.0], [457.0, 325.0, 502.0, 360.0, 0.8551525473594666, 2.0], [515.0, 265.0, 539.0, 284.0, 0.8133567571640015, 2.0], [149.0, 208.0, 182.0, 222.0, 0.7631616592407227, 2.0], [524.0, 284.0, 552.0, 307.0, 0.7612988948822021, 2.0], [693.0, 269.0, 711.0, 284.0, 0.7303305268287659, 2.0], [553.0, 244.0, 566.0, 253.0, 0.6747690439224243, 2.0], [701.0, 247.0, 716.0, 260.0, 0.6355370879173279, 2.0], [684.0, 254.0, 698.0, 269.0, 0.5913459658622742, 2.0], [269.0, 207.0, 293.0, 221.0, 0.4972853660583496, 2.0], [768.0, 300.0, 800.0, 328.0, 0.4517154395580292, 2.0], [605.0, 236.0, 618.0, 246.0, 0.4424092769622803, 2.0], [1039.0, 212.0, 1061.0, 223.0, 0.26951363682746887, 2.0]]"
4,"[[199.0, 360.0, 278.0, 406.0, 0.8990527391433716, 2.0], [454.0, 328.0, 499.0, 364.0, 0.8705925941467285, 2.0], [515.0, 267.0, 537.0, 285.0, 0.8467721939086914, 2.0], [691.0, 268.0, 710.0, 283.0, 0.7930607199668884, 2.0], [764.0, 298.0, 797.0, 326.0, 0.7719593048095703, 2.0], [144.0, 207.0, 178.0, 222.0, 0.7384417653083801, 2.0], [521.0, 284.0, 551.0, 309.0, 0.7245557904243469, 2.0], [552.0, 244.0, 564.0, 254.0, 0.6855358481407166, 2.0], [682.0, 254.0, 696.0, 267.0, 0.6356690526008606, 2.0], [701.0, 247.0, 714.0, 259.0, 0.6327900886535645, 2.0], [267.0, 207.0, 296.0, 221.0, 0.4695757031440735, 2.0], [604.0, 236.0, 617.0, 247.0, 0.43102672696113586, 2.0]]"
5,"[[199.0, 360.0, 278.0, 406.0, 0.8934211730957031, 2.0], [454.0, 328.0, 499.0, 364.0, 0.871905505657196, 2.0], [514.0, 267.0, 537.0, 285.0, 0.8418022990226746, 2.0], [691.0, 268.0, 709.0, 283.0, 0.8016001582145691, 2.0], [764.0, 298.0, 797.0, 326.0, 0.7853222489356995, 2.0], [144.0, 207.0, 178.0, 222.0, 0.7526902556419373, 2.0], [521.0, 284.0, 551.0, 309.0, 0.717970609664917, 2.0], [552.0, 244.0, 564.0, 254.0, 0.6903232336044312, 2.0], [682.0, 253.0, 696.0, 267.0, 0.6320810914039612, 2.0], [701.0, 247.0, 714.0, 259.0, 0.6278170943260193, 2.0], [267.0, 207.0, 298.0, 221.0, 0.4951607584953308, 2.0], [604.0, 236.0, 617.0, 247.0, 0.4441957175731659, 2.0], [1039.0, 213.0, 1059.0, 223.0, 0.31246939301490784, 2.0], [696.0, 234.0, 708.0, 241.0, 0.2662471532821655, 2.0]]"
6,"[[172.0, 368.0, 257.0, 417.0, 0.9047595858573914, 2.0], [442.0, 333.0, 491.0, 370.0, 0.8871457576751709, 2.0], [509.0, 267.0, 533.0, 286.0, 0.8718051910400391, 2.0], [688.0, 267.0, 706.0, 281.0, 0.7582822442054749, 2.0], [138.0, 206.0, 171.0, 222.0, 0.7327316403388977, 2.0], [698.0, 247.0, 712.0, 259.0, 0.7017372846603394, 2.0], [516.0, 286.0, 546.0, 311.0, 0.7010887265205383, 2.0], [550.0, 244.0, 562.0, 254.0, 0.6515020728111267, 2.0], [262.0, 206.0, 294.0, 221.0, 0.5805847644805908, 2.0], [758.0, 296.0, 791.0, 323.0, 0.5074825286865234, 2.0], [681.0, 254.0, 694.0, 267.0, 0.49636414647102356, 2.0], [602.0, 235.0, 615.0, 247.0, 0.454039067029953, 2.0], [712.0, 234.0, 720.0, 240.0, 0.45235952734947205, 2.0]]"
7,"[[157.0, 372.0, 244.0, 423.0, 0.9142288565635681, 2.0], [437.0, 336.0, 486.0, 374.0, 0.8773167729377747, 2.0], [508.0, 268.0, 531.0, 287.0, 0.8281680941581726, 2.0], [687.0, 268.0, 705.0, 280.0, 0.7954981327056885, 2.0], [548.0, 244.0, 561.0, 254.0, 0.748457670211792, 2.0], [757.0, 294.0, 789.0, 321.0, 0.7478397488594055, 2.0], [698.0, 248.0, 710.0, 259.0, 0.7100291848182678, 2.0], [513.0, 287.0, 544.0, 313.0, 0.6934497356414795, 2.0], [136.0, 206.0, 168.0, 222.0, 0.6891139149665833, 2.0], [262.0, 206.0, 294.0, 221.0, 0.5850017070770264, 2.0], [680.0, 254.0, 693.0, 266.0, 0.5216638445854187, 2.0], [711.0, 235.0, 720.0, 240.0, 0.4293197691440582, 2.0], [601.0, 235.0, 613.0, 249.0, 0.41987648606300354, 2.0]]"
8,"[[143.0, 376.0, 233.0, 429.0, 0.8941202163696289, 2.0], [431.0, 339.0, 482.0, 378.0, 0.881671130657196, 2.0], [505.0, 269.0, 529.0, 288.0, 0.821128785610199, 2.0], [511.0, 289.0, 542.0, 314.0, 0.7496200799942017, 2.0], [686.0, 267.0, 704.0, 281.0, 0.7259231209754944, 2.0], [755.0, 294.0, 785.0, 320.0, 0.715768039226532, 2.0], [547.0, 244.0, 560.0, 255.0, 0.6647911667823792, 2.0], [697.0, 247.0, 709.0, 259.0, 0.6456318497657776, 2.0], [131.0, 206.0, 163.0, 222.0, 0.6145065426826477, 2.0], [262.0, 206.0, 287.0, 220.0, 0.5150259137153625, 2.0], [678.0, 254.0, 693.0, 266.0, 0.3925950229167938, 2.0], [600.0, 235.0, 612.0, 249.0, 0.3555464446544647, 2.0], [683.0, 260.0, 702.0, 274.0, 0.33810457587242126, 2.0], [710.0, 235.0, 718.0, 241.0, 0.25864651799201965, 2.0]]"
9,"[[126.0, 380.0, 221.0, 436.0, 0.9050325155258179, 2.0], [425.0, 341.0, 477.0, 382.0, 0.8821303844451904, 2.0], [503.0, 270.0, 528.0, 288.0, 0.8782541155815125, 2.0], [508.0, 289.0, 541.0, 317.0, 0.7999478578567505, 2.0], [545.0, 245.0, 559.0, 256.0, 0.7211382389068604, 2.0], [687.0, 267.0, 702.0, 280.0, 0.719375491142273, 2.0], [261.0, 206.0, 287.0, 221.0, 0.6803739070892334, 2.0], [126.0, 206.0, 161.0, 223.0, 0.6190615296363831, 2.0], [695.0, 247.0, 709.0, 258.0, 0.6142804622650146, 2.0], [599.0, 236.0, 611.0, 249.0, 0.5861620903015137, 2.0], [752.0, 292.0, 782.0, 319.0, 0.4465004503726959, 2.0], [677.0, 253.0, 690.0, 266.0, 0.44344064593315125, 2.0], [683.0, 261.0, 701.0, 275.0, 0.4122229516506195, 2.0]]"
10,"[[108.0, 385.0, 208.0, 442.0, 0.9291070103645325, 2.0], [418.0, 345.0, 473.0, 386.0, 0.9063723087310791, 2.0], [504.0, 292.0, 537.0, 318.0, 0.8284845948219299, 2.0], [684.0, 266.0, 702.0, 279.0, 0.7408508658409119, 2.0], [749.0, 292.0, 781.0, 318.0, 0.7402167320251465, 2.0], [501.0, 270.0, 525.0, 289.0, 0.7326052188873291, 2.0], [124.0, 206.0, 157.0, 224.0, 0.7173492312431335, 2.0], [545.0, 245.0, 557.0, 256.0, 0.6343426704406738, 2.0], [260.0, 206.0, 286.0, 221.0, 0.6236582398414612, 2.0], [695.0, 248.0, 707.0, 258.0, 0.5961167812347412, 2.0], [676.0, 252.0, 689.0, 265.0, 0.5687650442123413, 2.0], [598.0, 237.0, 610.0, 249.0, 0.4997466504573822, 2.0], [936.0, 645.0, 1146.0, 720.0, 0.38312065601348877, 2.0], [691.0, 235.0, 701.0, 241.0, 0.2726671099662781, 2.0], [694.0, 243.0, 706.0, 255.0, 0.2618710696697235, 2.0]]"
